,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
106,0.75732225,0.808656,4.2098775,0.68330306,2.8710227,1.0454324,1.0564203,1.212386
107,0.82475364,0.7686435,2.7559016,0.97071105,3.1284802,0.9838269,1.0414681,1.1211504
108,0.7456765,0.76149714,7.654977,0.15734701,2.5060077,1.0633165,1.1372712,1.0689324
109,0.7393333,0.81193846,7.068428,0.24375507,2.4979005,1.1164296,1.1113949,0.99067146
110,0.6662132,0.8201815,6.4638743,0.31555793,2.4121177,1.0474823,1.1345193,1.1257446
111,0.6482589,0.81095475,5.7415605,0.28629595,2.5800214,1.0036836,0.88031685,1.1598613
112,0.7487148,0.7964608,6.405832,0.19695671,2.7400384,0.822202,0.8786822,1.0371106
113,0.70105267,0.779475,4.496784,0.52614546,2.9523988,1.004736,0.9971476,1.1717993
114,0.71557146,0.77999413,7.8493667,0.17084701,2.6074688,1.0133764,1.0981141,1.1777382
115,0.7362573,0.79690355,8.041981,0.21495374,2.701246,1.0526325,0.8752762,1.0393894
116,0.63045985,0.7913208,7.102517,0.22677599,2.705795,0.96995157,1.0498611,1.0634553
117,0.6444993,0.8129862,6.621107,0.20038718,2.5126107,0.8867131,1.125095,1.2516309
118,0.7432508,0.79686826,4.1029744,0.6003029,2.8314118,1.066584,1.1074365,1.2154297
119,0.73639625,0.8106104,6.5698404,0.31047365,2.7863574,1.0961232,0.98443323,1.1912119
120,0.7482986,0.7947111,6.4450436,0.28115082,2.743811,1.0556178,1.1164395,1.177734
121,0.7084473,0.80324244,7.358962,0.25778744,2.5698867,1.0412114,1.0453993,1.1162884
122,0.68632907,0.8077128,4.911645,0.31628197,2.5912406,1.0948863,0.9454968,1.1983408
123,0.6362041,0.7849097,6.8036284,0.1760596,2.5600235,1.1336732,1.1255686,1.1038525
124,0.7737912,0.7839544,4.771349,0.4309736,2.8401456,1.1516211,0.9422893,1.1359469
125,0.7008408,0.78077537,7.687449,0.20137617,2.7106009,0.9775478,1.0382717,1.0883092
126,0.65013707,0.8007117,5.016833,0.42322168,2.8630056,0.92266583,1.060113,1.149572
127,0.7834876,0.82576615,7.3680983,0.23854369,2.444393,1.0796578,1.1032367,0.9899229
128,0.7097875,0.79867184,7.1680374,0.27833214,2.8140004,1.0284925,1.1152059,0.978746
129,0.654369,0.7815823,4.059713,0.60020304,2.8972852,0.9453776,0.9767607,1.2152941
130,0.6322502,0.7961344,6.7173934,0.29470995,2.7140129,1.0720228,1.0683771,1.1132358
131,0.7172621,0.7880523,4.589914,0.43492752,2.7660255,1.139599,1.1301318,1.1985543
132,0.64843935,0.821442,4.3800163,0.44585544,2.3952348,0.88880193,1.2050331,1.1157169
133,0.65257883,0.8475149,6.6712084,0.28521863,2.5492325,1.0072916,1.0157449,1.3172758
134,0.67834914,0.7804074,6.462765,0.20770599,2.7873201,0.9439929,1.2017881,1.0080119
135,0.5353788,0.8055492,4.3459663,0.6145309,2.7657597,1.0874978,1.1146666,1.0853348
136,0.7469212,0.7819724,7.3819933,0.2046801,2.8488514,0.8432444,1.0297961,1.1064191
