,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
102,-0.30786455,2.3841925,0.41773826,0.2622132,2.5451708,-0.6365602,0.41665843,0.1709587424993515,2.4374279975891113,1.0887674
103,0.7439638,1.4272379,-2.6651542,0.35146338,1.5697768,2.457307,-0.13213363,0.21959969401359558,2.3021891117095947,1.0503172
104,0.050367817,2.0929234,-1.5132022,0.38413307,2.2051675,1.2783056,0.080470696,0.21344059705734253,2.403609275817871,1.1214973
105,0.27453902,1.943837,-1.3281683,0.3161484,1.9734176,1.212956,0.42303923,0.13352076709270477,2.2007009983062744,1.0835255
106,2.004722,0.07214778,2.1193616,0.36527488,0.1818097,-2.2208822,0.79476863,0.10349645465612411,2.306974172592163,1.0676109
107,2.7056398,-0.3665848,-2.1233542,0.2508467,-0.40667084,1.9040047,-0.21026444,0.1961635947227478,2.1571128368377686,1.1395208
108,2.3777893,-0.23235825,1.1443219,0.34825054,-0.19742285,-1.2485673,0.6933043,0.14226549863815308,2.3565642833709717,1.1150157
109,0.47249424,1.5842475,0.28888485,0.42541754,1.9020314,-0.51014596,0.661414,0.03382258489727974,2.1376571655273438,0.929614
110,2.411984,-0.12887418,1.2758533,0.3704794,-0.023933858,-1.4662174,-0.2942093,0.12534478306770325,2.0028393268585205,1.0637974
111,3.9957967,-1.8314465,1.2016488,0.26325026,-1.7599847,-1.308497,0.04447101,0.20428696274757385,2.2479097843170166,1.1107104
112,1.2298609,1.0813792,-2.4375079,0.19011076,1.0189773,2.655988,-0.045534447,0.05,2.0,1.0898563
113,2.0436807,0.2282102,-3.6029515,0.16998513,0.21769387,3.5989203,0.49033928,0.15877294540405273,2.0906026363372803,1.1057014
114,0.92402416,1.3981974,-2.0208154,0.38151115,1.3536497,1.8703407,-0.76034117,0.09799422323703766,2.1946117877960205,1.0905808
115,1.3568904,0.82501954,-2.4087582,0.16017629,0.8130246,2.3706632,0.73799556,0.11802240461111069,2.3015565872192383,1.1110034
116,2.1414819,-0.1330531,-0.88732415,0.36764437,0.092400886,0.769375,0.822619,0.07193591445684433,2.366056442260742,0.98054945
117,1.4676011,0.83852094,-0.49116555,0.19962342,0.8572875,0.35895833,0.5470743,0.11196131259202957,2.0606346130371094,1.1092479
118,0.67506313,1.4683383,-1.7751102,0.31605157,1.6586541,1.5618937,0.57892984,0.16883794963359833,2.173326253890991,1.0913557
119,0.70639676,1.4145862,0.3573596,0.24166965,1.3573567,-0.31924328,0.07067237,0.08266235888004303,2.219275712966919,0.9589915
120,1.0403236,1.1893288,-1.7543797,0.5638437,1.2618638,1.5872421,0.6913562,0.10347631573677063,2.0,1.0769665
121,2.3005722,0.016316606,0.8954292,0.4255983,-0.038980253,-1.1938617,-0.50970507,0.1836421936750412,2.20054292678833,1.0875458
122,1.9429071,0.31111765,-2.0979893,0.42878652,0.30394745,1.8186171,0.67203385,0.16250427067279816,2.245284080505371,1.0321348
123,1.5004879,0.78920877,-0.6656544,0.25658768,0.66838044,0.57452744,0.20395185,0.12979145348072052,2.0969271659851074,1.1104106
124,3.2066333,-1.0296942,2.6111798,0.23074797,-0.9592556,-2.7923303,-0.14724518,0.21844418346881866,2.502091646194458,1.0588045
125,3.7809343,-1.4930165,-0.7791304,0.38749033,-1.5673308,0.64903724,0.19307122,0.1759057492017746,2.197110414505005,1.0401281
126,3.1862338,-0.74757105,0.10558045,0.25267065,-0.9196002,-0.29481336,0.14147568,0.11823392659425735,2.076247215270996,1.0763117
127,0.08598152,1.907944,-0.76911926,0.33042,2.102821,0.74071836,0.7585824,0.022258369252085686,2.0795509815216064,0.9537837
128,1.4473324,0.92627364,1.4873295,0.39345703,0.8558063,-1.879947,0.43116912,0.1477966457605362,2.174961566925049,1.1045818
129,0.7166227,1.4808329,-3.9099884,0.35964507,1.4996562,3.9219034,0.58434206,0.03249859809875488,2.006744861602783,1.06066
130,1.9244509,0.16918422,2.8277874,0.19941248,0.1943305,-2.6476362,0.44401294,0.05,2.023358106613159,1.0593215
131,0.41470462,1.7558078,-0.46496817,0.3683386,1.9029107,0.2277236,0.17116122,0.2063809484243393,2.2656588554382324,1.0561
132,1.5667317,0.72874975,1.2073214,0.22545885,0.7041322,-1.3283341,0.00823038,0.17699268460273743,2.259697437286377,1.1324129
133,1.5356346,0.7382361,-1.0875156,0.24563035,0.76381177,0.862941,0.5318891,0.16624732315540314,2.2428653240203857,1.1256887
134,3.4401877,-1.2334214,-0.13010079,0.38039723,-1.1912909,-0.07469431,0.7231822,0.16046270728111267,2.230076789855957,1.1053807
135,-0.10157241,2.1848674,-0.39944625,0.28762653,2.2800784,0.31419143,0.11764442,0.12080221623182297,2.3157505989074707,1.0516335
136,3.7030663,-1.5468303,-1.3114051,0.23933963,-1.3313613,1.2992584,0.078137726,0.009930063039064407,2.034923791885376,0.94248605
137,3.4056711,-1.0975784,-0.52572113,0.3126564,-1.0733765,0.22984517,-0.8106099,0.12328366935253143,2.277460813522339,1.1128958
138,2.9303317,-0.5958296,2.002362,0.3262283,-0.57068205,-2.1877725,-0.7917058,0.12740786373615265,2.085296869277954,1.1162045
139,1.0473281,1.1901422,2.3561952,0.26517504,1.236403,-2.4160948,-0.6092382,0.13282915949821472,2.112323522567749,1.101502
140,1.8644149,0.27629954,-0.11322332,0.2515624,0.39430588,0.16385178,0.7244022,0.021788310259580612,2.0291454792022705,1.038485
141,-0.5854874,2.7654848,1.5733252,0.3913657,2.9460359,-1.7742077,0.19768147,0.15275704860687256,2.112614870071411,0.9843971
142,1.2219957,1.1346152,-1.8798172,0.31780806,1.1397866,1.7132235,0.059928134,0.19308795034885406,2.1007368564605713,1.1028684
143,1.7463835,0.58090407,-1.0711385,0.2518631,0.41590983,1.0189911,0.47835252,0.14012537896633148,2.0831964015960693,1.1152616
144,0.026566572,2.2190773,2.4525893,0.31999275,2.2119794,-2.5778487,0.6630578,0.12273336201906204,2.2545325756073,1.0555346
145,0.2965457,1.8530908,-1.2211509,0.43037453,1.8485606,1.036893,0.4542139,0.19127851724624634,2.5474889278411865,1.0730635
146,1.259444,0.966469,-3.9207978,0.33084992,1.0887396,3.5154912,0.8744553,0.06024326756596565,2.1862809658050537,1.009706
147,-0.7695282,2.9725046,0.23064516,0.2455797,2.9443204,-0.3526585,-0.26925802,0.19099347293376923,2.389014959335327,1.101317
148,0.25953245,2.040137,0.59436554,0.3850585,1.9821485,-0.75360906,0.25524673,0.17797915637493134,2.1085891723632812,1.0657156
149,2.1492295,0.11149844,-0.7127283,0.30804324,0.20947345,0.52744776,0.6257564,0.13025742769241333,2.119063138961792,1.0730624
