,posterior_g1,posterior_g2,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
212,0.5879026,-0.19415586,0.95,0.3766935169696808,14.521911,0.4828679859638214
213,-0.12123905,0.284489,0.95,0.5578848123550415,8.377193,1.8745520114898682
214,0.6210086,0.22637774,0.95,0.1880480796098709,9.94793,0.1593921035528183
215,0.324541,-0.3370957,0.95,0.4829047620296478,14.65042,0.7191818356513977
216,-0.007815471,0.40038326,0.95,0.49506404995918274,13.294942,0.6481786966323853
217,0.08655166,0.5461695,0.95,0.4670054614543915,11.960444,0.559586226940155
218,0.06502837,-0.9145503,0.95,0.6421775221824646,14.279109,1.4260433912277222
219,1.0672078,0.5229674,0.95,0.15963013470172882,14.718601,0.43342113494873047
220,-0.3095104,0.26831353,0.95,0.62847900390625,11.233234,1.5021308660507202
221,0.7489453,0.192982,0.95,0.25617581605911255,11.451474,0.5318557620048523
222,0.34581748,-1.2875311,0.95,0.5912514925003052,12.299467,1.1166120767593384
223,1.081574,-0.6779778,0.95,0.284222275018692,15.0240555,0.2327365279197693
224,0.41340557,0.23200679,0.95,0.40022730827331543,11.105934,0.698742151260376
225,-0.26578605,0.00352469,0.95,0.6422532796859741,14.84891,1.3016685247421265
226,0.4731773,-0.16469765,0.95,0.4158764183521271,14.583578,0.23763635754585266
227,-0.77878445,2.1063752,0.9481629729270935,0.563378095626831,11.6647625,1.0433512926101685
228,0.5365032,0.9634126,0.95,0.2497624009847641,11.256085,0.8303563594818115
229,-0.35906988,0.21478747,0.95,0.6471195816993713,12.25648,1.4409831762313843
230,0.99535424,0.5339233,0.95,0.15984925627708435,13.453162,0.2977641224861145
231,0.0579113,-0.51496005,0.9012402296066284,0.6028888821601868,7.188916,2.8439385890960693
232,-0.08820082,-0.3539685,0.95,0.6398295760154724,15.041012,1.3540126085281372
233,-0.87419516,0.02732327,0.4564517140388489,0.7526339888572693,12.182617,0.05
234,-0.15295258,-1.3561387,0.45017626881599426,0.7746331691741943,14.359453,2.3610260486602783
235,0.4039639,-0.32708365,0.95,0.4729001820087433,12.873401,0.3977987766265869
236,0.72704506,0.88698566,0.95,0.18388596177101135,14.699376,0.3391505777835846
237,-0.99699944,0.20826377,0.367587685585022,0.8529030680656433,14.717846,2.894767999649048
238,0.27423042,0.062429655,0.95,0.45796266198158264,14.82608,0.33591824769973755
239,0.68890643,0.6915414,0.95,0.21098196506500244,13.784132,0.29596787691116333
240,0.4720528,-0.5143543,0.95,0.47021347284317017,11.596825,0.9844920039176941
241,-0.73849475,-0.9249077,0.3711297810077667,0.9028741121292114,14.904289,2.905150890350342
