,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
97,1.5638628,1.9623597,-0.6481367,0.93034834,-0.425275,0.5323903560638428,0.05556703358888626,2.515647,0.5249183773994446
98,-0.05615506,-0.21631646,0.7908229,-0.074834675,-0.708486,0.95,0.597043514251709,10.364475,2.0086913108825684
99,0.11609251,-0.7320303,0.5868365,-0.21981263,-0.6477311,0.95,0.6453471779823303,14.981092,0.629468560218811
100,0.17950706,0.7187332,-0.7474358,-0.3104551,0.010058178,0.5757216811180115,0.6801657676696777,8.399868,2.875725746154785
101,-1.1974463,-0.1588075,-0.24390303,0.36424282,0.043108795,0.355985552072525,0.8873679637908936,14.829503,0.027637219056487083
102,0.080247216,-1.3977658,-0.1808312,-1.1822779,0.21825887,0.45462459325790405,0.7701994776725769,14.023851,2.17014217376709
103,-1.1633734,0.3148575,0.09479324,1.0734508,-1.1653534,0.30592283606529236,0.9399637579917908,14.888878,0.0191547479480505
104,-1.2300717,0.28058258,1.4794859,-0.3915412,0.44824985,0.95,0.5822474956512451,11.276072,1.6477134227752686
105,0.32997116,-0.92399704,-0.6000674,-0.60092986,-1.1623535,0.2643202245235443,0.881499707698822,13.807213,2.722170114517212
106,-0.24791141,-0.5887771,0.49107444,-0.86859053,0.110178284,0.95,0.6361197233200073,14.528939,0.6841358542442322
107,1.6640747,-0.5166229,0.2113428,-0.52306503,-0.44606802,0.95,0.1765396147966385,13.078141,0.21013465523719788
108,1.5369686,0.33361986,1.2052296,-0.2569093,0.63802224,0.04838348925113678,0.09780237078666687,4.373561,0.9258478283882141
109,-0.79024404,-0.17425556,0.81590253,0.1283932,-0.7401278,0.46866872906684875,0.8290916681289673,13.90261,2.910942554473877
110,0.29894647,0.8623429,0.47885972,-0.8100532,-0.104851075,0.95,0.23951217532157898,9.802582,0.18148456513881683
111,-1.3204741,-1.1213794,-1.1718304,-0.47993234,-0.32013598,0.05,1.2913780212402344,15.055144,2.861067771911621
112,-1.0354456,-0.26695108,-0.36204514,0.17143533,0.33158076,0.354408860206604,0.8903407454490662,14.704058,2.8339076042175293
113,-0.403711,0.05470957,-0.75048804,1.2997993,-0.17277616,0.5736717581748962,0.7642144560813904,13.056113,1.914263129234314
114,-0.5781917,-1.000985,0.14428465,-0.53069013,-0.051443856,0.38747644424438477,0.8779739737510681,14.706684,2.909574031829834
115,0.49231553,-0.15753166,1.1291059,0.33666816,-0.3183215,0.95,0.28301557898521423,13.925848,0.5230940580368042
116,0.27181095,0.77405053,1.6512679,-0.35180426,0.35456908,0.95,0.19668914377689362,10.371712,0.8163939118385315
117,-0.86776304,0.013271333,1.1302972,0.22569923,-0.15650775,0.95,0.64694744348526,12.800147,1.41977059841156
118,0.9822371,-0.22668976,-0.70712405,-0.76130974,-0.5119861,0.95,0.49952974915504456,12.494619,0.16037125885486603
119,0.8745133,-0.6746613,1.3224208,0.42970276,-0.07118447,0.95,0.18258830904960632,11.010172,0.8058582544326782
120,0.7350368,-0.42485166,-0.6964868,-0.8089197,-0.09285281,0.95,0.5629936456680298,14.832922,0.1338716745376587
121,0.7631639,-0.34584045,-0.59094083,-0.5569199,0.79957956,0.95,0.3482724726200104,12.628808,0.17790161073207855
122,0.6598312,0.371155,0.8165074,-0.2193037,-0.2907849,0.95,0.20905916392803192,11.247327,0.21707041561603546
123,-0.59571666,-0.3277466,-0.9923882,-0.6515549,0.4959081,0.2599314749240875,0.8682920336723328,12.006557,2.8632454872131348
124,-0.099499345,-0.7845639,-0.3579577,-1.017106,-0.6038455,0.27825507521629333,0.8849210143089294,14.452172,2.8343167304992676
125,-0.6653817,-0.82473034,-0.6719817,-0.5435181,0.07712433,0.2576982080936432,0.92335444688797,14.756349,2.8139264583587646
126,1.2803456,-1.2165868,0.32759538,-0.28992584,-0.8717378,0.95,0.4449930787086487,12.046347,0.867961049079895
127,-1.126171,-0.18785001,0.86098397,0.80173844,1.5988715,0.95,0.3936545252799988,11.253615,0.14110615849494934
128,-0.02241757,1.2029773,-0.007991441,-0.1718564,0.1890022,0.95,0.3487967550754547,11.032985,0.39035484194755554
129,1.0817666,-0.05951898,-0.056839503,-0.49742776,-0.39188027,0.95,0.2957876920700073,10.002116,0.48795416951179504
130,-0.42924076,0.29151672,0.21212155,0.06386765,0.883649,0.95,0.4446317255496979,11.720174,0.5742890238761902
131,-0.09271807,0.6979233,-0.41074046,0.8705952,0.37289765,0.95,0.4511413276195526,12.614055,0.3639604151248932
132,-1.0698062,0.09124276,0.049146544,-0.27061307,0.27925223,0.3680417537689209,0.8343718647956848,14.73448,2.914400815963745
133,-1.6473687,-0.4591058,-0.107768916,-0.49996218,0.078194864,0.10207320749759674,1.1187269687652588,15.018211,2.9108684062957764
134,-0.036795337,-0.1547855,-0.75320625,-0.40358603,-0.48997444,0.27116742730140686,0.9668640494346619,14.885353,2.7163939476013184
135,0.18050086,1.1333094,0.129042,0.44284496,0.24404855,0.95,0.25966209173202515,14.882,0.31284868717193604
136,-0.8653009,0.42112502,-0.6813146,0.7048604,0.6868664,0.7175806164741516,0.7117059826850891,13.037633,2.5549046993255615
137,-0.6916996,-1.0425693,0.30053994,-0.78374374,0.2826967,0.43286728858947754,0.7859634757041931,13.446211,0.015330443158745766
138,0.55453897,0.12142641,-0.18757513,-0.13424437,0.6212165,0.95,0.22323614358901978,12.616866,0.260036826133728
139,0.34453633,-0.38248992,-0.34007734,-1.0648257,0.2525366,0.95,0.6007997393608093,14.110015,0.9011727571487427
140,-0.41844365,-0.12959552,-0.084100574,-0.63705033,-0.6896598,0.4069894254207611,0.817720353603363,14.83392,0.05
141,1.0401561,-0.59377533,0.0034715838,0.3207102,0.19478625,0.95,0.26291802525520325,7.312041,1.7835471630096436
142,0.4277057,-0.7013021,-0.011003664,0.6289981,0.010780291,0.95,0.47471344470977783,12.924829,0.6199918985366821
143,0.6118399,0.26237392,-1.8763266,-0.07438186,-1.0241845,0.2579505443572998,0.973183810710907,13.76251,2.037407398223877
144,-0.42042527,-0.025054738,0.21206822,0.23437046,-0.7009341,0.47563043236732483,0.7934247851371765,14.758623,2.731433629989624
145,0.355127,-1.293577,-0.9013995,0.34461322,-0.25284204,0.48234549164772034,0.7812723517417908,14.414396,2.714515447616577
146,0.31363574,-0.69997126,0.439617,-1.0044744,-0.6893934,0.95,0.6432868838310242,14.101816,1.7947028875350952
147,-0.28616223,1.0580827,-0.46006575,-0.590149,0.9074084,0.95,0.4371671676635742,14.525369,0.1855328381061554
148,0.22783758,-0.41044632,-1.1840725,-1.4753683,0.9371393,0.5060267448425293,0.8200885057449341,14.210851,2.7196767330169678
149,-0.32229158,-1.7955612,-0.0025310684,0.564212,0.031601265,0.3554282486438751,0.8339030742645264,14.495131,2.863564968109131
150,0.12839264,-0.8661572,0.5076044,-0.9642263,-0.051952608,0.95,0.5823484659194946,13.418635,0.586927056312561
151,-0.8856202,-1.2340631,-0.5762905,0.49426013,-0.1995981,0.13113422691822052,1.0471515655517578,14.955973,2.8674919605255127
152,1.2930764,-0.712401,0.36564964,0.26171553,0.048429843,0.95,0.15135779976844788,8.411355,1.3354942798614502
153,0.5382972,0.22662877,-0.38649523,-0.5124529,0.38997343,0.95,0.31290194392204285,8.809541,0.12181228399276733
154,0.24443442,0.8629037,-0.21222289,-0.7048413,-0.6373639,0.95,0.5631900429725647,14.639332,0.2791587710380554
155,0.12656085,-0.22064638,0.23609518,1.6523823,-0.36003828,0.95,0.4789334535598755,14.016598,0.33084455132484436
156,-1.6389405,-0.08132491,-1.1571872,-0.65236557,0.084406674,0.026122860610485077,1.332746148109436,15.019771,2.9079668521881104
157,-0.040036127,0.02821956,0.35570115,-0.90024906,0.2627162,0.95,0.5195475816726685,9.097299,1.2687445878982544
158,0.031475272,-0.6776472,0.6204791,-0.08707362,-0.19540516,0.95,0.5302466750144958,9.16514,1.3748596906661987
159,0.816404,0.76994646,-0.0880627,0.04113308,0.54860395,0.95,0.12512272596359253,9.92064,1.4417697191238403
160,-0.74140644,-0.20265429,0.07714571,0.14461857,-0.0045782705,0.4201466143131256,0.7980708479881287,14.776351,2.8437628746032715
161,-0.5342766,-1.2164112,0.510988,-0.055020988,-0.689181,0.4074755311012268,0.862252950668335,14.909688,0.010218474082648754
162,-0.6957185,-1.0995331,-0.37098977,-0.9629596,-0.5036522,0.08971609175205231,1.095924735069275,14.878125,2.911038875579834
163,1.0944276,-0.5488486,0.40469655,-0.28321156,0.20724875,0.95,0.22944872081279755,14.66784,0.538615882396698
164,-0.7427072,1.9805286,0.7809259,-0.91700333,-0.27628416,0.95,0.5220338702201843,9.975753,1.2083145380020142
