,posterior_g1,posterior_g2,posterior_g3,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
100,2.0830178,0.05302935,0.00655614,0.829909086227417,0.07098232954740524,4.672062,0.30236304
101,2.0872297,0.03782769,0.11381683,0.7228607535362244,0.03723445534706116,3.2497106,0.47665197
102,2.2369602,-0.019858565,0.011350154,0.8612511157989502,0.06416655331850052,3.5821571,0.39154515
103,2.1694934,0.0053522913,0.07269691,0.9028206467628479,0.05702381208539009,3.7838478,0.3420003
104,2.0814295,0.008363079,0.11917645,0.7352619171142578,0.04228752851486206,3.6347466,0.427393
105,2.067275,0.016183339,0.063927785,0.7450236678123474,0.05579979345202446,4.1144156,0.3482316
106,2.0718908,0.0013305908,0.0013785597,0.7908516526222229,0.038766566663980484,4.20854,0.29297224
107,2.22955,0.052073143,0.055418566,0.832429826259613,0.08255736529827118,3.312079,0.4073862
108,2.136242,0.022952888,0.04541113,0.6871275901794434,0.03388950228691101,3.5307343,0.40648326
109,2.0361462,0.009210374,0.057350043,0.7962281107902527,0.059313252568244934,3.4183462,0.40398893
110,2.2205186,0.034091126,-0.044875838,0.8281243443489075,0.06643232703208923,4.2140427,0.32544857
111,2.1059725,-0.0023432923,0.0355184,0.89511638879776,0.04785427078604698,4.026841,0.34734237
112,2.2096534,-0.046442,0.009911267,0.6161451935768127,0.048056185245513916,3.7218668,0.42259553
113,2.102829,-0.02280083,0.042867877,0.7885241508483887,0.07173793017864227,3.6838465,0.39780146
114,1.9370248,0.032587755,0.09400559,0.673504650592804,0.09984371811151505,3.7453978,0.41585904
115,2.0012589,0.03177812,0.035367053,0.7182571291923523,0.11405307799577713,4.2639375,0.37101
116,2.0836263,0.024743373,0.055705257,0.7822239398956299,0.0530276782810688,4.2548347,0.2998604
117,1.9662117,0.03123539,0.05797526,0.6246140003204346,0.052992429584264755,4.3580565,0.29637462
118,2.1972544,0.021958085,-0.003921381,0.9138590097427368,0.054719023406505585,4.1282177,0.32912797
119,2.127737,-0.032409314,-0.015381969,0.792375385761261,0.04897229000926018,4.124993,0.30406117
120,2.0079076,0.02702105,0.039417375,0.7416777014732361,0.061124805361032486,4.1540217,0.29941675
121,2.0759428,0.015126544,0.05270582,0.8823414444923401,0.08939065039157867,4.142895,0.32297972
122,1.8149699,0.034490183,0.017278994,0.48946651816368103,0.18725967407226562,5.0902653,0.32414857
123,2.047201,0.016449368,0.040546264,0.8676918745040894,0.06754547357559204,4.1887326,0.35256693
124,1.9504961,0.026347954,0.111836,0.6067671775817871,0.07725991308689117,4.304574,0.34647152
125,2.0834558,0.041702602,-0.022660393,0.8293132781982422,0.04482220113277435,4.737126,0.2603347
126,2.1299226,0.027539473,0.023490595,0.8499869108200073,0.0527539998292923,4.0839934,0.32168332
127,1.9640222,0.032692563,-0.0027417927,0.5818272829055786,0.1442125290632248,4.1433916,0.4398659
128,1.9646205,-0.013889754,0.005858849,0.5825991630554199,0.0542348250746727,4.596707,0.2784998
129,2.149071,0.018629227,-0.024316777,0.8939626812934875,0.05,3.8315613,0.31607994
130,2.0147052,0.056835126,0.08166405,0.7205198407173157,0.05561895668506622,4.1625853,0.34384862
131,2.0329058,0.01628368,0.047413494,0.7539424300193787,0.054395291954278946,4.0090394,0.32494128
