,posterior_g1,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
2075,1.9107301,0.40951905,0.05517105385661125,4.9358606,0.38942041993141174
2076,1.8516214,0.32057524,0.05,5.68264,0.32394254207611084
2077,1.8635991,0.35929087,0.05,5.2285314,0.3256579339504242
2078,1.7979236,0.17780031,0.0322435237467289,6.7119603,0.3707837462425232
2079,1.775754,0.1357994,0.037402454763650894,6.691499,0.3902278244495392
2080,1.8751929,0.41684484,0.048423975706100464,5.223044,0.37588953971862793
2081,1.9286052,0.54895544,0.05155550688505173,3.973304,0.44931837916374207
2082,1.9424983,0.4962423,0.09277703613042831,4.047405,0.5938721895217896
2083,1.8402042,0.25289235,0.02934540994465351,6.019698,0.3295588493347168
2084,1.6860468,0.08381972,0.05,7.181933,0.46307769417762756
2085,1.7705561,0.14291261,0.03388170152902603,6.283023,0.38827821612358093
2086,1.9595704,0.53719103,0.04944394901394844,4.0672007,0.3811946511268616
2087,1.8767011,0.39018968,0.05301663279533386,5.541448,0.38645464181900024
2088,1.9771413,0.58748037,0.07374157756567001,3.8846972,0.45700421929359436
2089,1.7903088,0.20242491,0.03554067015647888,6.513024,0.3602643311023712
2090,1.8078119,0.23640338,0.03344656154513359,6.278414,0.3551899790763855
2091,1.8273226,0.2532782,0.05,5.9986067,0.295007586479187
2092,1.9832835,0.5443004,0.06493628770112991,3.5563273,0.5720265507698059
2093,1.8210286,0.23063506,0.05,6.4273353,0.3185800313949585
2094,1.8764191,0.3223119,0.04276067391037941,5.136109,0.4121634066104889
2095,1.9271289,0.48465532,0.02457837387919426,4.976251,0.34377387166023254
2096,1.8994229,0.40276515,0.05827062204480171,4.6072197,0.42668306827545166
2097,1.9004838,0.4559259,0.05,5.192666,0.3064064085483551
2098,1.9462999,0.46838966,0.06785127520561218,4.45364,0.47412142157554626
2099,1.5868385,0.1250923,0.05,6.3182645,0.4852573573589325
2100,1.9555191,0.58235437,0.06323324888944626,4.1221056,0.46821457147598267
2101,1.7105118,0.09376335,0.05,6.9203606,0.3797214925289154
2102,1.7848747,0.17226112,0.05,6.377947,0.3333178758621216
2103,1.8722296,0.36209443,0.03578442707657814,5.4576163,0.39298155903816223
2104,1.9186949,0.47851256,0.03014313243329525,4.5758677,0.3473517894744873
2105,1.9094096,0.39326927,0.03761639818549156,4.353927,0.4603669047355652
2106,1.9279732,0.47960064,0.0775422602891922,4.4850535,0.44062554836273193
2107,1.98398,0.61235464,0.05580362305045128,3.8936656,0.4730147421360016
2108,2.1312213,0.93520594,0.04233214631676674,4.2974133,0.2998138666152954
2109,1.9798921,0.5161118,0.040668852627277374,3.964981,0.4178808033466339
2110,1.8264192,0.24740244,0.04138687998056412,6.570299,0.33795857429504395
2111,1.8505675,0.32499072,0.051542188972234726,5.899284,0.36161285638809204
2112,1.9476719,0.53185797,0.042311858385801315,4.938054,0.3584868609905243
2113,1.795458,0.17128165,0.04037848860025406,6.1992583,0.40603163838386536
2114,1.9284075,0.4402963,0.028130555525422096,4.7217293,0.43336376547813416
2115,1.8063148,0.2315437,0.05,5.6044407,0.31901949644088745
2116,1.7713761,0.19189727,0.03011423908174038,6.251704,0.3829030394554138
2117,1.7335488,0.14499383,0.031649667769670486,6.7850633,0.40324848890304565
2118,1.7778203,0.16645664,0.03914262354373932,6.677763,0.34713414311408997
2119,1.9658204,0.55440813,0.07131823897361755,3.968789,0.5205249190330505
2120,1.8828139,0.33086884,0.014524773694574833,4.584337,0.39742159843444824
2121,1.8530843,0.30659232,0.05,5.476554,0.3573096990585327
2122,1.8350568,0.26240388,0.05,5.9803314,0.28499311208724976
2123,1.7802483,0.12811963,0.031066512688994408,6.778994,0.38498061895370483
2124,1.9075743,0.47391772,0.05235036090016365,5.00976,0.42002224922180176
2125,1.9800183,0.53332764,0.049536556005477905,3.4659936,0.5393040776252747
2126,2.0290532,0.59633124,0.08649280667304993,3.5098834,0.5620777606964111
2127,1.7671689,0.103921734,0.05,6.2426066,0.37413108348846436
2128,1.9731824,0.6282474,0.048769511282444,4.5555043,0.40621891617774963
2129,2.0305283,0.73975766,0.05,4.0750413,0.3903212249279022
2130,1.7479881,0.11274268,0.05,6.8129964,0.34736326336860657
2131,1.8835912,0.47353655,0.05,4.9955096,0.33741775155067444
2132,1.9129016,0.3963599,0.06296547502279282,4.5452323,0.5050044655799866
2133,1.6423436,0.11530734,0.05,6.8046155,0.47584468126296997
2134,1.9161116,0.511589,0.06737568974494934,4.995937,0.3610508441925049
2135,1.8920071,0.36216298,0.05,4.9559026,0.3678901195526123
2136,1.9018694,0.41791457,0.047545161098241806,4.657991,0.4276435077190399
2137,1.9424456,0.47029302,0.09766550362110138,3.8381321,0.6134316921234131
2138,1.8668956,0.33348203,0.055979952216148376,5.1991076,0.4048106372356415
2139,1.7808255,0.19860098,0.05,5.771525,0.32996001839637756
