,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
84,0.951779,1.3142822,-1.3840164,1.8510077,1.439857,0.94251585,-1.5457457,0.85123205,0.20404862,3.3865917,0.15243935585021973
85,1.3915437,1.0615878,2.1115804,1.6730497,1.0377935,-2.565766,-1.4591372,0.8608731,0.22534543,3.103629,0.18036159873008728
86,4.206953,-2.2076366,0.65841657,0.3544395,-2.3049045,-0.89632267,-0.088201955,0.8368362,0.35942748,3.6856194,0.2826266884803772
87,2.7937932,-0.52219707,-0.11168411,1.9983907,-0.56278294,-0.21709196,-1.5836072,0.86070895,0.16977233,3.5332174,0.12066762149333954
88,1.777435,0.50912637,1.3553632,2.9281657,0.419905,-1.7873547,-3.0718277,0.7956548,0.26235834,2.8624458,0.05690671503543854
89,1.2955487,0.77454484,-1.3417488,1.9085844,0.7662173,1.0001794,-1.4971962,0.8574161,0.19500336,3.885003,0.13133084774017334
90,2.7485797,-0.533848,-0.45626354,-0.72851104,-0.684036,0.40558815,1.0722566,0.8555899,0.27533302,3.6886528,0.22272059321403503
91,3.7561233,-1.5531017,-0.09755883,1.520544,-1.7827879,-0.2675564,-1.2028348,0.85920316,0.26293948,3.6885462,0.1845640242099762
92,2.7266796,-0.31980535,1.6505578,0.7678858,-0.26306286,-1.7828414,-0.50685847,0.82765096,0.51297957,3.5250707,0.32670485973358154
93,4.2998514,-2.1124907,-1.0948436,2.345702,-2.1475697,0.8386588,-2.0062947,0.84942925,0.18703586,3.2842362,0.08843058347702026
94,-0.14820716,2.6776602,-2.2361133,0.32649055,2.51633,2.1403348,-0.24699132,0.8417218,0.4701782,3.7561836,0.25937777757644653
95,0.14703484,2.2114165,1.146022,0.029501576,2.1098268,-1.4026837,0.43951574,0.8525843,0.4103902,3.1450992,0.35437703132629395
96,3.6710787,-1.310527,2.047923,-1.056279,-1.4043751,-1.9120417,1.449273,0.8546814,0.39540717,3.109205,0.23836560547351837
97,3.884939,-1.3300277,-1.2764081,2.492768,-1.4970428,0.9252679,-2.5223873,0.85101724,0.26872033,2.8328884,0.07697722315788269
98,1.6254256,0.5409653,-2.6602993e-06,1.1049407,0.5294819,-0.38555786,-0.77544063,0.8621366,0.2566255,3.286191,0.3094007074832916
99,1.5928135,0.46602228,0.5522915,2.1479533,0.35100812,-0.55229205,-2.1493318,0.86292833,0.14097849,2.931933,0.12335000187158585
100,-0.74120116,3.0266993,1.8227136,-0.71670425,3.1045916,-2.0487645,1.2064347,0.85591894,0.34608114,3.296652,0.26371636986732483
101,4.105393,-1.8331215,1.8226919,0.80398613,-2.0449812,-2.0516982,-0.5416402,0.86041516,0.2590462,3.3050156,0.262077271938324
102,0.41130108,1.8390948,-1.8238097,0.63746864,1.6401789,1.6545333,-0.32581753,0.8577375,0.37236074,3.5885189,0.29403531551361084
103,1.2844056,0.94824594,-0.7808135,0.7499222,0.7617563,0.5214423,-0.5009454,0.8560433,0.30020985,3.3745413,0.2782476544380188
104,-0.16057144,2.517006,-0.44119284,-0.18752919,2.393066,0.44413254,0.49130458,0.8138251,0.5242242,2.9005792,0.3842124938964844
105,1.3797005,0.88758564,-1.0878643,3.7255476,0.8034549,0.54403603,-3.967649,0.8072447,0.31586972,2.5363057,0.0288400836288929
106,1.0158871,1.1836923,-2.515964,-0.064631,1.1492153,2.486996,0.20950572,0.8414675,0.4426319,3.1039515,0.4039389193058014
107,0.47778565,1.7712286,-0.41892922,1.159868,1.6068388,0.23251224,-1.0122232,0.8525797,0.35598522,3.2640176,0.24207092821598053
108,1.1462421,1.1486722,2.6236148,-0.5262056,0.9886858,-2.4129598,0.97325367,0.8549333,0.36844075,2.797053,0.341237336397171
109,2.8150089,-0.5993906,1.6412438,0.71168005,-0.46262285,-1.7488863,-0.3633505,0.8345162,0.45922917,3.3765888,0.33647680282592773
110,0.08806261,2.129605,2.9349554,0.8573151,2.0832205,-3.0339193,-0.5343375,0.849075,0.45224556,3.2795022,0.2967187166213989
