,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5
220,-0.44035983,0.39872205,3.085585,-0.7037623,-0.076531775,0.18056326,-0.7493941
221,-0.46692502,0.3695736,3.2235408,-0.8768927,-0.13436064,0.21332379,-0.89753985
222,-0.31318265,0.3639064,0.18002671,2.0476515,-0.12998086,0.22098464,2.0848873
223,-0.42446116,0.3716373,3.4180605,-1.1317947,-0.18431434,0.28653082,-1.1313398
224,-0.34276783,0.38126653,4.301393,-1.9277298,-0.16758206,0.35708907,-1.9565678
225,-0.36040357,0.36461285,3.0262113,-1.0383879,-0.09446081,0.2517996,-0.9166426
226,-0.47835833,0.38832825,1.3493497,0.8159864,-0.14008248,0.23501727,0.89820087
227,-0.44086587,0.3685846,1.9033343,0.24765554,-0.16923483,0.26115978,0.34221724
228,-0.19397141,0.40749004,0.5271457,1.5929074,-0.20527576,0.1917798,1.6656654
229,-0.39094582,0.33314508,0.4325735,1.8837582,-0.18376419,0.2380599,1.9336114
230,-0.45560664,0.36581823,1.6306366,0.5571925,-0.17763452,0.31656957,0.5862321
231,-0.3822436,0.38208324,0.13444862,2.1385005,-0.1066239,0.22827472,2.1510723
232,-0.27313748,0.40534976,-0.047588184,2.1649542,-0.12680882,0.24922673,2.1710403
233,-0.36421663,0.3849422,-0.16172227,2.3365538,-0.16449083,0.19989097,2.4255292
234,-0.35860604,0.3668272,4.990103,-2.6559541,-0.22926791,0.38549745,-2.6352248
235,-0.49328193,0.35801473,2.60976,-0.4414388,-0.17493597,0.27851543,-0.37658328
236,-0.44548482,0.33528018,1.6532761,0.5504109,-0.17876711,0.2999606,0.598313
237,-0.4511171,0.3702824,2.586969,-0.40585455,-0.18966292,0.29449928,-0.34295008
238,-0.62826407,0.35251555,-0.13325769,2.268554,-0.14791411,0.25704974,2.206931
239,-0.3783086,0.38981616,2.9970722,-0.85309917,-0.162141,0.22240481,-0.7781565
240,-0.49639466,0.37141865,0.37446216,1.9157863,-0.19201334,0.23546642,1.8699965
241,-0.32924312,0.37044713,0.8743765,1.3851151,-0.12269743,0.17889899,1.3690083
242,-0.31388286,0.36275205,1.7480563,0.44829336,-0.19582121,0.30325878,0.48620257
243,-0.44266075,0.31895548,1.4069359,0.9406649,-0.22461255,0.24979982,0.8555275
244,-0.44159514,0.30472624,3.4143414,-1.1579149,-0.10388696,0.17147028,-1.1766104
245,-0.3486176,0.36794135,2.193796,0.019650927,-0.12488737,0.16684555,0.017828079
246,-0.2305391,0.37770858,1.0220728,1.2455932,-0.25846237,0.3329001,1.296445
247,-0.33822137,0.3948032,1.5443795,0.6002738,-0.12134066,0.23327142,0.6576335
248,-0.31868938,0.344196,1.746989,0.39974666,-0.13046382,0.1897956,0.4009432
249,-0.29107237,0.37373126,1.8250254,0.50033003,-0.22669704,0.3252463,0.50603116
250,-0.27905938,0.37828207,0.791403,1.2556443,-0.16213618,0.261399,1.4632499
251,-0.3933774,0.3894921,2.9520545,-0.99859154,-0.108102724,0.2071688,-0.7773874
252,-0.55444765,0.36196822,2.125424,0.1252772,-0.19770549,0.31965584,0.20917313
253,-0.36443117,0.38453183,0.5665419,1.5661463,-0.19086577,0.31397116,1.6594106
254,-0.59824383,0.37396616,-0.046428084,2.4036384,-0.1791909,0.20240955,2.4309347
255,-0.47557446,0.3637955,0.5990111,1.5759401,-0.081502974,0.20683813,1.5491823
256,-0.55281776,0.33634773,2.3491638,-0.11002249,-0.122758225,0.26138747,-0.08753486
257,-0.30917376,0.35050163,0.47480735,1.8514752,-0.25543845,0.3440636,1.8135387
258,-0.44432777,0.37955016,0.49498126,1.5375078,-0.06316939,0.23649994,1.5709902
259,-0.37176755,0.39399388,3.5125797,-1.35655,-0.14927696,0.30744717,-1.3012645
260,-0.40647995,0.3484595,2.623575,-0.38188398,-0.0586575,0.16881299,-0.3871342
261,-0.488856,0.33431828,0.49467194,1.8895267,-0.15828289,0.2771885,1.744052
262,-0.38848022,0.3947622,1.8610982,0.35307404,-0.07005223,0.15155162,0.29293123
263,-0.54688954,0.3165867,2.6972406,-0.42665327,-0.19106667,0.3038166,-0.48778632
264,-0.33312896,0.39041373,-0.6737608,3.01407,-0.1332667,0.1018166,3.0443718
265,-0.28902137,0.41963133,0.4942949,1.6762106,-0.17162685,0.18155225,1.7669489
266,-0.51355433,0.3340196,1.8345088,0.31171063,-0.09679971,0.3176156,0.37447092
267,-0.47851887,0.41769204,3.267694,-0.9344037,-0.26755995,0.32303584,-0.91091365
268,-0.36886016,0.37986287,1.0201705,1.2043489,-0.22420828,0.23918912,1.2181844
269,-0.2721227,0.4048539,0.39209974,1.9793978,-0.2062491,0.23355098,1.9524384
270,-0.41645753,0.37198845,1.7480516,0.40615663,-0.1598298,0.28454688,0.48865715
271,-0.38132405,0.39623147,-1.1416343,3.3899117,-0.20488714,0.22685324,3.4403832
