,posterior_g1,posterior_g2,posterior_g3,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
227,2.074669,0.08047907,0.033284847,0.6603784,0.2829202,4.0346675,0.28582415
228,2.226418,0.044807572,-0.08741402,0.6392344,0.4230442,3.6451004,0.29112744
229,2.0673187,0.050155006,0.062225353,0.75511336,0.36456186,3.5680487,0.35755998
230,2.0944128,0.03159843,0.029789086,0.6300948,0.428467,3.8778238,0.27116114
231,1.9744422,-6.7130486e-06,-0.008900147,0.33086407,0.47953832,4.671955,0.2267415
232,2.0316591,0.08219536,0.030568924,0.6580848,0.4262242,3.8941448,0.2638316
233,2.7073803,0.03431745,0.012593073,0.73545945,0.655329,3.4860651,0.32980374
234,1.9392314,0.04216897,0.042031504,0.06911385,0.45089132,4.0743804,0.29382136
235,2.131752,0.05054918,0.04332284,0.6166624,0.4788934,4.014855,0.2741738
236,2.1313758,0.0010192334,-0.056906763,0.5535545,0.43444642,3.9837472,0.28792396
237,2.2788439,0.03933552,-0.018367741,0.701232,0.48474059,3.3669155,0.34235224
238,2.175766,0.046749912,-0.0727089,0.7353543,0.38224626,3.1864467,0.39890528
239,2.347582,0.018925069,0.019187458,0.7541715,0.45392054,3.4121747,0.3448853
240,2.335411,0.07359778,0.029385863,0.7982805,0.3653926,3.0516772,0.4265781
241,2.4953406,0.025634743,-0.0101376455,0.6972207,0.57376957,2.7626119,0.43504235
242,2.2223551,0.07693409,0.05487066,0.7558245,0.3307167,3.7337444,0.29377338
243,2.2800012,0.07603294,0.053790294,0.7374891,0.5286036,3.736848,0.3249047
244,2.582881,0.08935982,-0.040686257,0.7052425,0.5395497,2.875346,0.4448106
245,2.4070413,0.058413025,-0.008649695,0.7594036,0.448117,3.3226166,0.3751864
246,2.4181964,0.047578756,0.0060720197,0.7632339,0.4548089,2.9955873,0.40726006
247,2.442531,0.073604,-0.0062871906,0.8193255,0.37804177,2.7705266,0.4572363
248,2.300834,0.097655706,-0.0131738605,0.78024364,0.4717885,3.3407052,0.3505621
249,2.186886,0.078887895,0.03934959,0.7184139,0.27268004,3.3987458,0.3520351
250,2.0933046,0.055115737,0.015488438,0.52179784,0.4826987,4.129893,0.24938062
251,2.2683082,0.077729344,0.045867164,0.78874063,0.4341462,3.6395416,0.29313987
252,2.233333,0.032527413,0.040999275,0.6740753,0.53274924,3.7892883,0.3018073
253,2.3670537,0.044805143,-0.0030331535,0.6602711,0.6424435,3.0670118,0.3802283
254,2.3130097,0.041306883,-0.03997638,0.7501276,0.42170045,3.1362848,0.39664376
255,2.12718,0.0325601,0.0070265103,0.663449,0.38664848,3.767585,0.30691603
256,1.9416797,0.039215423,-0.008134715,0.26979288,0.59344316,4.680737,0.23733848
257,2.2159808,0.02820687,0.005146712,0.5938148,0.50094473,3.82019,0.27540642
258,2.1248116,0.0668959,-0.017915718,0.58531547,0.46184617,4.0222507,0.28186306
259,2.4369774,0.026403645,0.058287982,0.7636881,0.52277917,3.301827,0.34529802
260,2.5866563,0.024966843,0.02626444,0.6849874,0.56378895,3.041817,0.40083906
261,2.3382633,0.07700725,-0.001826961,0.7670394,0.474039,3.4946706,0.31310743
262,2.2735505,0.00045285333,-0.007677106,0.6842699,0.49985856,3.5470135,0.3206257
263,2.1778748,0.04761319,-0.00032647073,0.6816438,0.48319086,3.9104438,0.2591837
264,2.3212593,0.08753068,0.026353756,0.77467513,0.3452618,3.2971456,0.3521706
265,1.9622192,0.069892175,0.018061733,0.51007414,0.45354593,3.7929363,0.29329014
266,2.0432367,0.03906165,-0.038114037,0.6792832,0.33061367,3.3733852,0.35914463
267,2.0187976,0.033057474,0.013317722,0.4485514,0.49534923,4.027239,0.2667741
268,2.41292,0.058133148,0.030879455,0.753077,0.4231573,3.4228752,0.3321366
269,1.9777896,0.05127669,0.024851505,0.6450562,0.39132679,4.252426,0.2852852
270,2.1306212,0.042494006,-0.026736215,0.6064767,0.48462218,4.036938,0.2893215
271,2.0515501,0.062839985,-0.013571381,0.54973555,0.4988831,3.7269604,0.3094846
272,2.0239494,0.062126994,-0.0025267417,0.47674885,0.47426286,4.1480684,0.29299998
273,2.1192672,0.07116923,0.0012841971,0.51326555,0.531959,3.5613487,0.31350115
274,2.1286533,0.05826587,-0.007730474,0.65603924,0.48172104,3.6879978,0.3177693
275,2.5272303,0.021828407,0.016767902,0.79987305,0.45875734,2.9999628,0.41771656
276,2.1222303,0.1457014,0.03441626,0.67553025,0.31760192,3.4263208,0.34185478
277,2.1467605,0.08780065,0.05622096,0.7413138,0.3931515,3.7902365,0.31666574
278,2.0921307,0.055750724,-0.0012887927,0.67530936,0.38913208,3.4435332,0.35137314
279,2.230973,0.024803123,-0.07839596,0.5323806,0.6198288,3.9162352,0.27331087
280,2.2438352,0.11705152,-0.003964907,0.7974863,0.4187116,3.2374527,0.37624136
281,1.9951758,0.0033511515,0.05049969,0.5303236,0.42183605,4.0997415,0.26805532
282,1.7994097,0.06991511,0.03656578,0.23509923,0.5172056,4.8884087,0.2060271
283,2.2774823,0.06996765,-0.014164596,0.77000266,0.37636912,2.957209,0.428934
284,2.459476,0.0368768,-0.033359554,0.76079565,0.48916292,3.610698,0.32856834
285,2.4801984,0.07505679,-0.032721553,0.76573104,0.49124023,3.227466,0.36540398
286,2.364941,0.008620175,0.002899205,0.7071467,0.49152648,3.3726003,0.3465675
287,2.0495458,0.042778607,0.005750166,0.516646,0.456581,3.8784246,0.263296
288,2.5758407,0.007841815,0.02538995,0.7076223,0.5802888,3.2097547,0.3490253
289,2.201386,0.08566199,0.018185884,0.6987574,0.42877486,3.0949218,0.41144785
290,2.0570023,0.032125037,0.0128488885,0.4129119,0.49847,4.4007344,0.24189843
291,2.4291298,-0.02400347,0.030328391,0.6692072,0.6367809,4.027648,0.28097257
292,2.589815,0.095779836,0.034199815,0.8264261,0.5166765,3.4431603,0.35234782
293,2.1989932,-0.0016688051,0.012698482,0.76103747,0.36268905,3.6248193,0.28786486
294,2.3339162,0.06272459,0.016806982,0.7580951,0.43603596,3.6463916,0.30539057
295,2.4440448,0.07628768,0.02502623,0.80730385,0.38799158,3.0535426,0.39569986
296,1.8720844,0.080792144,0.0010012243,0.09452154,0.5429757,4.646785,0.23259106
297,2.3080578,0.072478525,0.01700587,0.81729585,0.37906834,3.6687517,0.29210347
298,2.1503034,-0.011790278,0.021239413,0.43365136,0.4743186,3.4869626,0.32029277
299,2.3956048,0.04869516,0.09342465,0.62101173,0.5315331,2.9895675,0.42293435
300,2.4644005,0.012145181,0.024258776,0.73012364,0.550976,3.5851917,0.31559727
301,2.2077498,-0.025996005,-0.009848649,0.6880905,0.44084784,3.4920163,0.3504334
302,2.0106137,0.058146674,0.03949152,0.5784903,0.46689737,4.1558776,0.27356815
303,2.1187773,0.022047723,0.025438478,0.6377561,0.36864802,3.3083653,0.37712607
304,2.4315712,0.0034798156,0.026242722,0.711886,0.5207536,2.8940837,0.3990128
305,2.4884386,0.067347035,-0.05471499,0.7855041,0.37998354,3.0033538,0.4135968
306,2.4377463,0.033003964,0.001455199,0.7651989,0.49727097,3.208921,0.33744687
307,2.1864045,-0.019892305,-0.017674139,0.5996168,0.43307003,3.6313646,0.28264537
308,1.914511,0.009390712,0.03652513,0.31761512,0.54425126,4.6860175,0.25635594
309,2.2095184,0.03582958,0.033978436,0.7366685,0.4800145,3.7917924,0.28287026
310,2.407945,0.03372828,-0.026366621,0.7021645,0.47941756,3.058416,0.41031286
311,2.061006,0.04240822,0.0032016917,0.6612487,0.44913027,3.806162,0.31598806
312,2.3426168,0.03812231,-0.042122506,0.7432243,0.5036969,3.3805294,0.3548873
313,2.1763499,0.056874603,-0.021190567,0.73227215,0.3656986,3.8332367,0.2798964
314,2.3048882,0.045547403,-0.009598325,0.7168232,0.41344655,3.4416273,0.34287453
