,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
204,-0.22946434,0.5240441,2.1893008,0.08878178
205,-0.30447295,0.48956028,1.9648106,0.07039673
206,-0.43564013,0.44395545,2.0264728,0.07832379
207,-0.6506193,0.3910661,2.1378076,0.0996541
208,-0.37880462,0.46217874,2.1412382,0.081375614
209,-0.40778565,0.47703364,1.9411849,0.11789395
210,-0.5438837,0.46865967,1.9989351,0.124299996
211,-0.42505345,0.46211582,2.1560779,0.09227075
212,-0.51630795,0.3947603,2.1648679,0.05624644
213,-0.44986957,0.47930065,1.9265339,0.10113636
214,-0.6108743,0.41027707,1.8129152,0.09590483
215,-0.2951173,0.5436353,2.1591704,0.020194493
216,-0.5343557,0.42951444,1.9876146,0.08107325
217,-0.2745659,0.50124073,2.1389558,0.08789566
218,-0.4675537,0.43989405,1.9848298,0.09888918
219,-0.40709263,0.4505191,2.2501922,0.032755423
220,-0.5500588,0.41334754,2.0742488,0.11456009
221,-0.5365967,0.44209644,2.2540262,0.07094597
222,-0.47882968,0.47610882,2.075744,0.0896688
223,-0.34902206,0.4865385,2.1989293,0.056206618
224,-0.6712505,0.37845743,1.9833269,0.08178829
225,-0.47619694,0.44838578,2.102298,0.094750464
226,-0.6027558,0.38543534,1.8350891,0.11457785
227,-0.43820655,0.45692474,1.852366,0.109402016
228,-0.5821494,0.4055063,2.0339768,0.079607286
229,-0.47597927,0.48740914,2.0496397,0.06653397
230,-0.3644618,0.5168049,2.09355,0.092519686
231,-0.49048644,0.47274753,1.9279089,0.07773111
232,-0.49014643,0.45816356,2.1055129,0.06373165
233,-0.42438966,0.48311362,2.3591816,0.024868315
234,-0.43149772,0.47753504,2.098651,0.092481405
235,-0.25241607,0.5149863,2.127595,0.07116164
236,-0.32580099,0.4655228,2.1045132,0.086397536
237,-0.46726373,0.45857605,2.282908,0.06557315
238,-0.32926464,0.4536143,1.8177744,0.11317336
239,-0.44960767,0.45831156,2.0439458,0.100728236
240,-0.4793669,0.44622484,2.177362,0.08572731
241,-0.51086426,0.45351923,2.1044643,0.06865753
242,-0.5331528,0.41377085,2.0463128,0.049713124
243,-0.62782186,0.43290466,2.2356493,0.12561958
244,-0.5469181,0.47300977,1.9008633,0.12214924
245,-0.5413299,0.4093292,2.110002,0.09218557
246,-0.38968235,0.47217304,2.0759788,0.051425923
247,-0.36686435,0.5022131,2.059008,0.030591426
248,-0.44343567,0.43599036,2.1292722,0.097374834
249,-0.45415086,0.5009505,2.1026773,0.05972848
250,-0.439628,0.48166615,2.2716076,0.13118516
251,-0.30931592,0.4832822,2.2220995,0.0687491
252,-0.3608019,0.45646936,2.2682524,0.038273714
253,-0.54020846,0.44079304,2.0470257,0.092231624
254,-0.42067385,0.47454953,2.2825875,0.07628586
255,-0.64361894,0.3948188,1.9322923,0.11701474
256,-0.50273556,0.44124177,2.0620463,0.11197227
257,-0.5012311,0.42621243,2.0071983,0.11920863
258,-0.26766232,0.52827734,1.9210889,0.095671445
259,-0.4372095,0.49791428,2.1619143,0.084869295
260,-0.4593706,0.45220286,2.1061175,0.07001499
261,-0.3934166,0.46087748,2.0680842,0.073505126
262,-0.50031996,0.4477525,1.955627,0.09344838
263,-0.41607636,0.47607043,2.1882365,0.07638825
264,-0.39006844,0.44894442,2.0107944,0.06864245
265,-0.40987766,0.4963284,2.086556,0.067992225
266,-0.210424,0.50853956,2.3471732,0.04804052
267,-0.38804722,0.4725216,2.0224383,0.07875667
268,-0.29985,0.48162913,1.9027228,0.08225554
269,-0.37837106,0.48578054,1.98999,0.07758626
270,-0.19874203,0.543532,2.1429033,0.06518976
271,-0.44755453,0.42585048,2.2720568,0.018732239
272,-0.42322657,0.45961115,1.9620174,0.072803214
273,-0.4817206,0.42692554,2.0022323,0.10858989
274,-0.4485016,0.4715239,2.1634755,0.054381516
275,-0.3888527,0.4667905,2.1971097,0.09255156
276,-0.33431613,0.49449635,1.890043,0.07582626
277,-0.41944164,0.4764745,2.0878067,0.09224784
278,-0.47937375,0.47783828,2.3157291,0.056004476
279,-0.46788976,0.4546452,1.9568145,0.08314639
280,-0.5484482,0.42160824,2.0405257,0.061027855
281,-0.29321045,0.47859934,1.8764544,0.11378104
282,-0.5643581,0.41509703,1.981186,0.11407928
283,-0.3800379,0.5042252,2.1388264,0.021508945
284,-0.42979002,0.46459892,2.0329306,0.061996497
285,-0.29114595,0.49284714,2.0156002,0.13032702
286,-0.41767353,0.4633581,1.8724588,0.10100086
287,-0.5471035,0.43664023,1.9868928,0.105848365
288,-0.6061104,0.38606173,2.0517607,0.042442188
289,-0.29888895,0.49526677,2.2135882,0.07873747
290,-0.33353698,0.5081594,1.9827282,0.08536894
291,-0.37510476,0.5051308,2.194658,0.094715886
292,-0.3967173,0.46328604,2.1926095,0.016468927
293,-0.28679118,0.5151977,2.0958872,0.09485518
294,-0.36461145,0.48179498,2.209471,0.05547119
295,-0.5380984,0.41029552,2.1236103,0.089883335
296,-0.37394756,0.47736812,2.0263221,0.1225925
297,-0.42589185,0.46315518,2.1662304,0.077800736
298,-0.41459337,0.4866525,2.1069071,0.086733535
299,-0.5717617,0.4281661,2.1712456,0.071450785
300,-0.4714384,0.48947287,2.0902417,0.091740206
301,-0.49537438,0.41836315,1.9894011,0.103070654
302,-0.5057992,0.41200957,1.867982,0.10661477
303,-0.4610396,0.4547056,2.1859293,0.06270014
304,-0.35402352,0.530369,2.2910588,0.025167203
305,-0.6072784,0.4058724,2.0998597,0.07055207
306,-0.6587557,0.3972298,2.2120166,0.067437686
307,-0.5022794,0.44366446,1.9343003,0.10740994
308,-0.42459267,0.45546582,2.2847044,0.074884124
309,-0.36002085,0.4714953,2.181368,0.09373494
310,-0.36786854,0.487511,2.0456908,0.069317326
