,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
105,-0.41084093,0.73288405,2.0873396,0.02302142,-0.19896147,0.24880801
106,0.21218555,0.8955967,2.189288,0.006896104,-0.17960732,0.2822555
107,-0.4251002,0.66606367,2.2516868,-0.007673441,-0.1884965,0.29689464
108,0.10979185,0.939635,2.2337167,-0.013591929,-0.21221055,0.26604563
109,-0.25895935,0.7866076,2.1224236,0.028414369,-0.18046367,0.2705258
110,-0.124071926,0.8930318,2.2024584,-0.0129134115,-0.16073793,0.2515543
111,-0.58395857,0.64556384,2.334308,-0.010155435,-0.20295241,0.27247617
112,0.076468654,0.95253175,2.047449,-0.034686428,-0.18290983,0.24440669
113,0.33695647,0.9543323,1.9617475,0.042199064,-0.20463799,0.2663588
114,-0.03322047,0.86344904,2.282824,-0.021432038,-0.18736002,0.27951774
115,-0.14256862,0.8956661,2.1889927,-0.03370679,-0.20485295,0.29068014
116,-0.28057167,0.78184426,2.2502785,-0.011435112,-0.16677415,0.24291003
117,-0.46336824,0.81859404,2.1130629,-0.00097613834,-0.18086891,0.21750265
118,-0.619698,0.80040807,2.2321029,0.011927825,-0.17836706,0.22924845
119,-0.62860805,0.6061724,2.4173238,-0.013553444,-0.14655003,0.26599783
120,-0.0010040824,0.96648055,1.993426,-0.0033638177,-0.20430416,0.25162452
121,0.5450627,0.9333805,2.4033132,-0.00809834,-0.17658733,0.2513202
122,-0.16834603,0.77878654,2.2492638,0.017933596,-0.20284057,0.274273
123,-0.4843059,0.7782217,2.1873944,-0.031158792,-0.14786947,0.2396659
124,-0.682756,0.5886894,2.355878,-0.018727893,-0.18658982,0.25263277
125,0.2985348,0.8728718,2.27311,-0.009232853,-0.14104813,0.21738003
126,0.61171055,1.0497442,2.5140371,0.008608732,-0.20392352,0.27319416
127,0.5585176,0.9230453,2.0837977,-0.010112465,-0.19352683,0.2510193
128,-0.26643357,0.89209616,1.9676864,0.026016243,-0.17183563,0.26466745
129,0.07178989,0.84452456,2.1856802,-0.003524149,-0.20826267,0.29210687
130,-0.58798915,0.68777865,2.3335583,-0.0026623476,-0.15788288,0.26049095
131,0.09056922,0.9179181,2.5959263,0.0015371422,-0.19209036,0.28276104
132,0.53893614,0.9596655,2.2407813,0.012986803,-0.18050401,0.26855025
133,-0.20242353,0.8786617,2.1995609,-0.00040084388,-0.17395064,0.2295712
134,0.07436963,0.92041975,2.226833,-0.025959779,-0.25264663,0.31913015
135,-0.64095545,0.66284823,1.9084079,-0.005132875,-0.13919185,0.27812827
136,0.60085785,0.86912286,1.9554625,0.005218744,-0.19750698,0.24780916
137,-0.07035966,0.89223915,2.1076918,-0.011524266,-0.19815952,0.28349298
138,0.09246874,0.928485,2.2711709,-0.025803754,-0.17574213,0.28643817
139,-0.31600016,0.76662135,2.0443518,0.01940843,-0.18677469,0.2656565
140,-0.63911,0.626274,2.1768153,-0.010992614,-0.19774367,0.25963503
141,0.4928195,0.8847002,2.2207046,-0.016912358,-0.19051796,0.27472207
142,-0.81822956,0.6315326,2.2809062,-0.006553305,-0.16020258,0.27025315
143,0.37690175,0.8660332,2.2085671,-0.00054513174,-0.17839918,0.25979605
144,0.00029595726,0.9000008,2.2179215,0.0011537948,-0.17152146,0.24325906
145,0.04821949,0.82419384,2.209829,-0.015771752,-0.19629247,0.2961522
146,-0.1449317,0.91543806,2.3589666,0.009162496,-0.15526061,0.24802503
147,-0.44974762,0.7427564,1.9952236,-0.00815383,-0.1798918,0.2500555
148,-0.35557964,0.7921596,2.1981,0.009077265,-0.17070533,0.24690704
149,-0.87833357,0.58287585,2.4168353,-0.009295852,-0.17849356,0.29212722
150,0.17598861,0.83678097,1.9445051,0.0069896546,-0.12788336,0.23749985
151,0.26758474,0.97778445,2.2345986,-0.04101217,-0.17680317,0.21665981
152,0.82245225,0.73826534,2.288788,-0.05044942,-0.14650738,0.23901188
153,-0.59426916,0.738168,2.3598788,-0.0039350595,-0.18451928,0.24587122
154,0.4149222,0.9088798,2.0482981,-0.009917497,-0.20276795,0.28941742
155,0.4469817,0.9184293,2.4825199,-0.039482746,-0.21268347,0.273268
156,0.10987914,0.83765733,2.2238543,-0.036041662,-0.17032978,0.26539332
157,0.0020748435,0.88976485,1.9204376,0.0151907345,-0.20229875,0.26305217
