,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
162,0.010891138,1.0032928,2.1492493,0.08562255,-0.03705969
163,0.35720173,0.99956244,2.2969847,0.06384482,-0.026259126
164,0.882718,0.7282464,2.3693779,0.056468245,-0.03998063
165,-0.39407688,0.80591106,2.1543632,0.05945523,-0.036740046
166,-0.16143724,0.84083307,1.8868726,0.054421153,-0.04684592
167,0.31690437,0.91110563,2.3938606,0.10248959,0.0021981476
168,-0.29330173,0.8375081,1.790712,0.059734937,-0.02755715
169,0.4771841,0.8845646,2.3512938,0.06631529,-0.028802818
170,0.28429204,0.8256511,2.2130494,0.058198024,-0.037453726
171,0.99,0.53190535,2.677825,0.076592065,-0.016049622
172,-0.6655959,0.6708107,2.1492045,0.0731128,-0.026419614
173,-0.60632014,0.7146395,2.12601,0.08834222,-0.022156134
174,-0.12369819,0.8447975,1.7185298,0.060107674,-0.042036034
175,-0.55716133,0.7908145,1.9103346,0.08147982,-0.02258433
176,0.22057241,0.9500711,2.333039,0.08579202,-0.027941661
177,0.31713638,0.90015686,2.1048534,0.06941047,-0.030179285
178,0.110592104,0.91071486,1.9714767,0.042045336,-0.04620233
179,0.13066944,0.9027374,2.2061098,0.082367584,-0.022902416
180,0.18154855,0.9163923,1.9444201,0.09043664,-0.02145466
181,0.5327182,0.77139705,1.9023484,0.076046206,-0.026568195
182,-0.41107333,0.7150729,2.2288585,0.08571589,-0.03925756
183,0.42919344,0.714236,2.0069711,0.081429504,-0.03392785
184,-0.2865615,0.8257413,2.0897617,0.044956293,-0.035083454
185,0.46044108,0.93095696,2.0003955,0.064423725,-0.02797204
186,0.7123064,0.89667034,2.108558,0.07013206,-0.029347816
187,-0.49786603,0.80018485,1.8069423,0.057815406,-0.014812652
188,0.48265582,0.8616381,1.9811659,0.043122813,-0.019666167
189,0.49356705,0.92594093,1.8566037,0.06836255,-0.05279561
190,-0.58151525,0.7699015,1.9887476,0.044346113,-0.027769651
191,0.33766925,0.94537705,1.9961121,0.05754876,0.005156346
192,-0.6628267,0.70676905,2.0301354,0.05446395,-0.017419651
193,-0.060761,0.9007875,2.137529,0.07634823,-0.021781057
194,0.53201663,0.9069468,1.9946625,0.06626162,-0.035427094
195,0.7833126,0.71507174,2.2171695,0.03724736,-0.030924994
196,0.01992833,0.88858944,1.8838257,0.0883048,-0.044797484
197,-0.23519444,0.95402974,2.2161546,0.062527455,-0.019493151
198,-0.061910324,0.9484019,2.1409292,0.039830778,-0.02080871
199,0.15468657,0.9200375,1.95317,0.08835055,-0.04990834
200,-0.18025143,0.771698,2.1863692,0.06675906,-0.039576244
201,0.11404528,0.97033095,1.7819798,0.06336527,-0.035796773
202,-0.5149092,0.7351345,2.2149527,0.0660965,-0.049666334
203,-0.99,0.44773376,2.1565065,0.06770488,-0.02307389
204,0.11137636,0.9014077,2.0160365,0.08986712,-0.024215072
205,0.2099345,0.9072123,2.118935,0.04389885,-0.049170107
206,0.693082,0.8205805,2.0911982,0.04333605,-0.018422605
207,-0.09290634,0.7915132,1.8751559,0.06900382,-0.045768388
208,-0.5809668,0.72638905,2.0841303,0.0648431,-0.054896094
209,-0.99,0.4890344,2.6701534,0.053147405,-0.02503962
210,-0.4274114,0.81777066,2.056149,0.04918322,-0.031065077
211,0.7659194,0.70648676,2.1542566,0.04910658,-0.038470834
212,0.16618535,0.9987354,2.0697176,0.08203279,-0.038228747
213,-0.07493317,0.7519722,1.9120258,0.06259353,-0.046758536
214,-0.45315143,0.7694961,1.8271868,0.090949096,-0.04001803
215,-0.56696016,0.7162862,2.1176088,0.07139622,-0.053633653
216,0.3728426,0.8322801,1.9707515,0.052322537,-0.022839887
217,-0.46140888,0.8280697,2.4225264,0.0646399,-0.040874403
218,0.45890114,0.9591635,2.0241404,0.060455557,-0.005471439
219,0.9490886,0.70116216,2.3817108,0.07850396,-0.0197728
220,0.8326713,0.7836366,2.5403802,0.09258102,-0.04678243
221,0.15495877,0.9449234,1.9855945,0.046534047,-0.036630165
222,0.18048385,0.9169375,2.2356353,0.04920055,-0.041652672
223,0.5478973,0.7228885,1.7677397,0.04172268,-0.011218978
224,0.11798861,0.9156016,2.2695534,0.0781779,-0.0051323054
225,0.31793717,0.979081,1.8852264,0.08076569,-0.026950456
226,-0.20092732,0.8927617,2.267733,0.08357054,-0.01531928
227,-0.35040382,0.7085848,2.2872744,0.050051298,-0.029614523
228,-0.008369027,0.87377447,2.246905,0.083395734,-0.0396867
229,0.34756446,0.98651737,2.1026485,0.08781011,-0.028732678
230,0.40320888,0.8315747,1.7856411,0.05789102,-0.01209703
231,-0.26597238,0.9112738,2.4141798,0.06869795,-0.036508746
232,-0.46026435,0.6810287,2.2715173,0.07644237,-0.022902936
233,-0.16441812,0.8773731,2.23262,0.04947963,-0.03285624
234,0.35464588,0.9617508,2.0018075,0.06346041,-0.03571246
235,0.8255406,0.7746068,2.2811308,0.06904246,-0.04677689
