,posterior_g1,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
52,1.888223,0.5267178,0.1621246337890625,4.8935037,0.27022046
53,1.8744146,0.51652795,0.11926775425672531,5.1042347,0.2466954
54,1.7074006,0.62641275,0.2418523132801056,4.701941,0.4163191
55,1.9904045,0.6792095,0.11820386350154877,4.1283836,0.35634306
56,1.995917,0.5661636,0.10090663284063339,4.1656866,0.36834028
57,1.8964269,0.5674864,0.08799757063388824,4.4715624,0.31629226
58,1.9876642,0.7001378,0.06711718440055847,4.1680284,0.32053548
59,1.7898779,0.56981784,0.12349431961774826,4.902682,0.20153745
60,1.8850868,0.47141677,0.06016940996050835,4.837384,0.2559961
61,1.852219,0.5094894,0.15977902710437775,5.128964,0.27556047
62,1.8649621,0.5219143,0.1202210858464241,5.224964,0.23340788
63,1.8546242,0.50524855,0.18772026896476746,5.254758,0.31153473
64,1.8782605,0.50109845,0.15607820451259613,4.685658,0.30502054
65,1.9416554,0.5489962,0.10891065001487732,4.039955,0.3233204
66,1.7682928,0.5961055,0.14970846474170685,5.371743,0.17847458
67,1.7910058,0.57831717,0.1635473519563675,5.7820954,0.19422175
68,1.6710393,0.65419126,0.21150672435760498,5.1048684,0.31110224
69,1.7280895,0.58046013,0.18781869113445282,4.9818654,0.25987884
70,1.9239982,0.60090286,0.0744883343577385,5.033199,0.21947277
71,1.677217,0.67666525,0.20710434019565582,5.337212,0.27497467
72,1.7461156,0.62864715,0.180154949426651,5.020993,0.23370452
73,1.803217,0.5298323,0.20807214081287384,5.238993,0.25275946
74,1.698936,0.7037817,0.24017496407032013,5.4934835,0.32325172
75,1.9170114,0.59194267,0.05764812231063843,4.8972225,0.25576702
76,1.9129387,0.540164,0.11573711037635803,4.841473,0.26132497
77,1.7369301,0.667318,0.16052010655403137,5.7262487,0.19415192
78,1.8293366,0.5439689,0.06955685466527939,5.2066746,0.19185856
79,1.80616,0.5096966,0.1548735350370407,5.1888704,0.25199577
80,1.9395773,0.58635956,0.1170123815536499,4.574662,0.31543627
81,1.8666521,0.49703318,0.10057442635297775,4.792901,0.2549524
82,1.7844365,0.53306794,0.19608473777770996,4.6482377,0.35995424
83,2.0127597,0.6625895,0.06194736436009407,4.1032186,0.34208283
84,1.8698654,0.48184,0.15456588566303253,5.0478635,0.27869344
85,1.869764,0.47916174,0.13199907541275024,4.7199583,0.28413445
86,1.7100819,0.52278996,0.19600212574005127,4.816875,0.32807875
87,1.7339944,0.58793354,0.19687534868717194,5.385277,0.26128572
88,1.6643773,0.64603287,0.24656984210014343,4.925393,0.38574812
89,1.8100213,0.5126051,0.14453907310962677,5.0355396,0.2403571
90,1.7730601,0.5989558,0.13465067744255066,5.179144,0.22862284
91,1.9058195,0.53509295,0.09358477592468262,5.0455613,0.26279607
92,1.7051358,0.6156299,0.14504991471767426,5.5699253,0.17962806
93,1.9012372,0.6032586,0.10067964345216751,4.6052523,0.29324412
94,1.92698,0.539091,0.13581475615501404,4.7449164,0.3245027
95,1.782154,0.5757673,0.0709121972322464,5.1102066,0.20223357
96,1.8766952,0.5595299,0.10095126926898956,4.7248735,0.24441312
97,1.892603,0.50989,0.12681643664836884,4.735465,0.31111237
98,1.8719606,0.5337378,0.14851956069469452,4.9661627,0.28695697
99,1.772374,0.5819692,0.19518877565860748,5.3015046,0.28039274
100,1.8081498,0.59897405,0.12565042078495026,5.2081056,0.21066941
101,1.8607056,0.49276632,0.18177717924118042,5.083307,0.3229992
102,1.68167,0.647518,0.14129450917243958,5.528817,0.22437726
103,1.7929868,0.5513904,0.19651882350444794,5.6001153,0.21849288
104,1.7992189,0.54784477,0.1272212415933609,4.7139473,0.22380917
105,1.8419328,0.5644773,0.07363902777433395,5.175724,0.19103256
106,2.05682,0.7302112,0.06016573682427406,3.9850256,0.31511855
107,1.8439846,0.5082216,0.14556153118610382,5.1208277,0.22132736
108,1.8693944,0.5281966,0.12696799635887146,4.827636,0.24265075
109,1.8260273,0.56897295,0.17611461877822876,4.9993725,0.24497786
110,1.9098727,0.4836788,0.08479317277669907,4.492411,0.2918249
111,1.7967831,0.4879803,0.1923193633556366,4.949841,0.2746704
112,1.866195,0.54423577,0.09127064049243927,4.5299373,0.2535678
113,1.8418912,0.5022247,0.16958945989608765,5.380049,0.23368584
114,1.828829,0.5012519,0.13259030878543854,5.3814907,0.2302974
115,1.896644,0.55170774,0.11818916350603104,5.0327473,0.25088504
116,1.8289045,0.5462884,0.1457301527261734,5.366024,0.24726687
117,1.9004759,0.46882704,0.15027259290218353,4.7867427,0.34211883
118,1.9759836,0.7105711,0.061532262712717056,4.595772,0.26439306
119,1.6071562,0.84722394,0.211297407746315,4.8219223,0.3591029
120,1.8846989,0.54749805,0.15099959075450897,4.886533,0.2927679
121,1.6470853,0.6567561,0.2327442318201065,5.1521025,0.3500416
122,1.8867493,0.5169059,0.13410300016403198,4.7178044,0.30517387
123,1.8997744,0.5856622,0.02911938726902008,5.43624,0.19247824
124,1.693909,0.6658482,0.19977428019046783,5.1621723,0.25962472
125,1.8893181,0.5381041,0.08289379626512527,4.8865547,0.23340045
126,1.8598201,0.534293,0.08007624745368958,5.2426267,0.19539402
127,1.8555218,0.51655215,0.1285364180803299,4.9306884,0.2504362
128,1.8993152,0.468095,0.13232116401195526,4.6501875,0.29293528
129,1.8050599,0.56642437,0.13929471373558044,5.2220073,0.2128089
130,1.9584708,0.63489705,0.03404951095581055,5.0242677,0.22137152
131,1.7763288,0.52716094,0.17497597634792328,4.604389,0.26260677
132,1.7094144,0.57336634,0.22721557319164276,4.3956337,0.3899015
133,1.8704982,0.48821875,0.12643134593963623,5.065506,0.2548254
134,1.7588491,0.5420423,0.22420930862426758,4.9396305,0.32270873
135,1.7902795,0.49700668,0.19157643616199493,5.0427666,0.27428508
136,1.8816961,0.4905842,0.1386260688304901,4.9876375,0.27940914
137,1.9077692,0.5194135,0.11219125241041183,5.2925673,0.23746333
138,1.844634,0.47780216,0.15926648676395416,4.987354,0.27065364
139,1.9857504,0.67331827,0.06420882046222687,4.5013227,0.29552767
140,1.6705197,0.71055394,0.19910016655921936,5.087526,0.25742692
141,1.937194,0.56230104,0.1034218892455101,4.4572625,0.342456
142,1.72569,0.6783102,0.147661954164505,4.989167,0.22377743
143,1.9116597,0.3982592,0.1509646475315094,4.7484403,0.3858299
144,2.0012858,0.67363393,0.08918080478906631,4.321174,0.3111519
145,2.0023582,0.7244522,0.08117932081222534,4.3589034,0.32669696
146,1.9446151,0.5232995,0.11990033090114594,4.4362764,0.31113833
147,1.883196,0.48927185,0.1873193234205246,5.0283685,0.33880857
148,1.8834131,0.54284567,0.1021396815776825,5.112256,0.24276452
149,1.8307215,0.51234657,0.173095703125,4.976816,0.27350295
150,1.9243258,0.57590145,0.11663414537906647,4.822474,0.27680326
151,1.8997157,0.59765667,0.11224988102912903,4.7402062,0.2600504
152,1.8513254,0.52430326,0.14066030085086823,5.008436,0.24419725
153,1.6303653,0.77508515,0.2197834998369217,5.4429045,0.31193522
154,1.7883857,0.5220347,0.17358830571174622,4.914675,0.30312836
155,1.8708991,0.48935312,0.10279455780982971,4.8698263,0.24741496
156,1.9992446,0.7176332,0.07278162986040115,4.7162423,0.30382696
157,1.7928395,0.61663777,0.1522822082042694,5.096925,0.21489239
