,posterior_g1,posterior_g2,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
154,2.0411248,0.06881227,0.70534104,0.0854308009147644,3.7103353,0.3988089
155,2.0004857,0.04683759,0.6483252,0.0540979765355587,4.361616,0.31216708
156,1.9859685,0.07666156,0.75177896,0.07268156856298447,4.8067775,0.27538663
157,1.7375381,0.08726963,0.6198356,0.18488341569900513,5.203179,0.23413569
158,1.8142409,0.083760746,0.6087092,0.1415548473596573,5.350076,0.2005596
159,1.7479326,0.08101258,0.50117236,0.24024438858032227,4.8278193,0.35251048
160,1.8125359,0.05743634,0.4781297,0.18250919878482819,4.6195683,0.31191462
161,1.9383119,0.09487919,0.60984623,0.10778959095478058,4.3062844,0.33874345
162,2.1346462,0.03407799,0.857605,0.06786850839853287,4.1930175,0.30040586
163,1.752865,0.09019507,0.51388484,0.1779746562242508,5.089921,0.23832104
164,1.9671848,0.048745655,0.716469,0.08240015804767609,4.4767766,0.26901412
165,1.8337151,0.040019024,0.50050306,0.18157272040843964,5.153138,0.27494428
166,1.9560143,0.11255145,0.7210754,0.07633551210165024,4.6231103,0.25101796
167,1.7986153,0.06778877,0.51287884,0.1505226343870163,5.112253,0.27338985
168,1.8546313,0.086791605,0.5673256,0.09675148129463196,5.4557934,0.19410768
169,1.9895647,0.11661378,0.7484952,0.04485815018415451,4.5224376,0.24969581
170,1.9916712,0.06928192,0.674051,0.11239559203386307,4.11554,0.371323
171,1.9414275,0.04787042,0.5601454,0.10465213656425476,3.8925214,0.45666045
172,1.8733665,0.0790315,0.53331244,0.12956517934799194,5.2992177,0.2841715
173,1.9975154,0.10541344,0.72323126,0.1056160107254982,4.1159506,0.34887278
174,1.6979839,0.057182834,0.60852176,0.19445398449897766,6.182417,0.21458519
175,1.6943505,0.08807068,0.6612144,0.22068606317043304,5.683932,0.23660718
176,1.7895093,0.05855218,0.5232051,0.16033697128295898,5.499452,0.2481554
177,1.8692937,0.03481752,0.46456036,0.16245025396347046,4.551311,0.34074137
178,1.9113126,0.07193685,0.5842079,0.10479605942964554,4.4889627,0.3090658
