,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
148,1.8461968,-0.050327297,-0.15855405,0.3256371,0.40248853,0.03419376164674759,6.4510593,0.3919859
149,1.9355575,-0.04426918,-0.1656089,0.39703122,0.5961157,0.05861668288707733,3.8428102,0.64388853
150,2.0944302,-0.032127433,-0.06290619,0.13833033,1.0133299,0.030143538489937782,4.6286917,0.36401603
151,2.3077996,-0.03978995,-0.1636467,0.36129582,1.170219,0.05,3.8506246,0.2806118
152,2.0673878,-0.01897996,-0.014407218,0.121459305,1.0283371,0.05,4.514125,0.33557302
153,2.4309952,-0.06250116,-0.11757593,0.28015888,1.0580566,0.08408410847187042,2.65334,0.7365629
154,2.191364,-0.05087146,-0.024299284,0.36860415,1.2303183,0.032220929861068726,4.270713,0.32716724
155,2.0741534,-0.14384902,-0.109157704,0.39001727,0.8247047,0.03599188104271889,3.4490678,0.55685496
156,2.4112167,-0.08178672,0.046091754,0.04973021,1.0443237,0.02070145681500435,2.6130407,0.65821975
157,2.4250662,-0.046716798,-0.24169502,0.4043525,1.1878023,0.08269109576940536,2.9571571,0.58315814
158,2.2047431,-0.06339576,-0.11946687,0.3108426,1.1368412,0.05472146347165108,3.8506787,0.43198657
159,1.9008754,-0.15924749,-0.16820034,0.37869555,0.38283062,0.05,5.56732,0.38663942
160,2.0495932,-0.07148456,-0.13280016,0.37346867,0.9439519,0.062257710844278336,4.4527493,0.3662576
161,2.2986567,-0.12348205,-0.065814644,0.13956705,1.1301357,0.05049983039498329,3.8155634,0.382013
162,1.9657222,-0.050445285,-0.094515786,0.22979723,0.76707816,0.04292093217372894,4.431764,0.5146941
163,2.114644,-0.06971335,-0.15751977,0.30036426,1.0632311,0.038365092128515244,4.320778,0.34521183
164,2.1791341,-0.0076039573,-0.13036011,0.24599403,1.1759002,0.059449274092912674,4.732014,0.34689653
165,2.1921556,-0.054184407,-0.118049555,0.3300226,1.1538036,0.08815578371286392,4.547883,0.3775345
166,2.213599,-0.11277637,-0.17950842,0.36140826,1.1883359,0.050893690437078476,4.388819,0.36686987
167,2.1722662,-0.037818804,-0.16412634,0.3545003,1.1150504,0.05,4.7167506,0.30510533
168,2.3129914,-0.07708795,-0.0489834,0.19301449,1.1298579,0.04908982291817665,4.115838,0.3746457
169,2.2116935,-0.07571773,-0.15089765,0.3504221,1.0137131,0.05773662403225899,4.3650684,0.40887707
170,2.2504427,-0.064386524,-0.06430527,0.21652357,1.0945997,0.040596649050712585,4.385928,0.32461733
171,2.185329,-0.028300108,-0.09339057,0.31512916,1.0780498,0.05,3.9826326,0.3713375
172,2.3116722,-0.10933526,-0.11058744,0.32880637,1.0421884,0.0682942122220993,3.6928663,0.4753734
173,2.2052705,-0.07283418,-0.08294804,0.34396705,1.1750675,0.054081108421087265,4.9184046,0.30758172
174,2.415523,-0.08084481,-0.08058146,0.20058294,1.1046538,0.05795503407716751,2.9522846,0.578465
175,2.1695516,-0.08472708,-0.0675695,0.2765207,1.0874588,0.05,4.4473114,0.3157964
176,2.213156,-0.035972495,-0.15140341,0.33383247,1.0072944,0.026844140142202377,4.7838964,0.3347632
177,2.0898488,-0.074653365,-0.14745982,0.3801722,0.8907691,0.07355485111474991,3.301037,0.60150844
178,1.901376,-0.024998816,-0.089561254,0.28747192,0.72574,0.046670857816934586,4.502895,0.5171601
179,2.0459647,0.05363229,-0.029366894,0.18399365,0.9499559,0.05,4.367567,0.3638117
180,2.2707543,-0.0145870475,-0.08120719,0.22444057,1.1628987,0.05374659225344658,4.637252,0.34334844
181,2.1991048,-0.15757577,-0.080136925,0.45022294,1.1092427,0.04360208287835121,4.0786095,0.42974284
182,1.8816824,-0.045568082,-0.079698615,0.28348652,0.4993703,0.06026359647512436,5.798502,0.45985448
183,2.2034307,-0.06812804,-0.2156169,0.44762447,1.1458236,0.052043892443180084,4.185279,0.3471794
184,2.102123,0.0049808733,-0.18643038,0.36661977,0.91439056,0.05006323382258415,3.7436228,0.4544026
185,2.196518,-0.025080413,-0.053741753,0.28366536,1.1634824,0.03875665366649628,4.3617473,0.38400337
186,2.2747834,-0.122709036,-0.19526303,0.46859816,1.1524441,0.05677763372659683,3.8934393,0.4126673
187,2.0468726,-0.01601196,-0.1358752,0.2556622,0.8681643,0.06439706683158875,4.105394,0.44713065
188,2.07266,-0.005993095,-0.020299148,0.15517591,0.9627442,0.08161141723394394,4.458567,0.41351923
189,2.158319,-0.049405273,-0.16008247,0.32409826,0.98873997,0.06031407415866852,4.494354,0.33395126
190,2.296225,0.038141273,-0.2166528,0.3097915,1.081265,0.031693361699581146,3.9002302,0.34158337
