,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
109,-0.61423767,0.27953926,2.777824,-0.53537375,-1.8510631,0.21031776,-0.5934518,1.7396946
110,-0.6169163,0.3019809,0.57151085,1.7194222,1.4678656,0.3174569,1.6535761,-1.6598743
111,-0.8001947,0.26038408,0.3704315,1.8270327,-1.4399079,0.29380366,1.8109628,1.1855571
112,-0.5638859,0.31776398,2.157689,-0.04729266,0.6760255,0.21949778,-0.013204796,-0.81909335
113,-0.6977534,0.29693994,0.83929783,1.318487,-0.70243704,0.3220949,1.2668656,0.49587446
114,-0.66973615,0.28624874,3.1630313,-1.0860794,0.85969293,0.3866049,-1.1545088,-1.0640339
115,-0.6055308,0.2931937,0.50330764,1.7100692,-0.38089663,0.32960722,1.6618412,0.1598141
116,-0.69278026,0.25928938,1.4498494,0.81608343,0.17458531,0.2817421,0.8065188,-0.35598338
117,-0.62832624,0.2975046,-0.46695957,2.7494512,-0.55138874,0.36751023,2.7468805,0.31409052
118,-0.5573802,0.31519794,0.54221636,1.5800786,-1.4545795,0.2898519,1.6331275,1.3459191
119,-0.51662755,0.33897585,-0.49010321,2.731742,0.43803978,0.46023402,2.7311811,-0.739478
120,-0.40622625,0.33924586,1.7326641,0.49736744,0.01543286,0.2961603,0.5444831,-0.142075
121,-0.538703,0.321618,1.2581224,1.0220244,0.17651947,0.22355847,1.0254132,-0.24579833
122,-0.6144988,0.28533345,2.6089802,-0.48406446,2.3766823,0.26909792,-0.5049733,-2.6127799
123,-0.74550736,0.24239647,3.1126907,-0.93735707,0.70272154,0.23345143,-0.9575128,-0.8168258
124,-0.6308372,0.29249144,-0.20359826,2.5768774,-1.4375739,0.24275425,2.5108254,1.2718126
125,-0.8268174,0.24549578,1.8045692,0.29526263,-1.8398881,0.32650265,0.3571049,1.6104559
126,-0.5737699,0.30632412,2.400981,-0.13536751,-1.770665,0.39453962,-0.2227274,1.4362373
127,-0.41752344,0.34370095,3.913611,-1.7950002,1.1273419,0.30467185,-1.6634737,-1.3281246
128,-0.59758884,0.3002637,3.2002428,-0.8784961,-0.3750455,0.34869957,-0.89013076,0.088097304
129,-0.51219743,0.33197305,2.3233995,-0.09803561,0.7147958,0.2800391,-0.09839477,-0.89595217
130,-0.45129162,0.36201543,0.63344663,1.5896443,-0.39293864,0.24426895,1.575627,0.24398372
131,-0.46664426,0.34030575,0.92543674,1.3461498,-2.0807593,0.3493613,1.3210878,1.8979405
132,-0.7032474,0.25319088,2.4369178,-0.19555604,-0.21479613,0.3941095,-0.15051626,-0.024601564
133,-0.62861407,0.28223953,3.4932392,-1.4364556,-0.12577727,0.2811472,-1.4424982,-0.090478554
