,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
117,0.6847392,0.8227126002311707,3.7762930393218994,0.5615145,3.1508987,0.9549321,0.78257823,1.0427895
118,0.60255045,0.8050553202629089,5.542302131652832,0.57373047,2.341442,0.8905328,1.1255845,1.0446675
119,0.6463126,0.8023934364318848,4.813140869140625,0.6558991,2.954507,0.95704424,0.84181434,0.9824385
120,0.6303043,0.8155240416526794,5.675759792327881,0.49884707,2.793198,0.9990389,0.8970596,0.96592414
121,0.8076512,0.7897741198539734,3.7894093990325928,0.63284785,3.309549,1.1265651,0.9127189,0.97656643
122,0.709676,0.8073219060897827,3.175896644592285,0.70038456,3.2988803,1.1369082,0.975911,0.9749485
123,0.74267435,0.8125385046005249,6.45792293548584,0.4834453,2.7426028,0.98425436,0.9611974,1.0097955
124,0.46820888,0.8378492593765259,4.411524772644043,0.93229395,2.439091,0.94738847,1.0093169,1.0707476
125,0.5773589,0.8117271661758423,4.187163829803467,0.7671301,2.8592522,0.86252105,1.0980037,0.8965769
126,0.57335484,0.8094652891159058,4.046533107757568,0.856928,2.587313,1.018637,1.1474257,1.0059434
127,0.587925,0.8022689819335938,5.258167743682861,0.4473987,2.7538743,1.0631534,0.8362178,0.8795527
128,0.6166944,0.8279092907905579,3.091546058654785,0.99320173,3.1296089,0.8902399,0.87553966,1.0312507
129,0.6926232,0.804455578327179,4.755472183227539,0.60446954,2.8640602,0.9086099,0.9800546,1.0991887
130,0.6328021,0.8108718991279602,4.183078765869141,0.6951222,2.8593853,0.92898345,0.8678604,0.910375
131,0.6454164,0.8198958039283752,3.3015966415405273,0.86955625,2.8947375,1.0558988,1.0895706,1.0637184
132,0.70396054,0.8298571705818176,6.4441633224487305,0.52634734,2.5882022,0.9686637,0.94049644,0.95777446
133,0.77008194,0.813758134841919,4.292349338531494,0.6296852,3.1428454,1.0202633,1.0192958,0.9898738
134,0.65304416,0.808717668056488,6.263144493103027,0.51419175,2.5519128,1.0262504,1.0854224,0.9055784
135,0.5638777,0.847812294960022,4.280276298522949,0.75623804,2.5695155,1.0369023,0.95179194,0.87028754
136,0.7256095,0.823998212814331,4.440267562866211,0.8506378,2.777026,1.0182258,1.0315902,1.0310011
137,0.70420307,0.8126803636550903,4.510731220245361,0.7065022,2.621721,0.87631845,1.0335047,1.0263112
138,0.7939559,0.7936781644821167,4.12312126159668,0.73390925,2.9628096,1.0719419,1.036789,0.9475564
139,0.70039856,0.8056204915046692,4.170669078826904,0.9173177,2.9705055,1.0019145,1.0529253,0.85292375
140,0.80067897,0.8056550621986389,2.8888368606567383,0.9433592,3.3324645,0.9578329,1.0366787,0.891185
141,0.50312465,0.840590238571167,5.414881706237793,0.55320513,2.5120137,1.030568,1.0711172,0.7946678
142,0.5775109,0.8276565670967102,3.993988037109375,0.7651984,2.7449167,1.031584,1.0268795,0.81311023
143,0.6973976,0.8197774887084961,4.5953288078308105,0.6658859,2.5508668,1.0334712,1.156103,0.96269816
144,0.78439546,0.8152741193771362,4.099228382110596,0.67406297,3.086287,0.8137533,0.9705571,1.040915
145,0.71830934,0.8318638801574707,3.367563009262085,0.84498864,3.1016865,0.9782001,0.96503866,1.0780053
146,0.79865736,0.8354280591011047,4.882643222808838,0.39817598,3.0507934,1.0337391,1.0838969,1.005205
147,0.73476994,0.8202701210975647,3.883178472518921,0.7229805,3.2171724,1.0062714,0.9081914,1.080813
148,0.71832496,0.8046350479125977,4.556760311126709,0.76473105,2.7489195,0.9897902,1.0589373,1.0616343
149,0.7688213,0.8089550733566284,6.3109540939331055,0.4480702,2.7447739,1.0677612,1.0035428,1.0372221
150,0.7634311,0.80442875623703,4.99113130569458,0.5294713,2.4821327,0.8324784,1.1597742,1.0862546
151,0.8479797,0.7790618538856506,3.0382297039031982,0.6622275,3.387566,0.9198119,0.95637155,1.1046772
152,0.6650054,0.7950455546379089,4.756171703338623,0.5664238,2.8827014,0.97134715,0.9300312,0.9178936
153,0.8784719,0.7859901189804077,4.003253936767578,0.49382725,3.320744,1.0385435,1.0330013,0.96776444
154,0.62174976,0.8108903169631958,4.40023136138916,0.57456297,2.8826165,1.1160392,0.8364641,1.0213076
155,0.46089637,0.8213975429534912,4.577246189117432,0.96558946,2.437007,1.0847069,1.0175034,0.8306802
156,0.70587504,0.8461765646934509,3.956200122833252,0.6552669,3.1875632,0.8756447,1.0820482,0.7801995
157,0.5715785,0.8377035856246948,3.855478286743164,0.9918502,2.8215058,1.0860038,0.9494956,0.86225885
158,0.80211824,0.8046969175338745,7.271975040435791,0.3032327,2.7928147,0.90335506,1.0394518,1.0161245
159,0.82200253,0.7941523194313049,3.05061674118042,0.8065351,3.4262192,0.855963,0.9567991,1.032762
160,0.8233433,0.8127413392066956,4.955320835113525,0.502251,3.1469793,1.093551,0.94750434,0.92941016
161,0.87992615,0.8164146542549133,5.681302547454834,0.51409465,3.063489,0.94051015,0.94731945,1.04298
162,0.62019587,0.8431801795959473,3.8013312816619873,0.7093562,2.568664,1.1817056,0.86488414,1.0065594
163,0.62865496,0.8161201477050781,3.715651035308838,0.7717233,2.922074,1.0177853,1.0177726,1.0026475
164,0.90895796,0.8174155354499817,3.1125216484069824,0.7540641,3.2644987,1.1250266,1.0125062,0.8590668
165,0.7287544,0.8104705810546875,6.931933403015137,0.37866873,2.8804324,1.0034931,1.0830684,0.9516304
166,0.6979723,0.8023772835731506,7.123144626617432,0.40074775,2.6648014,0.96485794,0.9391494,0.9622422
167,0.7283743,0.7978898882865906,7.716680526733398,0.22389613,2.6206043,0.9227671,0.914486,1.0745535
168,0.582892,0.8248828649520874,4.895328998565674,0.6266229,2.5571172,0.9596108,0.9121696,0.9572197
169,0.71083295,0.8012209534645081,6.8788676261901855,0.5794292,2.587707,1.0429325,1.0087531,1.0975791
170,0.78016806,0.7997438311576843,7.635970115661621,0.39118013,2.7632818,1.0929623,1.1250263,0.9859841
171,0.7420905,0.8075451254844666,6.5193095207214355,0.32242328,2.9576943,0.846565,0.99283737,0.92367584
172,0.8410058,0.8114988207817078,6.304749965667725,0.44697675,3.0830417,1.0067843,0.9756696,1.0350219
173,0.6295469,0.8055582046508789,4.533268928527832,0.8834877,2.5556717,1.0213977,1.0618207,1.0822438
174,0.6400606,0.8158309459686279,4.157913684844971,0.78166497,2.4158666,1.0661876,1.0723588,1.1398414
