,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
87,0.6802959,0.7951713,5.2999845,0.46346867,2.8326685,0.87840873,1.0331751,1.017891
88,0.7473183,0.76129,2.6167436,0.96661603,3.4230607,0.94437784,0.8801988,1.1524104
89,0.3672508,0.81990296,3.5380354,0.98000824,2.8269548,0.90163445,0.9935755,1.0298083
90,0.8769355,0.7986017,2.660517,0.58760864,3.6137168,1.1152956,1.0426009,0.9194091
91,0.5589338,0.7810559,5.6050105,0.45998946,2.780221,1.1232257,1.1602322,1.0580269
92,0.6514594,0.8112494,5.368288,0.60903287,2.947705,0.98807997,0.9031951,0.98800915
93,0.79688716,0.8178493,4.8724976,0.42491275,3.162241,1.0734775,0.95609725,1.125028
94,0.6136575,0.79537296,5.3200197,0.5989463,3.066891,0.9601365,0.98410034,1.1238521
95,0.61740184,0.803475,4.291387,0.9450781,2.798074,0.9699715,1.0744759,0.87321484
96,0.4654884,0.78643507,4.357748,0.76544297,3.0018735,0.9167466,0.94375026,1.0390378
97,0.56039107,0.79254997,4.960829,0.49869904,2.8193214,0.92920136,0.8208075,1.0431463
98,0.42623064,0.78694725,3.710614,0.82723045,2.5029233,1.2121583,1.1473343,1.0046662
99,0.572095,0.7741852,2.8300586,0.9290063,3.3503854,0.86764497,0.8666418,0.97667503
100,0.7070882,0.78684074,6.0220447,0.38907427,3.0432339,1.0611428,0.91004205,1.075265
101,0.8312097,0.7581923,3.3954124,0.7635445,3.284749,1.0178788,1.0470691,1.0470468
102,0.5880219,0.773269,4.219677,0.61233366,2.991558,0.9371702,0.8141775,1.1116368
103,0.75041825,0.7294664,2.6729438,0.9637507,3.1833591,0.8289833,1.1728004,1.1507491
104,0.51728576,0.7811802,3.3184345,0.8653226,3.032814,0.93836826,1.0103183,1.0675238
105,0.6098631,0.7849757,3.6943002,0.75292206,3.1385891,0.9126385,0.8807016,1.1198626
106,0.40356565,0.78925544,5.2939534,0.7554906,2.582924,1.1234164,1.0290734,0.96315825
107,0.17618896,0.8146414,4.8456388,0.9031035,2.5166135,1.0198774,0.99899274,1.0635993
108,0.47251296,0.78818953,3.3011425,0.8567801,3.155452,0.96501565,0.77885747,0.90774584
