,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
60,0.6224955,0.45936522,1.863487,0.30928853,-1.3007985,0.40584156,0.21510737,1.0593357
61,0.49464542,0.4518531,0.4584191,1.9103839,-0.16902922,0.41893804,1.9296734,-0.16641434
62,0.22918588,0.5425619,0.503467,1.7083503,0.86284274,0.3004706,1.712183,-0.98863107
63,-0.04818645,0.52186555,-0.52964044,3.0282788,1.2473011,0.44768122,3.084728,-1.4086858
64,-0.197761,0.5631673,0.7546065,1.5557504,-0.6239684,0.4566199,1.4527521,0.3046899
65,-0.3225538,0.51048285,4.6043,-2.675467,1.9799175,0.40463066,-2.7218814,-2.174383
66,-0.12110961,0.52179897,1.6877933,0.40110075,-0.22978276,0.36859387,0.38279685,0.09934871
67,0.17180853,0.6381784,-1.7547308,4.0664654,1.7747924,0.32753024,4.0965843,-1.7623051
68,0.34626436,0.58584714,3.1234488,-0.9913131,1.2050241,0.24215238,-1.0252019,-1.3150578
69,0.19864714,0.62840885,1.2337916,0.86213183,-1.7278408,0.54796857,1.000803,1.3454331
70,0.084577434,0.5443175,1.3367788,0.94851136,3.6338065,0.24971086,0.83183354,-3.8330514
71,0.022833478,0.55440736,1.8267047,0.056502532,-1.206967,0.33358788,0.10798626,1.0741295
72,-0.14240475,0.6058669,0.21739116,2.3626194,0.59928465,0.31991878,2.2192786,-1.0818549
73,-0.29034206,0.4938882,0.2893451,2.1228518,0.28707603,0.33689666,2.0517402,-0.6210557
74,-0.14405976,0.5406936,2.6484296,-0.54683167,1.0636146,0.43095097,-0.49158671,-1.022457
75,0.7809344,0.4629596,0.132563,2.249845,-1.0317128,0.5310908,2.3215075,0.65917253
76,-0.32160825,0.5704307,0.5159969,1.7061584,1.7502831,0.45982108,1.8496492,-2.1754959
77,0.58582217,0.5164849,0.5619619,1.3745017,0.70858276,0.591018,1.4126387,-0.7358598
78,-0.023195086,0.5818666,3.3082225,-1.1639471,-1.5248415,0.4795827,-1.136017,1.2548509
79,0.65497184,0.4987603,-0.3231643,2.6742628,0.9523081,0.549071,2.7855856,-1.4222435
80,-0.17895602,0.47295928,0.08255545,2.1811664,-1.4493935,0.561735,2.106145,0.945022
81,0.41047493,0.49762532,3.85642,-1.4847845,0.013907763,0.3180062,-1.4145935,-0.228541
