,posterior_phi,posterior_sigma,posterior_g1
286,-0.42705697,0.6311731,2.1799395
287,0.53886944,0.5955049,2.1555488
288,-0.23368585,0.6762676,2.2218306
289,-0.6422999,0.54670054,2.179808
290,0.4162959,0.6575023,2.2540197
291,0.036043078,0.716077,2.2673626
292,0.31562427,0.6985111,2.1987064
293,0.5574437,0.57728255,2.2255428
294,0.0748677,0.7343578,2.2388546
295,-0.1528591,0.68543094,2.1851907
296,-0.7411488,0.48232073,2.1535554
297,0.5459422,0.60533583,2.260833
298,-0.55799127,0.56213975,2.207625
299,-0.1634358,0.71864396,2.185545
300,0.49227542,0.5614547,2.2635782
301,0.10181757,0.7365224,2.1988308
302,-0.24435727,0.6869885,2.3046253
303,-0.4283951,0.63489336,2.1769874
304,0.23229182,0.7164469,2.201977
305,-0.62376326,0.54792523,2.1965444
306,0.02602228,0.70026785,2.2766747
307,-0.010468419,0.70933443,2.2091792
308,-0.2163201,0.67795914,2.1879263
309,0.5489412,0.61005485,2.218825
310,0.5386659,0.5982849,2.1641417
311,-0.43846625,0.6450243,2.2044976
312,-0.6959165,0.5065495,2.215548
313,0.6396348,0.55205274,2.2657697
314,0.23420897,0.68297744,2.1789587
315,0.07878042,0.7210599,2.2350054
316,-0.23239373,0.6942938,2.21091
317,-0.53976977,0.5903364,2.2483437
318,-0.13219489,0.7349192,2.1845694
319,0.04821315,0.6821438,2.2366693
320,0.009758027,0.67221266,2.3470657
321,0.6090152,0.545052,2.2300074
322,0.12493927,0.6768232,2.188648
323,0.54332936,0.6103036,2.2459435
324,0.4867225,0.6079435,2.1893413
325,-0.104221724,0.7215673,2.225701
326,-0.6377776,0.5308029,2.1816206
327,-0.10210824,0.6902975,2.172965
328,-0.7608118,0.4433013,2.235236
329,-0.24686849,0.659362,2.1537814
330,0.7742356,0.4395398,2.174572
331,-0.16434911,0.6914749,2.1204088
332,-0.14005747,0.7029656,2.2331963
333,0.040510677,0.70568496,2.2746763
334,0.5559293,0.56329924,2.1785483
335,-0.29885322,0.6790356,2.2001882
336,0.48812655,0.5989729,2.1941736
337,-0.35029528,0.6366113,2.1957705
338,0.64353067,0.5412504,2.2183938
339,-0.073833354,0.7231895,2.1787128
340,-0.40061516,0.6192526,2.2219918
341,-0.7297563,0.49218997,2.163574
342,0.1288298,0.7130081,2.2106087
343,-0.35088986,0.64662,2.1575148
344,-0.7470369,0.49397117,2.18599
345,0.47974616,0.6221213,2.3082893
346,0.017284144,0.7414286,2.1871893
347,-0.5689302,0.599177,2.208063
348,0.38056767,0.6567135,2.1405182
349,0.6260647,0.55338466,2.1808772
350,0.39288712,0.6779357,2.3029852
351,0.300295,0.68277246,2.1546571
352,0.1897377,0.71492845,2.1377249
353,-0.5881881,0.55417037,2.2058024
354,-0.5187999,0.5870977,2.1269825
355,-0.5975054,0.55951405,2.2066908
356,-0.08327311,0.7504801,2.1552699
357,-0.075932264,0.75109845,2.1524205
358,0.76954,0.45595846,2.1652539
359,-0.3839202,0.62464404,2.1999018
360,-0.51392245,0.57211274,2.1930192
361,0.10518938,0.7459861,2.091936
362,-0.4485416,0.63802475,2.181681
363,-0.3759732,0.6319437,2.1975555
364,-0.36649674,0.6522029,2.292262
365,0.24682592,0.6875874,2.1318653
366,0.34575498,0.67685056,2.1829388
367,-0.1349009,0.687683,2.1691988
368,-0.2117131,0.71616226,2.199171
369,0.24674071,0.722862,2.2061622
370,-0.057172447,0.72883993,2.1727164
371,-0.071072645,0.7289344,2.1804748
372,0.40900838,0.63468933,2.2103748
373,0.1243491,0.66037035,2.1832478
374,-0.44915128,0.6083379,2.1676512
375,0.4275577,0.61499304,2.1184866
376,0.5033762,0.6269926,2.1913419
377,-0.3677234,0.6513266,2.2141402
378,-0.12253698,0.73472005,2.1497025
379,-0.06306265,0.7112001,2.2120073
380,0.7053983,0.48808745,2.1416285
381,-0.040699743,0.7435733,2.1633794
382,0.47881255,0.57171226,2.2325633
383,0.6751236,0.530261,2.232142
384,0.58098996,0.54671085,2.1534476
385,-0.34581468,0.66391426,2.3467054
