,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
68,2.944683,-0.5977275,-2.517779,0.43766633,-0.572839,2.2060091,0.083402045,0.5265922546386719,0.015523185022175312,2.5929596,2.523463
69,-0.21359439,2.5749476,-0.60494554,0.5272536,2.598053,0.3879314,-0.076585166,0.8078711032867432,0.05,2.1027904,2.8540864
70,3.3307276,-1.0978575,0.45955306,0.51563454,-1.0612572,-0.6110033,0.033063672,0.85,0.05,2.6498172,2.4226484
71,2.6713674,-0.42901722,0.0049248636,0.632128,-0.34459636,-0.20004658,-0.37285116,0.85,0.05,2.601248,2.7905643
72,1.5957522,0.6740799,-0.73175675,0.56025034,0.75712883,0.53175545,-0.19211657,0.85,0.05,2.5994325,2.6742713
73,2.7189174,-0.5257963,-0.8922785,0.70392203,-0.53456837,0.77647847,-0.33722404,0.3941134810447693,0.05,3.433756,2.263123
74,-0.65557367,2.864954,-3.161877,0.34940073,2.8264682,2.932214,0.35340586,0.02159934863448143,0.03241407126188278,5.346367,2.6400118
75,2.0264063,0.29214826,0.5440913,0.39368472,0.31078753,-0.76746047,-0.17241545,0.8407427072525024,0.04559018090367317,2.652375,2.71116
76,-0.15442765,2.504975,-0.16384356,0.44497803,2.4852262,-0.07574162,-0.2845469,0.85,0.05,2.6160946,2.3567047
77,1.5331417,0.6528631,-0.4109322,0.4632249,0.7224594,0.2088637,-0.11647944,0.8398527503013611,0.05,4.165822,2.5807385
78,1.7925894,0.5297922,0.32784483,0.74239665,0.50212383,-0.60691106,-0.30122453,0.85,0.05,2.5872397,2.672409
79,-0.7749333,3.2308462,1.2774565,0.650681,3.2135315,-1.6304978,-0.2574779,0.829982578754425,0.07371744513511658,2.121592,2.6248558
80,0.1397577,2.026024,-1.2915728,0.5606736,2.062504,1.3122838,-0.3406883,0.85,0.05,3.2737617,2.077237
81,2.5295665,-0.24228851,-0.3298086,0.6872637,-0.19056794,0.036512956,-0.38525108,0.85,0.05,2.5356274,2.510734
82,1.0130392,1.2336391,1.2323848,0.5417514,1.2766888,-1.5529292,-0.20404626,0.8289678692817688,0.04004055634140968,3.6897569,2.3156278
83,1.2492431,1.1012248,-1.6994702,0.3685379,1.1033955,1.4800755,0.011051378,0.85,0.02355978451669216,2.7041695,2.7232568
84,-0.76275086,2.834122,0.92253757,0.45090294,2.846528,-1.2181673,0.01585312,0.4924188256263733,0.06409334391355515,12.671256,1.7324725
85,1.3826295,0.89534575,0.67084223,0.59993607,0.8209274,-0.9398436,-0.23387416,0.7077438235282898,0.04029608145356178,3.4926076,2.3477023
86,0.5266924,1.688407,1.0498273,0.5722725,1.7262504,-1.336308,-0.34774405,0.8176220059394836,0.05,3.5486567,2.1583905
87,-1.8805884,4.077253,0.877594,0.47745302,4.0147123,-1.0330079,-0.08422832,0.5656245350837708,0.05,4.1173058,1.9907304
88,0.5518192,1.6957861,1.6196085,0.59838724,1.6714741,-1.9758215,-0.041349325,0.6501388549804688,0.00714601157233119,3.9220366,2.225315
89,-0.35556966,2.6631694,0.44585004,0.49143586,2.6955082,-0.6210065,0.015007538,-0.10374109447002411,0.06979840993881226,2.1378312,2.6154113
90,0.4955733,1.8783903,0.2060513,0.58141434,1.9456836,-0.485404,-0.20631815,0.29741692543029785,0.09002446383237839,2.3147576,2.5895138
91,1.0752852,1.2383889,1.7118491,0.70078814,1.2159634,-2.1134822,-0.25500143,0.85,0.05,3.5298848,2.5179837
92,2.4562795,-0.33496737,-0.42513883,0.50739413,-0.12944578,0.21576723,0.1821611,0.8335269093513489,0.026719259098172188,4.0615354,2.1788127
93,-0.032613743,2.3532686,2.0712576,0.45097834,2.3216724,-2.4144163,-0.08768091,0.6329160332679749,0.08672243356704712,3.3511617,2.5196445
94,1.4077237,0.9492882,-2.2195563,0.3308788,0.9106072,2.0694401,0.24734947,0.07129130512475967,0.031188230961561203,2.2104738,2.865321
95,1.1186974,1.0298247,-2.297753,0.53582585,1.0661131,2.2093155,-0.060579,0.6084427237510681,0.05,4.3696747,2.279745
96,2.4035013,-0.1653598,0.3590508,0.43886602,-0.24673939,-0.6020615,-0.07835942,0.8320481181144714,0.008096721023321152,3.9526708,2.7049003
97,2.787454,-0.5315624,0.63460904,0.26456627,-0.42153767,-0.81578237,0.28416947,0.8068149089813232,0.02082824520766735,2.6670032,2.5629227
98,-0.39056283,2.4907422,1.0395563,0.4692274,2.4636693,-1.2691561,0.12095456,0.5396738052368164,0.022410036996006966,8.324725,1.7897897
99,0.48195818,1.8280104,-1.2833955,0.43369704,1.9090734,1.0350685,-0.23423979,0.85,0.020448923110961914,2.7734659,2.5940766
100,4.026162,-1.5028005,-1.5683414,0.3925359,-1.4749107,1.2265695,0.054371297,0.85,0.05,2.0717046,2.6845849
101,0.44663012,1.9656416,0.89341867,0.571915,1.921594,-1.1569052,-0.2968944,0.5335805416107178,0.038891781121492386,2.0522664,2.6692312
102,0.7960499,1.4172616,1.9800751,0.51242113,1.4978198,-2.1116345,-0.0027884846,0.8131658434867859,0.02485649473965168,2.4547083,2.559864
103,0.7630092,1.3508525,1.3173071,0.7213795,1.3345916,-1.6359183,-0.30244893,0.85,0.05,8.067445,2.6913242
104,1.8927855,0.31805477,-1.515503,0.5751215,0.38644728,1.3917696,-0.13023244,0.7121689319610596,0.05,2.8115475,2.4389257
105,-1.2786118,3.3996851,0.67843324,0.42880443,3.4095583,-0.9084741,-0.06986171,0.7760003805160522,0.00898878276348114,7.2186956,1.8428258
106,0.62835723,1.5413243,-0.42689914,0.77961963,1.5773491,0.20571908,-0.52644604,0.8045477271080017,0.05,4.0889206,2.8384206
107,-0.43079215,2.863275,-0.08167484,0.5110816,2.9156482,-0.20833081,-0.045943446,0.5624868869781494,0.05,2.1589713,2.8272038
108,1.4957052,0.84178585,1.7517269,0.575011,0.67920834,-2.11727,0.06850757,0.8191611170768738,0.05,4.9208403,2.1058114
109,3.4991848,-1.2758924,-0.65412444,0.78246146,-1.2877704,0.45143107,-0.47022915,0.4297875165939331,0.031491946429014206,3.9518657,2.496824
110,1.0582632,1.1592286,-0.12417462,0.57213557,1.2103266,-0.24853179,-0.108833544,0.5944977402687073,0.07215255498886108,4.3851743,2.256861
111,1.2675622,1.0133307,-1.3763233,0.77726424,0.9934772,1.1976852,-0.39442262,0.85,0.021135445684194565,3.1925097,2.636892
112,3.5116599,-1.200887,-2.5490167,0.36483067,-1.2450869,2.4619033,0.084311515,0.85,0.047817349433898926,2.6887274,2.8203137
113,2.4715936,-0.1315814,0.29802752,0.583743,-0.19481878,-0.6020721,-0.16939627,0.8326077461242676,0.0498398020863533,3.3980157,2.793706
114,0.27472118,1.9276065,-0.41433647,0.5063738,2.0347676,0.21691088,0.0047303014,0.85,0.05,2.7690492,2.3354483
115,0.35274792,1.8606919,-1.0660269,0.49714252,1.9240619,0.7826559,-0.2109263,0.5430173277854919,0.06294700503349304,3.9613676,2.369478
116,4.319434,-1.9757426,-2.2452872,0.7903695,-1.9950011,1.9780538,-0.46770304,0.8278771042823792,0.035104844719171524,2.7177458,2.37809
117,0.2809279,1.9597679,0.06097358,0.54386365,1.9094713,-0.25237104,-0.30324307,0.7529932260513306,0.05,3.7642586,1.8645831
118,3.539696,-1.3313395,3.3880768,0.45867795,-1.3643237,-3.6379335,-0.07128451,0.812917947769165,0.05,3.7743857,1.9544781
119,1.7010814,0.6337584,0.978714,0.41155267,0.78213716,-1.2431277,-0.044704136,0.08799676597118378,0.05,2.111318,2.6336582
120,-0.008308654,2.1476145,-0.4833163,0.47507855,2.1698806,0.25428438,-0.053782634,0.7559216618537903,0.02301161177456379,6.1950555,2.3562648
121,0.31877705,2.0085778,-0.13806738,0.291563,2.0454152,-0.086906075,0.050702304,0.4914407730102539,0.06841850280761719,2.561487,2.7781384
122,0.99525183,1.4535027,-1.2644598,0.45646605,1.3474063,1.0497439,-0.16329147,0.7908427119255066,0.03242216259241104,2.0651484,2.3453329
123,1.7921972,0.464527,-0.65270835,0.40038908,0.46027362,0.4727206,0.0034677223,0.85,0.0053136409260332584,3.5598502,2.2987964
124,3.2997108,-1.2407736,1.776441,0.9482866,-1.2250825,-2.0903842,-0.52075154,0.3665870130062103,0.0357024110853672,8.096621,1.7250408
