,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
209,-0.40544832,0.5856407,2.4795418,0.12967347,-0.1062575
210,0.81586045,0.5505562,2.2368171,0.18284847,-0.19304673
211,0.17359902,0.8079535,2.271484,0.15105519,-0.1870111
212,0.13002259,0.8245533,2.3638868,0.056499764,-0.12522326
213,0.2971713,0.7373056,2.520262,0.0889732,-0.12013393
214,-0.2153656,0.8014763,2.386615,0.121940166,-0.115585156
215,-0.7377163,0.48782107,2.421847,0.124711305,-0.11410816
216,-0.735619,0.45130497,2.3060935,0.08800995,-0.11304651
217,0.7838238,0.6475033,2.5091286,0.12344536,-0.17726748
218,0.069781445,0.64654535,2.3283014,0.11295799,-0.21021438
219,0.49924374,0.75849015,2.0796413,0.15994751,-0.2593563
220,0.8093822,0.6209451,2.9317777,0.08329938,-0.23958842
221,0.7019175,0.6855388,2.3720872,0.13115197,-0.1553995
222,-0.16447277,0.7299536,2.2188444,0.16477938,-0.20023754
223,0.7011122,0.73319083,2.2103786,0.026920587,-0.09269722
224,-0.6282257,0.7750304,2.21794,0.120699525,-0.23494835
225,-0.23034176,0.70346636,2.287828,0.08567506,-0.17356895
226,0.6000275,0.6685543,2.5794666,0.15622926,-0.13657762
227,0.85,0.59000206,2.331651,0.14137466,-0.14155893
228,0.01845276,0.7758177,2.400627,0.105965346,-0.144533
229,0.0679906,0.67134535,2.282807,0.15196393,-0.07457979
230,-0.62797284,0.5194918,2.2772555,0.16981108,-0.19121598
231,0.41514632,0.80099916,2.2427418,0.13453238,-0.13424
232,0.020607868,0.75579613,2.257041,0.11007046,-0.25644746
233,-0.63747156,0.59708846,2.0930932,0.11977646,-0.15451658
234,-0.23189439,0.79711497,2.3475132,0.13169883,-0.13601744
235,-0.33996707,0.641219,2.2916493,0.109647125,-0.1453
236,0.18579519,0.7649145,2.1783915,0.07360467,-0.09178841
237,-0.34981555,0.72058564,2.1648934,0.11466151,-0.14717473
238,0.12487317,0.822317,2.4500942,0.13731675,-0.09948711
239,-0.26524833,0.6342606,2.1008773,0.14843148,-0.15077747
240,-0.60913503,0.64804226,2.3154483,0.105237566,-0.12414024
241,0.81821936,0.5644692,2.4284956,0.16339079,-0.17840163
242,0.08257185,0.8963677,2.5282764,0.13754441,-0.17771074
243,0.22160926,0.773362,2.2323167,0.095882796,-0.11709018
244,-0.4777258,0.75766647,2.257005,0.088975735,-0.12782173
245,-0.07174412,0.6464792,2.1360867,0.09779159,-0.131947
246,0.77942586,0.53819555,2.1030827,0.11801961,-0.1343237
247,0.60856915,0.63164735,2.5139296,0.18132108,-0.21422529
248,0.466591,0.8645565,2.2863784,0.14936364,-0.17311513
249,-0.5583009,0.6241306,2.3160527,0.08280008,-0.20450513
250,0.008731094,0.7761378,2.162161,0.11180892,-0.13089773
251,-0.7734396,0.52169484,2.1738288,0.19392632,-0.12115259
252,0.18741961,0.7846166,2.0838985,0.16680671,-0.09162354
253,0.38879767,0.7115568,2.3279498,0.13068888,-0.10397448
254,-0.15444526,0.7470995,2.1817846,0.1005098,-0.14207177
255,0.3633986,0.79474765,2.198847,0.12569506,-0.19708139
256,-0.16036415,0.78183407,2.0405395,0.08210467,-0.18503405
257,0.76425457,0.60343814,2.2212825,0.085536085,-0.1127043
258,0.5637516,0.67067677,2.6317792,0.10925575,-0.085847124
259,-0.8418746,0.3052098,2.2690194,0.11950366,-0.11857132
260,-0.089945726,0.7029603,2.2145612,0.144374,-0.16327032
261,-0.20486517,0.7176281,2.3432884,0.113974355,-0.12583993
262,0.30350164,0.7919159,2.2457979,0.033462446,-0.15187666
263,0.3201341,0.8067185,2.2792742,0.093698345,-0.16724446
264,0.78076947,0.59075415,2.2619658,0.12393173,-0.20363867
265,0.73297185,0.6444129,2.4259138,0.24106951,-0.13020375
266,0.37739956,0.7936347,2.286408,0.065800644,-0.11275081
267,0.14354607,0.82841456,2.3982906,0.06024063,-0.12474774
268,0.04468877,0.92416775,2.2594218,0.057615668,-0.14216492
269,-0.7145912,0.55739653,2.115863,0.21900836,-0.12760791
270,0.6940021,0.6482651,2.2340486,0.13918838,-0.08830946
271,0.2935044,0.64209867,2.3591208,0.12985629,-0.17346674
272,-0.05336747,0.84651417,2.274661,0.10447546,-0.15398695
273,-0.014533656,0.7665507,2.2611318,0.12895842,-0.17166099
274,0.52024776,0.5990119,2.3291984,0.09147568,-0.16914885
275,0.7894687,0.60841125,2.2669513,0.07439865,-0.09999686
276,0.57657176,0.74161345,2.5160275,0.07420623,-0.1521582
277,0.39154157,0.9559326,2.4204507,0.09886736,-0.1017912
278,-0.43178576,0.7873796,2.22945,0.14230186,-0.21206793
279,-0.20702171,0.8613536,2.4103765,0.11206778,-0.13925944
280,-0.26228568,0.75167185,2.1551697,0.12350241,-0.13159548
281,-0.6104016,0.6617219,2.1800854,0.07408587,-0.15633653
282,0.4332453,0.86339927,2.1851554,0.12933391,-0.09805424
283,0.5356598,0.8272283,2.325132,0.0938859,-0.093300916
284,-0.6310947,0.5832367,2.4183598,0.111639254,-0.13548799
285,-0.7425495,0.49835882,2.339589,0.10054031,-0.1760934
286,0.10619777,0.74934214,2.2387512,0.10639649,-0.1908259
287,-0.3673485,0.6933648,2.378273,0.10427096,-0.24256681
288,-0.5734928,0.62190974,2.3448627,0.1468645,-0.23425853
289,0.45230255,0.665649,2.2270477,0.13276944,-0.16401505
290,-0.37367553,0.7460113,2.2869594,0.11555604,-0.1551867
291,-0.19637506,0.75935316,2.3712049,0.12027616,-0.14193618
292,0.6485256,0.56002265,2.2038805,0.19263154,-0.23142193
293,-0.6011813,0.59185475,2.1657107,0.11650088,-0.17555675
