,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
45,-0.21453397,0.520668,0.64619523,1.6473218,-0.82335645,0.57147473,1.6339447,0.4715917,-0.19742303
46,-0.58094335,0.47117877,0.9476453,1.2861984,-1.8284638,0.32470813,1.3555619,1.4002881,0.069715396
47,-0.64314544,0.46743083,-0.017424589,2.2013528,-4.473181,0.5089592,2.489056,4.0284605,-0.14102872
48,-0.6342269,0.42103827,0.96698123,1.2858348,-0.90486354,0.66497976,1.4302359,0.5587409,-0.38012564
49,0.010342178,0.6296255,2.166409,0.022998825,-1.0530095,0.4667886,0.05889627,0.6777427,0.0056512686
50,-0.17684367,0.47294056,1.5299425,0.66511106,0.81505096,0.30846906,0.61546355,-1.2139058,0.11206345
51,-0.39915675,0.5261306,1.5937829,0.4758758,-0.029131928,0.6562347,0.5734305,-0.2670292,-0.35749835
52,0.21001093,0.55164945,1.8778819,0.3176837,1.5360868,0.4267134,0.32135364,-1.74206,-0.0762613
53,0.13331653,0.5375577,2.163232,-0.10111001,1.2815548,0.25062746,-0.06743947,-1.3654908,0.35386837
54,0.014459997,0.62674296,2.3548381,-0.06336317,-1.7376213,0.47664726,-0.09890749,1.4022399,-0.09721746
55,-0.16761817,0.5541056,-0.44882017,2.633037,-0.9448898,0.32030162,2.9182944,0.6121282,0.03404931
56,0.7911871,0.37701604,0.0054534664,2.3137076,1.4609812,0.47873133,2.2434866,-1.6791,0.022129877
57,0.11384817,0.5848183,1.199834,0.91530895,1.5895429,0.32918555,1.0500841,-1.8402278,0.11512862
58,0.75621235,0.35416135,1.8526685,0.35146785,0.69624406,0.49722162,0.3133626,-1.049713,-0.26257288
59,-0.78108025,0.3183502,2.3071826,-0.043595463,-1.3275932,0.2995235,-0.17966366,0.9170906,0.15909873
60,-0.03850926,0.57772446,1.0791229,1.0351192,-0.29664713,0.53589123,1.1077332,0.060623255,-0.07573135
61,0.41129664,0.5032897,1.0631413,1.1024925,-1.294537,0.5783416,1.1603559,0.9870603,-0.20418125
62,0.082385436,0.47269565,3.7197227,-1.362747,-0.56796473,0.6345726,-1.612877,0.21125555,-0.27832934
63,0.19755918,0.5825321,2.7273078,-0.41400957,-1.7345325,0.8059529,-0.3303145,1.3054318,-0.4000804
64,-0.7860057,0.3751136,1.1946934,1.0316827,-0.30874962,0.43923813,1.0764416,-0.05294394,-0.042757947
65,-0.75995326,0.39005983,-0.59427154,2.75539,-1.1182612,0.65598506,2.9336727,0.66031086,-0.1732989
66,-0.3781529,0.51070285,-0.5474447,2.8212957,0.5742197,0.52017,2.9774675,-0.84965163,-0.12515235
67,-0.6382242,0.4372528,0.65157694,1.4891301,1.551179,0.8171157,1.883535,-1.9412234,-0.46273538
68,-0.5405071,0.4760023,2.1960235,0.10969029,-0.29745495,0.35458913,0.17460252,-0.08474317,0.013506204
69,-0.0030182688,0.62502277,2.2407153,-0.05574788,-0.48881465,0.55125844,-0.1332792,0.26870152,-0.07591188
70,0.4304648,0.511019,2.252933,0.082152694,-2.1381774,0.44873625,0.116165474,1.709715,0.08219178
71,-0.16794066,0.5460254,0.06575637,2.0640097,-0.7480067,0.5560692,2.2874975,0.3736153,-0.18909135
72,-0.6501956,0.43094748,0.33486983,1.8797263,-1.0668212,0.31720087,1.9100775,0.76207256,-0.059053622
73,0.0068309717,0.57915944,1.4001131,0.7533377,0.58877057,0.35672018,0.86629623,-0.8468173,0.015657568
74,-0.65129983,0.4239324,-0.68388695,2.9654331,-1.8979499,0.454776,3.05402,1.537071,-0.083198234
75,0.59299475,0.47006032,0.61819315,1.5544335,2.8747277,0.42723337,1.6463814,-3.2709455,-0.07089164
76,-0.33130717,0.541905,-0.41536075,2.5700154,-2.3531563,0.5349433,2.7282507,1.8857279,-0.21792957
77,0.059862215,0.5317945,1.9939744,0.20183098,1.7085238,0.54313344,0.24013907,-1.9990431,-0.13454784
78,0.4437629,0.5032875,0.98668474,1.2821183,1.2538091,0.15230678,1.3064464,-1.4009447,0.2343582
79,0.41498414,0.47679007,0.8212555,1.2512714,-0.63800496,0.2113841,1.3802748,0.36599228,0.25272745
80,-0.46170196,0.5092491,0.38746774,1.8711079,-1.2492361,0.5992531,1.9200087,0.95280236,-0.31945345
81,-0.5542222,0.4883873,3.273333,-0.9253589,-1.6819506,0.4140845,-0.9603254,1.3000542,-0.052257814
82,-0.4870793,0.50825953,2.7631984,-0.38789368,-1.1124644,0.511366,-0.5683732,0.85743344,-0.1536822
83,0.25298095,0.55396694,1.3795328,0.8745754,2.2206216,0.21462905,1.0280797,-2.6241972,0.30125102
84,0.1892996,0.5972428,0.9747608,1.2534451,-0.76892555,0.5737939,1.2649369,0.51760155,-0.20022035
85,-0.3799148,0.536434,2.9891527,-0.87449694,2.1669838,0.73783267,-0.71552235,-2.482865,-0.46447048
86,0.029538726,0.56435645,1.4732003,0.87902844,-0.95964587,0.29306778,0.90513283,0.6546336,0.20745261
87,0.607457,0.4022651,2.2096205,0.027999273,-1.3157258,0.46390817,0.084393494,1.1104033,0.17156318
88,0.19945045,0.50986904,0.4384816,1.7209916,0.6368048,0.4307055,1.7550031,-0.83787155,-0.06643945
89,-0.22618443,0.53145814,1.021869,1.2192129,-1.5943164,0.5070617,1.3538502,1.2860603,-0.2033795
90,-0.4187838,0.5161256,1.7451152,0.50663644,-0.33832872,0.40142846,0.6141525,0.05551045,-0.05825962
91,-0.006460139,0.61119705,0.87527937,1.3690583,0.87495476,0.24162789,1.5337987,-1.1691478,0.09609782
92,-0.22720593,0.53168344,-0.39405018,2.5014186,0.33464924,0.639675,2.7817733,-0.788727,-0.18285573
93,0.6681733,0.42774013,1.5779366,0.64696616,-0.62812,0.40360326,0.68270504,0.3254076,-0.005642851
94,0.015145288,0.4527118,0.90622646,1.2578437,-0.32865882,0.2808273,1.5479013,0.09858045,0.25037703
95,-0.0893654,0.6217724,2.0294127,0.107805185,2.2027156,0.3193853,0.051856715,-2.1833146,-0.010281523
96,0.4297223,0.48698157,1.4281635,0.7220629,0.11978333,0.33137468,0.8744768,-0.500993,0.07681091
97,-0.50738585,0.4745397,0.7409965,1.3825504,-0.7239756,0.30408093,1.6627496,0.4547171,0.11530138
98,0.40348276,0.43314117,2.7618527,-0.5730694,-0.5584123,0.6037186,-0.58952034,0.27535444,-0.21992587
99,0.74830025,0.369094,2.1364057,0.040705245,0.26279616,0.40089574,0.09759592,-0.6262054,-0.04552872
