,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
197,-0.67929196,0.4643406,2.1040428,0.13396306
198,0.060782187,0.65566754,2.0951724,0.15212148
199,-0.5496317,0.5308956,2.0114489,0.27091157
200,0.7351986,0.45424452,1.9967268,0.1702305
201,0.59039485,0.5175166,2.0234232,0.22444807
202,-0.72925454,0.49690455,2.112483,0.11413323
203,0.12673126,0.70190656,2.0694475,0.118155144
204,0.71148413,0.4676625,1.9793411,0.1575913
205,-0.6169894,0.49548432,2.0074146,0.18304254
206,-0.6767562,0.4622133,2.03287,0.1964481
207,-0.49987048,0.549949,2.1476629,0.17241336
208,0.18351582,0.5902195,1.9813156,0.19837725
209,-0.23996164,0.5793364,2.0365396,0.106219284
210,-0.49096996,0.5766997,2.0581164,0.16164875
211,0.45493278,0.5633284,2.0716035,0.15697584
212,0.76570445,0.45932597,2.0459535,0.23391819
213,0.5800603,0.51862156,2.2075732,0.10737063
214,-0.098582365,0.6986275,2.0387995,0.154651
215,-0.6232162,0.5079115,2.0229812,0.11898382
216,-0.36039093,0.5651963,1.9429742,0.23073044
217,0.61782396,0.48103926,2.120286,0.13852863
218,-0.17735705,0.58757967,2.1029713,0.13424958
219,0.4782702,0.53079206,2.0910463,0.1444686
220,-0.6025224,0.52099216,2.0934515,0.12002299
221,0.5049471,0.54149216,1.9913296,0.17990197
222,-0.15627787,0.62510854,2.0522687,0.1587632
223,0.62503594,0.5025535,1.9145672,0.17757623
224,-0.7025562,0.4811154,1.9637947,0.09107098
225,0.0060697272,0.62575483,2.0913692,0.14347947
226,-0.0070694312,0.6454695,1.911488,0.20279326
227,-0.09402599,0.66846085,2.143006,0.15065934
228,0.46819514,0.56317246,2.0677586,0.18206257
229,0.5682597,0.5407151,2.131409,0.17508683
230,-0.24694723,0.64522976,2.0089676,0.18697828
231,-0.10247585,0.6379461,2.1364284,0.16560116
232,0.04165771,0.62827545,2.0245075,0.18634033
233,-0.540816,0.5318035,2.1410153,0.13965304
234,-0.35716656,0.5850281,1.9916524,0.15171582
235,0.5383931,0.58828205,2.1061115,0.1278465
236,0.16758987,0.61380947,2.0671916,0.2436108
237,-0.6154681,0.5120672,1.9470077,0.19653182
238,0.11388109,0.60949475,2.0022414,0.11570822
239,-0.44327006,0.5206011,2.0165534,0.1455714
240,0.72692865,0.45306894,1.9923104,0.1604477
241,0.706923,0.4882924,2.0108829,0.1693888
242,-0.28159213,0.5959715,2.066096,0.13521
243,0.24636976,0.6649133,2.0018258,0.21827263
244,0.6104663,0.50052685,2.048885,0.20641081
245,0.55920243,0.5385776,1.9558777,0.15401992
246,0.21025652,0.5991637,2.0548933,0.16717972
247,0.21632223,0.6545529,1.9934187,0.18520215
248,-0.48865274,0.54816204,2.1856825,0.14406025
249,-0.06948395,0.67312163,2.0811005,0.16722447
250,0.7436721,0.45382565,1.9739504,0.21485105
251,0.4632082,0.5665638,1.9987965,0.21061787
252,0.08146981,0.6595807,1.9957691,0.106645435
253,0.5850658,0.5047583,2.0915463,0.1579285
254,-0.07621485,0.69543135,2.108495,0.15759133
255,0.0047784955,0.63622,2.0732489,0.2109475
256,-0.66040987,0.49546066,2.0944183,0.20528403
257,-0.008400676,0.65579,2.135131,0.17683427
258,-0.26924855,0.6545619,2.0710783,0.20476896
259,-0.33373025,0.6124029,2.0618796,0.1617775
260,0.45986608,0.5586562,2.0594058,0.20699951
261,0.14273296,0.62544584,2.0901961,0.10347112
262,0.40984118,0.59156626,2.1287804,0.075804606
263,0.43005848,0.5675909,2.0305645,0.1825396
264,0.062759645,0.6865803,1.9337665,0.1447629
265,-0.23068713,0.6875068,2.000155,0.14007713
266,0.45998895,0.57213235,2.0653536,0.1301433
267,-0.42651138,0.57029325,2.116057,0.08210683
268,0.67117894,0.48911974,2.1093671,0.11438481
269,-0.55010784,0.5950287,1.9549416,0.16883986
270,0.46625152,0.5646401,2.0788143,0.10093896
271,0.6981146,0.47629154,2.0700765,0.14395033
272,-0.11691569,0.6406003,1.9716696,0.14258592
273,0.049148027,0.71081597,1.9655015,0.22264391
274,-0.110312365,0.64450127,1.9720674,0.15667084
275,0.20116608,0.63587254,1.9990456,0.12395982
276,-0.71957767,0.46437967,2.170924,0.10265395
277,0.36339694,0.5830632,2.1084223,0.16698861
278,0.5169104,0.55874646,2.0789862,0.19043213
279,0.41892496,0.5843304,2.1206334,0.15387133
280,0.014661169,0.68901414,2.0372672,0.1028825
281,0.74078834,0.42804813,2.172533,0.1080042
282,-0.809578,0.4004249,1.9747396,0.16047108
283,0.6287881,0.48774958,2.0480156,0.11847785
284,0.36190245,0.57593584,2.060396,0.15499212
285,-0.7074162,0.4639545,2.023674,0.20009455
286,0.78619677,0.3668572,2.1676407,0.1395709
287,0.7040378,0.44019935,2.0798411,0.2123781
288,0.332818,0.596357,2.0431952,0.209961
289,-0.8070575,0.42691162,2.0270212,0.12936418
290,0.23459682,0.6298305,2.0124226,0.26913074
291,-0.40981,0.58065236,1.9109149,0.15212473
292,-0.06375952,0.6286449,2.0970051,0.114033595
293,0.70707864,0.43841654,2.0278308,0.17352106
294,0.10010528,0.6790937,1.9325032,0.21380281
295,-0.1298886,0.6417845,2.046587,0.19873227
296,0.6436131,0.4959512,2.0147552,0.13474688
297,0.49728352,0.5605598,2.1211839,0.17108361
298,-0.76546216,0.4478376,1.9580519,0.17413057
299,0.7507985,0.4547524,1.9450983,0.2834235
300,0.59078985,0.5182329,2.0699453,0.15706225
301,0.5097804,0.5608067,2.0335827,0.19193968
302,0.8044405,0.3803997,2.0942118,0.14426905
303,0.35339624,0.57934105,1.9792067,0.1513805
304,0.64153457,0.5044635,2.1365414,0.09222888
305,0.39189026,0.56134075,2.039613,0.119753666
306,-0.77543736,0.42198,2.0007997,0.12951623
307,-0.5749512,0.513581,2.1019561,0.12863989
308,-0.39630064,0.6044219,2.0030112,0.11852279
309,-0.3734172,0.58928466,2.040092,0.12880613
310,0.46262297,0.56422806,1.9104804,0.15381353
311,-0.6502071,0.49312368,1.9505594,0.12157092
312,0.43036556,0.5682797,1.959946,0.23926175
313,-0.020455962,0.67376226,2.0113215,0.17855144
314,-0.60456574,0.525353,1.9931079,0.11901541
315,-0.19773234,0.6813565,2.0912158,0.15524958
316,-0.48418137,0.54568565,2.029442,0.14897533
317,-0.8327118,0.33865845,2.097674,0.12723002
318,0.06270396,0.66728026,2.1670268,0.08525309
319,0.16694532,0.62825716,1.9957163,0.22398691
320,-0.57112783,0.5391228,1.9386775,0.15614004
321,0.48031345,0.5093154,2.075899,0.15998039
322,-0.019314468,0.68833995,2.080426,0.12863599
323,0.6086625,0.5259424,2.0379088,0.26294354
324,-0.6030268,0.51175004,2.1408122,0.14291196
325,0.48588547,0.55659974,2.2134047,0.1954195
326,-0.5366968,0.5189145,2.083685,0.13369623
327,-0.62486196,0.5274457,2.0832634,0.1731388
328,0.4677964,0.5128981,1.9876683,0.18784194
329,0.77038985,0.43005076,2.0112293,0.17302816
330,0.35339183,0.615006,2.026459,0.1872907
