,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
134,0.106285,0.7574485,2.2612648,0.051360287,-0.25363222,0.44035545
135,0.75849366,0.7228641,2.6717613,0.032338895,-0.20817885,0.49794206
136,-0.00038987095,0.76645726,2.1989398,0.03421483,-0.35418546,0.38995418
137,-0.063637786,0.72028553,2.1277537,0.078937285,-0.28142965,0.35407674
138,0.38934147,0.84402543,2.0666683,0.061455224,-0.5056099,0.44149634
139,0.46549326,0.75134826,2.400316,0.039123524,-0.20795664,0.37175414
140,-0.029316576,0.69660693,2.0075285,0.043779403,-0.18692602,0.3614217
141,0.5149589,0.7165118,2.2419398,0.008371084,-0.21502945,0.3844554
142,0.4202585,0.6863299,2.4011786,0.013163368,-0.14895678,0.47574276
143,0.19201292,0.69162565,2.3177674,-0.00033876568,-0.18628192,0.61588204
144,0.52487326,0.75769466,2.3227742,0.009412917,-0.16521995,0.46169025
145,-0.14698324,0.9155811,2.1152883,0.011550615,-0.21679041,0.35356736
146,-0.17527512,0.68186706,2.3215375,0.02199429,-0.29219294,0.47286138
147,-0.44233596,0.76837903,2.0749934,0.010032367,-0.20097281,0.44633922
148,-0.45646676,0.6197308,2.4768138,-0.023568219,-0.22840805,0.38872215
149,0.73787385,0.8808513,2.2851236,0.0028815768,-0.21522802,0.36458892
150,0.75054955,0.68100893,2.2386193,0.06615251,-0.24406306,0.3934096
151,-0.58023906,0.6687923,2.352057,0.0021862616,-0.27257466,0.4909965
152,0.19074018,0.7571423,2.1643276,0.025032278,-0.17082487,0.46826023
153,0.03854742,0.629066,2.2393014,0.017703634,-0.21189567,0.3779085
154,-0.47691953,0.70445627,2.2572014,-0.0002930163,-0.2723631,0.38715193
155,0.22039829,0.831477,2.46582,0.016044995,-0.2842089,0.43845692
156,0.33235085,0.8657475,2.095468,-0.049492136,-0.20908119,0.45598233
157,0.02113998,0.82962614,2.015482,0.10337048,-0.27772,0.46157154
158,0.04603222,0.8512705,2.3574312,-0.010101152,-0.2596895,0.41758728
159,0.78543025,0.7082689,2.2438364,0.05431986,-0.31682235,0.37689176
160,0.36453405,0.8443516,1.9857595,0.11053082,-0.14118029,0.41232333
161,-0.13181813,0.6951215,2.056435,0.03351976,-0.3338248,0.4355989
162,-0.42761904,0.72066814,2.1791365,0.08291856,-0.33153796,0.409649
163,0.20687187,0.7853333,2.1883984,0.002303525,-0.20691638,0.36082578
164,0.8326051,0.6767737,2.5504608,0.025588645,-0.28452662,0.48007828
165,-0.66920453,0.63271207,2.181977,0.010181912,-0.36222702,0.45989406
166,-0.0817254,0.8526946,2.071031,0.04537675,-0.2509639,0.45240834
167,0.21039993,0.7243419,2.3718927,0.049380094,-0.2547417,0.41314435
168,-0.105476804,0.8507234,2.2086313,0.00031398685,-0.35659257,0.4292912
169,0.054664046,0.78476334,2.3031795,0.0014865306,-0.26635602,0.40580782
170,0.6955198,0.84962606,2.3200698,-0.0028097124,-0.24390078,0.47029334
