,posterior_g1,posterior_g2,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
142,2.2114532,0.07472262,0.85,0.035864464938640594,3.7956762,2.2797406
143,2.2153049,0.06954905,0.85,0.027751166373491287,3.9044883,2.571722
144,2.163272,0.088770755,0.85,0.05,4.1834574,2.1340954
145,2.127425,0.16383065,0.5790235996246338,0.05,4.1779795,2.1346495
146,2.234062,0.14944158,0.8205119371414185,0.05,2.627241,2.453188
147,2.1170638,0.13275573,0.8260930180549622,0.035211749374866486,5.0699534,1.6326872
148,2.1855016,0.12658249,0.85,0.05,3.6770172,2.13579
149,2.2010763,0.109634586,0.85,0.05,3.951106,2.0023212
150,2.164143,0.15233727,0.809486448764801,0.05,4.4320555,2.315751
151,2.1782281,0.11753368,0.85,0.029384277760982513,4.4113216,2.0585778
152,1.9376329,0.15397125,0.8229778409004211,0.12081608921289444,13.26974,1.2532007
153,2.2430193,0.10643527,0.8478853702545166,0.014970752410590649,2.7971964,2.9073033
154,2.173267,0.14602979,0.8290227651596069,0.017582733184099197,3.908639,2.2052298
155,2.1894176,0.119025715,0.6525358557701111,0.009245496243238449,3.3256617,2.3368332
156,2.1937363,0.14104488,0.85,0.05,3.5198252,2.6153972
157,2.2317674,0.11109998,0.85,0.02678484469652176,3.2080908,2.444982
158,2.079246,0.17693107,0.8302614092826843,0.01467176154255867,4.741131,1.2961226
159,2.1642234,0.08473473,0.8335069417953491,0.02575121819972992,4.4189878,1.8103888
160,2.204581,0.13056394,0.85,0.05,3.392281,2.1821294
161,2.2685072,0.13627063,0.7429140210151672,0.01884022168815136,2.0984411,2.3576655
162,2.13738,0.12875687,0.85,0.05,4.8827705,1.7800883
163,2.1460645,0.09886667,0.8005504012107849,0.03595676273107529,4.5214176,1.7624683
164,2.206813,0.1576805,0.85,0.02975364960730076,3.512667,2.5528212
165,2.1849074,0.14831889,0.85,0.05,4.0993385,1.8225093
166,2.2252576,0.1084845,0.85,0.03124413639307022,3.200173,2.230304
167,2.2050343,0.11615336,0.8126372694969177,0.06306199729442596,3.3634133,2.8907163
168,2.1345603,0.14002813,0.85,0.016172928735613823,4.4708843,1.8636789
169,2.1809509,0.13670988,0.27957507967948914,0.016586216166615486,3.8733838,2.1651418
170,2.1475487,0.089364946,0.85,0.05,4.5888815,1.6470407
171,2.1794055,0.08896149,0.8304284811019897,0.022740166634321213,3.9007645,1.9104735
172,2.1613986,0.13328871,0.17266114056110382,0.04542943090200424,4.1610785,2.2799795
173,2.17071,0.08603458,0.785638689994812,0.033456988632678986,4.520501,2.2743962
174,2.1601474,0.14006697,0.85,0.05,4.027462,1.8665963
175,2.1403537,0.11441772,0.8147942423820496,0.030614644289016724,4.31595,1.5817901
176,2.0846157,0.07383875,0.8369963765144348,0.02738138660788536,5.9794846,1.296845
177,2.2118182,0.114042565,0.23959122598171234,0.03242344409227371,3.0641475,2.7870326
178,2.167698,0.1519702,0.7685911655426025,0.05,3.5135207,1.8819252
179,2.1889806,0.12943666,0.85,0.041399773210287094,3.6893969,2.2948148
180,2.288293,0.073758155,0.7462498545646667,0.029557587578892708,2.5067282,2.547024
