,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5
136,0.042427722,0.7868078,0.8643572,1.3453699,-0.21485719,0.32223216,1.4552548
137,0.12071656,0.7642393,2.8734508,-0.7304704,-0.17950788,0.42989635,-0.6875763
138,0.76297814,0.6416713,1.9698178,0.14859849,-0.16373707,0.40601552,0.2304369
139,-0.43906564,0.6596322,2.9776561,-0.7876144,-0.20278122,0.40779448,-0.6547579
140,0.5028035,0.8456012,0.78075844,1.2768681,-0.15854685,0.41646135,1.2761967
141,0.3857793,0.8427376,3.5705874,-1.5222669,-0.28402776,0.4098227,-1.5064576
142,0.28929615,0.93366516,1.4710516,0.49666777,-0.19462,0.38173133,0.6166664
143,0.5104062,0.75825644,3.021271,-0.91170186,-0.16205458,0.40261054,-0.85646266
144,-0.60243255,0.5243584,1.7880355,0.40307337,-0.1187959,0.38375896,0.45384312
145,0.4645016,0.82540894,1.6421479,0.66514057,-0.20535287,0.34935176,0.73471034
146,-0.4919992,0.7586028,3.191724,-1.0254521,-0.24122025,0.38097605,-0.98897386
147,0.5347437,0.7399791,1.3169835,0.97367585,-0.20410882,0.4470068,1.0554861
148,-0.1731566,0.76884353,3.4025087,-1.1616702,-0.27097943,0.36735603,-1.0724674
149,-0.08051698,0.7819511,1.98199,0.18327066,-0.124644905,0.42828512,0.1794897
150,-0.5719595,0.7249871,-0.20256047,2.2990007,-0.15637447,0.37654802,2.2976658
151,0.036853325,0.7585494,2.5805113,-0.6841584,-0.15779157,0.45794737,-0.55465263
152,-0.43773633,0.74059755,3.087458,-0.95933616,-0.15564445,0.41086695,-0.8183291
153,-0.51327485,0.69666606,0.2941093,2.0822392,-0.23202005,0.3498208,2.0585775
154,0.36370578,0.9072726,0.557592,1.8715067,-0.21895288,0.30268848,1.7506255
155,0.72887295,0.7319735,0.2626518,2.0367095,-0.2899998,0.431355,2.051824
156,0.18599512,0.9498437,2.6453233,-0.45785132,-0.15829022,0.3934602,-0.4011235
157,0.36638364,0.9280212,0.93573433,1.2910893,-0.22060412,0.40028974,1.3278124
158,0.5170645,0.8150174,0.4780365,1.8375771,-0.18646136,0.38441452,1.8377414
159,0.755743,0.67322284,1.1114277,1.4384305,-0.2252491,0.40134278,1.466332
160,-0.7267266,0.6689848,2.2197042,-0.0098077655,-0.16254878,0.46465853,0.061498895
161,0.117813885,0.83571273,0.9206381,1.2102001,-0.17333016,0.4181923,1.2590024
162,0.6106616,0.6614214,1.5270205,0.81218785,-0.26916513,0.33939826,0.87276566
163,-0.4006032,0.68880445,1.358956,0.9399546,-0.30373374,0.39393622,1.0591391
164,0.40227413,0.86030185,0.79660475,1.5456872,-0.1635195,0.40233845,1.6191956
165,0.02098822,0.925574,0.64306736,1.5821546,-0.20304292,0.40484536,1.6481267
166,0.017026464,0.86476064,1.4585994,0.8089964,-0.19538422,0.36255464,0.90310913
167,0.15424867,0.7518953,1.1892691,1.0786141,-0.23874606,0.41134253,1.117386
168,0.77349496,0.7621441,0.5497886,1.8244658,-0.20817846,0.35796097,1.9190543
169,-0.3687088,0.7493282,2.0897615,0.0116395475,-0.25736666,0.380262,0.09038939
170,-0.01741864,0.7969191,3.8233674,-1.6580116,-0.22356111,0.4236968,-1.5896132
171,-0.13117954,1.0894965,2.3504567,-0.20161699,-0.27073804,0.37081274,-0.1178491
172,0.11658909,0.85018593,0.50975674,1.8607529,-0.1681751,0.4677288,1.9106028
173,0.34064603,0.619966,2.492559,-0.4234827,-0.16056164,0.35762355,-0.26692134
174,0.058057517,0.8924278,-0.80892366,3.0080056,-0.1267085,0.32955295,2.9962785
175,-0.34463477,0.81858546,2.2623587,-0.24877225,-0.20036705,0.50059795,-0.11599329
176,-0.32262883,0.8961913,1.2541608,0.9764295,-0.21725652,0.35858363,1.0262971
177,-0.06518493,0.9604547,1.6492512,0.4980807,-0.18439461,0.40988973,0.56241584
178,0.4450895,0.8160332,3.1194077,-0.91842663,-0.2405225,0.36014745,-0.720012
179,0.17930026,0.82964826,2.2736936,0.0056617507,-0.17528234,0.3458157,0.09697409
180,0.60867786,0.69871145,1.761192,0.5154943,-0.1521379,0.3293513,0.55603975
181,0.6290223,0.78486544,0.5439725,1.8267657,-0.26747173,0.3204977,1.7920746
182,0.14329149,0.9532819,2.5118792,-0.25600138,-0.18158267,0.4286845,-0.28379112
183,-0.30620307,0.71088576,0.24888444,2.2251263,-0.30607882,0.43808275,2.1610587
184,0.03303409,1.1849756,2.5279717,-0.46134022,-0.16111606,0.4097244,-0.3782476
185,0.45835927,0.8046112,2.0859034,0.077466264,-0.21093123,0.3858999,0.17522123
186,-0.16106528,0.7661926,-0.28126025,2.3888907,-0.2764315,0.35655573,2.4383743
187,-0.17999683,0.8439685,-0.95962954,3.1939971,-0.13166726,0.35795692,3.1465323
188,0.06549409,0.7536094,2.7787554,-0.6298992,-0.10745139,0.46590698,-0.5641737
189,-0.15890227,0.9539593,2.6282108,-0.44029632,-0.22742543,0.41318482,-0.41262195
190,-0.22242564,0.7884814,2.2944014,0.09267018,-0.20829841,0.3845742,0.14012429
191,0.8246818,0.67595935,3.5690413,-1.0015901,-0.1924552,0.3367446,-0.98263115
192,-0.12566033,0.93833244,1.7794548,0.6392586,-0.22172654,0.35743546,0.67330295
193,0.41405433,0.8561625,3.0218167,-0.56953114,-0.2797349,0.43864015,-0.5195384
194,-0.5294564,0.83396375,1.3268651,0.8851612,-0.21798116,0.34771878,0.9273516
195,-0.19771443,0.8597288,2.6960614,-0.62625897,-0.19760069,0.43280563,-0.535908
196,0.33610582,0.71620774,3.211003,-1.2730676,-0.15445615,0.41077757,-1.2429702
197,0.0045410376,1.022382,0.05108187,2.3748846,-0.3421042,0.37862012,2.476671
198,-0.37570736,0.84647804,2.47125,-0.31810588,-0.17179748,0.3736491,-0.15195994
199,0.009576435,0.8932066,-1.0606631,3.242283,-0.14573443,0.37434193,3.2621334
200,0.5065246,0.70092475,1.2575662,1.2506135,-0.15565284,0.39177626,1.3061291
201,-0.26610044,0.8525181,0.60078406,1.5862602,-0.13973336,0.40153062,1.6654052
202,-0.4575565,0.68459713,2.1673005,0.21004902,-0.11954133,0.33456615,0.26471406
203,-0.19744012,0.7553482,3.7990968,-1.8319367,-0.2980336,0.31419197,-1.7092156
204,-0.54558325,0.6746536,0.1961061,1.9100002,-0.16566367,0.41302863,1.9639711
205,0.3827163,0.80082303,1.0410095,1.1234695,-0.14291431,0.460906,1.190153
206,0.45671573,0.7150922,-0.66310513,2.9186738,-0.20826155,0.4562164,2.8750534
207,-0.36488757,0.74379855,0.038682166,2.3507829,-0.1919439,0.41722032,2.3036828
208,0.72442836,0.70670664,0.20493193,2.0883617,-0.2217476,0.1683566,2.1196516
209,-0.5232338,0.671326,0.97251296,1.3320649,-0.14917852,0.44968015,1.4470022
