,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
96,0.4968704,0.8546145,2.1408598,-0.042427607,2.1785667,0.30604395,-0.03147407,-2.5067687
97,0.44170997,0.8668807,1.9385283,0.24880958,-1.5503503,0.3016757,0.28788748,1.2477018
98,0.49855578,0.81867003,2.5795064,-0.46576443,-0.20288624,0.25034472,-0.4563461,0.041468054
99,0.4189499,0.9086981,4.448768,-2.533596,-0.4286297,0.20944786,-2.5937254,0.29028332
100,0.5404415,0.925164,3.0631251,-0.9834348,-1.5851635,0.23476449,-1.005997,1.3252981
101,0.6179158,0.8013496,1.9879543,0.33350396,-1.7333589,0.30825847,0.34692812,1.5697179
102,0.5697287,0.8691377,1.6041062,0.81705236,0.7877562,0.2565528,0.8066695,-0.9206819
103,0.38053256,0.9044292,2.5324433,-0.29509303,0.77768934,0.3056208,-0.29830182,-1.0735651
104,0.40756965,0.9019817,0.9083448,1.1465728,0.6798265,0.21243162,1.1509573,-0.8723433
105,0.4388285,0.9557433,0.99075264,1.2408116,-0.75546926,0.25882158,1.2564188,0.5946029
106,0.3799322,0.8482512,0.57337284,1.4332842,-1.7741386,0.30590662,1.3953971,1.5562313
107,0.5078055,0.91436607,1.6833636,0.31189027,-0.70790094,0.28757766,0.30120093,0.55218947
108,0.44951814,0.8514933,2.4092574,-0.5208706,0.6024737,0.24420807,-0.5408419,-0.6412194
109,0.37352502,0.90540665,1.238336,0.9341643,1.0451854,0.2571731,0.92989737,-1.2161686
110,0.25084504,0.88769454,1.6268673,0.59180915,-0.8723262,0.27437624,0.59594566,0.792579
111,0.23839372,0.80438817,2.1820152,-0.17562315,-0.086183086,0.28474018,-0.17940743,-0.042373423
112,0.5590187,0.776021,3.0154965,-0.83946294,-1.8428692,0.2869622,-0.8361406,1.6490397
113,0.6307343,0.7896038,1.7294748,0.5114316,-0.30179068,0.28913012,0.52941924,0.08205217
114,0.41532043,0.983785,2.1318479,0.0951621,1.0687798,0.3095839,0.07624931,-1.1956936
115,0.3445956,0.84847206,-0.50913066,2.448573,0.1457165,0.33641258,2.4484074,-0.33411145
116,0.4833633,0.79994774,3.1802454,-0.9754483,-2.0999043,0.2069957,-0.9524695,1.9097883
117,0.54788107,0.7842065,1.6121727,0.8032028,-2.1797385,0.2776561,0.79587656,1.8762882
118,0.57161546,0.8325183,1.8423117,0.24262977,-2.7331254,0.23187672,0.23906834,2.5148351
119,0.48373768,0.98204994,2.2210171,0.014992438,-1.1706392,0.24687263,0.0076766564,1.0890063
120,0.5805222,0.85649705,1.8591723,0.14392273,-0.67583704,0.26822957,0.15758994,0.51906705
121,0.3476999,0.84948885,-0.6626473,2.8260992,-1.3958803,0.2618676,2.7969215,1.2342535
