,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
28,2.043132,0.03157268,-3.0352292,3.631981,0.15222251,2.6115112,-3.3948925,0.9291524291038513,0.23649463057518005,3.9140751,1.0684888
29,1.8597676,0.27129835,-0.7369859,-1.6930132,0.38467708,1.0993112,1.435032,0.7353174686431885,0.22963076829910278,4.1000867,0.66245127
30,1.0106083,1.1426375,0.60124403,0.60502297,1.1310923,-0.6164505,-0.3593238,-0.737446665763855,0.05,2.885016,1.9352932
31,1.2033626,1.1332631,-2.2589483,-1.1432484,1.2832406,2.355333,1.316799,0.10712273418903351,0.05,2.3526528,2.2129729
32,0.86279285,1.2752125,0.53800315,1.3303331,1.145942,-0.62034035,-1.0603907,0.99,0.05,3.0560646,1.8726377
33,1.8359493,0.35428306,1.2518921,0.51973504,0.3523325,-1.405622,-0.26957828,0.99,0.05,2.7554138,2.2250257
34,-0.18334332,2.4695132,-1.7668818,1.3026024,2.5303104,1.5004648,-1.173011,-0.7318559885025024,0.05,2.5728567,1.7271739
35,0.6522964,1.5925251,0.21851654,-1.7504486,1.399005,0.08818496,1.8631645,0.8828815221786499,0.14023278653621674,4.225349,0.9505648
36,1.6630403,0.5930107,0.69266844,-0.18161453,0.5703981,-0.81580126,0.42979,0.804563581943512,0.05,2.634057,2.452476
37,2.7845163,-0.4116037,-3.7017264,-1.6083926,-0.43699595,3.9998865,1.7596729,-0.2871018350124359,0.012158147990703583,2.3801315,0.82716715
38,0.7499498,1.5606546,0.9218819,0.20369257,1.4784738,-1.0721638,0.14829063,0.33509138226509094,0.05,2.5105937,2.0147548
39,2.379792,-0.091085695,0.17571579,0.77773726,-0.10625352,-0.23927516,-0.63531554,0.459133505821228,0.05,2.2292094,1.8751383
40,1.071795,1.3647145,0.17611128,0.9100949,1.2567174,-0.58984184,-0.5481915,0.5824201107025146,0.05,2.4036913,1.9378947
41,1.0957068,1.1065199,-0.3864689,0.06274442,1.2615467,0.2910994,0.08255901,-0.99,0.05,2.5738688,2.563663
42,4.0120134,-1.3882191,-0.078388244,-0.8037708,-1.4833189,-0.010208653,0.86713815,0.7200315594673157,0.05,2.1302683,2.3179703
43,1.8377811,0.4246442,1.8826029,-1.946907,0.5848338,-1.6443992,2.0228605,0.4636552333831787,0.3139948844909668,3.2281144,1.0874726
44,-0.48953012,2.6023333,1.5365267,1.9923321,2.885482,-2.0142124,-1.5273491,0.99,0.022278733551502228,2.7521977,1.4648478
45,1.1961522,0.8156256,1.0459787,3.2039058,1.019586,-1.5428455,-2.720277,0.9315494894981384,0.16133813560009003,3.930019,1.657883
46,2.6797056,-0.57861674,-0.86612326,0.9581214,-0.5572721,0.75090206,-0.6470695,0.467037558555603,0.05,3.0304315,1.88598
47,0.88460755,1.0956686,2.0343459,2.1392672,1.2329087,-2.2761257,-1.6468931,0.99,0.05,3.5081747,1.7483399
48,0.6328254,1.3891393,0.8619536,3.373303,1.7469409,-1.673002,-2.5995667,0.883357048034668,0.2737732529640198,4.0986047,2.4803083
49,-0.54393333,2.7785194,0.65911263,-1.1247221,3.100959,-0.34693122,1.0852138,0.99,0.05,2.2275505,1.2471437
50,0.5734724,1.7105495,-0.61868393,1.9367232,1.351848,0.36391452,-1.780488,0.9728329181671143,0.06615312397480011,3.4035094,1.4416578
51,1.3210652,0.8654751,-0.39019394,2.0342352,1.0092869,-0.041594293,-1.7098738,0.99,0.05,2.668427,1.7386255
52,2.476404,-0.26651275,-0.90340716,0.5495108,-0.18866996,0.67337507,-0.1933963,0.326297402381897,0.05,2.4909837,2.0021238
53,4.129344,-2.0142965,0.115834385,0.43608388,-1.8529505,-0.09323423,-0.7252811,-0.07302816212177277,0.05,3.2244682,0.88967633
54,3.3823953,-0.9700573,0.8542913,-2.3257802,-1.0128919,-0.3444474,2.349449,0.8697322010993958,0.14033107459545135,2.2503986,0.4673176
55,1.6618795,0.6291774,0.78582746,-1.1474987,0.7066172,-0.68764323,1.1889563,0.19237352907657623,0.05,2.6739407,2.273613
56,0.95608795,1.5054499,0.5588461,-2.8365607,1.3932948,-0.033077657,2.880037,-0.3632664680480957,0.17660848796367645,2.2452474,0.3041932
57,0.60153764,1.6429676,1.9717999,2.2520406,1.7024407,-2.5751698,-1.745061,0.9422601461410522,0.10689271241426468,2.7354493,2.6191301
58,-1.096375,3.2914991,-1.5298414,-0.94181705,3.4368916,1.6712352,0.91447306,0.6464074850082397,0.05,2.7075114,1.8738925
59,-0.3280183,2.6928596,1.1719023,-2.4990327,2.7169075,-0.81553185,2.5881805,0.11818260699510574,0.4151689410209656,2.7613137,0.7120287
60,2.755317,-0.5953126,-2.2202425,1.3215022,-0.55742806,2.039515,-0.921229,0.4111720323562622,0.05,2.5506346,1.9610012
