,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
93,-0.8897613,0.28106493,2.1951604,0.07072455,-0.17320642,0.35858917
94,-0.6750571,0.33506098,2.0132864,0.017433845,-0.10127112,0.30780095
95,-0.8852687,0.24873899,1.9631087,0.05400816,-0.13995938,0.36417282
96,-0.737433,0.32083148,2.0086107,0.029811027,-0.18193,0.36178595
97,-0.59585214,0.33408615,2.1187005,-0.040053744,-0.2701769,0.39588907
98,-0.6707455,0.3476107,2.0747771,-0.03660111,-0.2214607,0.36020064
99,-0.66065586,0.32496873,2.1305938,-0.011111663,-0.16928008,0.28768
100,-0.645434,0.35250258,1.9811801,0.05517199,-0.18689655,0.26108173
101,-0.76320726,0.31720203,2.0172205,0.06522048,-0.13797833,0.2286534
102,-0.71821535,0.32930622,2.2001553,-0.006287412,-0.10816102,0.22988437
103,-0.7351596,0.32304245,2.2305653,-0.044753052,-0.17443857,0.3479504
104,-0.73581994,0.30421478,2.1713078,0.08235528,-0.16534738,0.3082665
105,-0.6417539,0.37167603,2.3908017,-0.072089344,-0.19652745,0.35572743
106,-0.77850676,0.29154214,1.9896514,0.069986,-0.055935275,0.21663558
107,-0.6495067,0.35540333,2.129472,-0.044452447,-0.12267729,0.2848739
108,-0.7439191,0.3193491,2.2748966,-0.14715594,-0.03733943,0.20509431
109,-0.7757743,0.2944473,2.1785562,0.018319901,-0.19977552,0.4244415
110,-0.71594584,0.33131152,1.9413741,0.029179884,-0.09343923,0.24411638
111,-0.845185,0.28221238,2.059427,-0.04947315,-0.14877625,0.3389367
112,-0.64954156,0.32012582,2.1088874,0.011723709,-0.1178041,0.23046514
113,-0.8237451,0.26131606,2.122768,-0.015331418,-0.08989131,0.26348746
114,-0.5238381,0.37674412,2.2444897,-0.079513304,-0.13490011,0.32094753
115,-0.822193,0.27953613,2.3125153,-0.03546189,-0.124779604,0.26833436
116,-0.8638187,0.27472648,2.2124596,0.06630683,-0.1302772,0.29313967
117,-0.7758792,0.3152977,2.2877374,-0.05757653,-0.09570459,0.25934795
118,-0.7927168,0.28640345,1.99079,0.015090745,-0.105902195,0.29101115
119,-0.70442945,0.29724583,2.2370505,-0.062139835,-0.13896523,0.26396713
120,-0.7109083,0.2946082,1.9296663,0.12229618,-0.15254064,0.26455644
121,-0.78648835,0.30638754,2.22873,-0.025017899,-0.04082651,0.13826531
122,-0.6807887,0.32165307,2.060822,0.008062256,-0.05419048,0.19633204
123,-0.6638196,0.38055634,2.1758487,-0.03362443,-0.1360723,0.30905122
124,-0.7015566,0.30133322,2.131088,-0.021984883,-0.14276445,0.33385187
125,-0.6539694,0.32429823,2.2345102,-0.054408837,-0.14275153,0.2495018
126,-0.6783409,0.31688505,2.242617,0.013001208,-0.21291298,0.41072947
127,-0.8672935,0.26401818,2.1623912,0.067524746,-0.15395017,0.2996423
128,-0.80951214,0.32534266,2.1032083,0.13843842,-0.14375073,0.2904137
129,-0.69776464,0.346504,2.1811724,-0.06449499,-0.11654727,0.35793144
130,-0.9400516,0.2770682,2.0572784,0.022417005,-0.21786663,0.46481985
131,-0.5196428,0.39657757,2.3972874,-0.051143613,-0.20056826,0.30364347
132,-0.7035342,0.29389304,2.200043,0.004712957,-0.18451492,0.32985127
133,-0.8524412,0.2695924,2.167668,-0.08808056,-0.20082924,0.31997207
134,-0.70390713,0.33182085,2.2353606,-0.052599564,-0.040079612,0.19883868
135,-0.7061124,0.3516948,2.2192047,-0.02102647,-0.21515356,0.36553264
136,-0.7463234,0.27503225,2.1819854,-0.11552486,-0.0905073,0.28943965
137,-0.7151683,0.29457548,2.208216,-0.0031089464,-0.12833701,0.22327894
