,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
63,1.2612185,0.86101264,-3.656345,0.4173613,0.88807505,3.302529,0.7377222,0.3747793,4.671137,0.26979154
64,0.9571663,1.1985514,-1.4805127,0.30960527,1.1540817,1.3583077,0.81037474,0.3676535,3.6852028,0.39077544
65,1.9211799,0.13437583,-1.41173,0.361565,0.052040596,1.2546712,0.7068271,0.40997866,4.0579185,0.3297682
66,0.34088314,1.7334719,-1.041589,0.22090702,1.760746,1.0658225,0.8055108,0.43499666,3.8095977,0.3572462
67,2.3343217,-0.23661806,0.268592,0.32242635,-0.14682016,-0.56960636,0.7078768,0.3791735,4.2394347,0.30124274
68,-0.3402337,2.5370302,1.5745357,0.39551732,2.4201787,-1.9923977,0.56004226,0.44939518,4.1439776,0.28586286
69,2.1701374,0.040992934,0.21534331,0.32860622,-0.05420937,-0.4594861,0.79699254,0.43519276,4.1278596,0.30843636
70,2.5983777,-0.42886907,3.2840583,0.26801687,-0.42794868,-3.329786,0.83433044,0.457333,4.14951,0.27177194
71,2.8877656,-0.7067285,-2.2275195,0.22028212,-0.824472,2.075308,0.7957796,0.32021356,4.201377,0.29600012
72,0.15338665,2.1175802,-2.6003864,0.27716058,2.0636947,2.3518713,0.7842776,0.45539412,4.3448534,0.30379692
73,-0.42647913,2.3789663,-2.011441,0.24970561,2.4430408,2.0191453,0.7283837,0.3953339,4.4786777,0.27056032
74,2.3626869,-0.17274724,0.7300068,0.2851701,-0.18272294,-0.8093407,0.8191967,0.41839615,3.4672103,0.34617606
75,1.1173874,1.1285093,1.6548918,0.12155974,1.0566643,-1.9747568,0.7131944,0.26796988,2.8659408,0.44024625
76,-0.28997546,2.4324512,0.54340583,0.4110587,2.3051903,-0.88535875,0.55817807,0.4585745,4.7830534,0.23501714
77,0.4125467,1.6173065,-1.2945224,0.24427767,1.7093138,1.0874478,0.7347987,0.3902337,4.504327,0.30805773
78,2.2536387,-0.10775802,-2.393462,0.11348827,-0.0774373,2.2079852,0.78933525,0.35474578,3.7074752,0.30407643
79,1.3478843,0.5590152,-1.2084342,0.26884946,0.5833369,0.95626163,0.36481506,0.637006,4.6903534,0.27227524
80,1.1778744,0.8187016,-1.4360509,0.35310057,0.82205886,1.2259756,0.63242126,0.43779352,4.587686,0.26836053
81,-1.0714912,3.1847696,0.104361795,0.37234348,3.182726,-0.33080286,0.81732494,0.3744352,3.987587,0.33381012
82,-0.8952762,2.9143994,0.6735737,0.44776163,2.9769478,-0.83502835,0.8421739,0.38337418,4.3860073,0.27261654
83,0.63071936,1.2757587,0.9293464,0.3107379,1.3736867,-1.160072,0.6253689,0.4122927,4.8475223,0.28245735
84,0.44174406,1.428605,1.0263518,0.36851424,1.5323855,-1.3829128,0.38723361,0.56563807,5.2664976,0.23714553
85,-0.03635755,2.122188,-1.2710211,0.34313053,2.1642034,1.150049,0.8440604,0.29542747,4.6496806,0.27092686
86,2.163386,-0.15843393,-0.963116,0.243923,-0.23389868,0.8327511,0.5247859,0.42721757,5.387641,0.2331015
87,0.73187786,0.90668374,0.73501873,0.26311108,0.96456563,-0.7983094,0.25906742,0.55378807,6.969718,0.16479169
