,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
171,0.65931755,0.8375259,1.8920585,0.063214906
172,0.680696,0.8808884,2.16397,0.067227095
173,0.74859065,0.8376977,2.1323647,0.04686594
174,0.7012661,0.91668063,2.2686458,0.06437922
175,0.59254664,0.83661896,2.4492881,0.06570266
176,0.5899951,0.8532213,1.9656817,0.07271053
177,0.5781648,0.9060525,2.2763276,0.0675031
178,0.6382771,0.8116718,2.2424488,0.06603866
179,0.6628355,0.8563941,2.3415124,0.056364093
180,0.49374083,0.83445793,1.9034476,0.06729963
181,0.7363742,0.84309214,2.2530696,0.04767356
182,0.73132014,0.84795654,2.0981364,0.053143602
183,0.6499482,0.9514822,2.2264957,0.0683076
184,0.7128423,0.8281339,2.2267017,0.067022406
185,0.8210481,0.86947304,2.3541338,0.060765307
186,0.7057725,0.75692743,2.2087073,0.072669804
187,0.7988067,0.904991,2.2436786,0.06029302
188,0.61113596,0.85626674,2.0016809,0.062900074
189,0.599645,0.8056757,1.960727,0.07490841
190,0.63018143,0.91556436,2.3193007,0.056052484
191,0.6134819,0.8162508,1.7791933,0.051982597
192,0.5629257,0.86329204,1.8111975,0.071469314
193,0.7259546,0.95599496,2.3097875,0.061277766
194,0.63422716,0.82714945,1.999324,0.06945527
195,0.6570271,0.85527444,1.9373627,0.07772636
196,0.6267268,0.79851764,2.1292882,0.062849216
197,0.5821578,0.8895438,2.151761,0.07160044
198,0.75917494,0.8697136,2.0918198,0.06654526
199,0.59134567,0.8442645,1.8279728,0.076207876
200,0.79273534,0.930522,2.2575917,0.045365524
201,0.72702134,0.86276156,2.1951396,0.065591514
202,0.6376377,0.8651721,2.3019078,0.05321577
203,0.6973728,0.9164082,2.4454794,0.077732414
204,0.6013139,0.801769,2.055128,0.0796244
205,0.5774578,0.8730813,1.9277693,0.0719071
206,0.673623,0.83931696,2.0689213,0.058348272
207,0.7029284,0.91152126,2.077219,0.06827051
208,0.56605405,0.7211711,1.8084028,0.061500136
209,0.6572936,0.9219608,2.2747219,0.05336111
210,0.61154383,0.8388413,1.9345297,0.06231047
211,0.7046325,0.84597045,1.8895448,0.066118926
212,0.65923554,0.8401352,2.0953636,0.075744584
213,0.6035632,0.78517973,2.2310393,0.07816556
214,0.6616679,0.74387,2.3080208,0.06845913
215,0.66579026,0.8094072,2.1519613,0.07641923
216,0.6171587,0.9319539,2.0683916,0.04076699
217,0.7277557,0.8315928,2.0256438,0.058103476
218,0.54580504,0.83674747,2.4197721,0.07643649
219,0.7208273,0.9234514,2.264263,0.06582596
220,0.64297056,0.8656107,1.9511646,0.06446881
221,0.6798962,0.93365246,2.132349,0.06470051
222,0.56230575,0.88680667,2.16334,0.062868595
223,0.5009177,0.88660353,1.921057,0.056924444
224,0.6337188,0.7881092,2.0531142,0.04881824
225,0.6153879,0.8095427,1.9198989,0.07752222
226,0.707202,0.8546939,2.1420507,0.056166608
227,0.6450298,0.8751391,2.1473496,0.069629736
228,0.55783373,0.88755256,1.8403431,0.05624875
229,0.68768215,0.8676898,1.9244179,0.067033514
230,0.71934897,0.8105265,1.8955977,0.067169756
231,0.7137019,0.8805732,1.9832277,0.059553806
232,0.648257,0.856742,2.2698288,0.060025714
233,0.60895634,0.8109523,1.8436338,0.06312044
234,0.70712423,0.8265004,2.044235,0.06525139
235,0.7360213,0.87430966,2.1859572,0.0732065
236,0.6601595,0.8087742,1.8375566,0.066539206
237,0.5014165,0.8822601,2.209953,0.06297984
238,0.7729341,0.9033092,2.2687385,0.061806653
239,0.71240836,0.8092542,2.3601375,0.06767141
240,0.6447255,0.89547735,2.25545,0.06073374
241,0.62674123,0.8035271,2.061542,0.06742778
242,0.62572074,0.82512563,1.8602647,0.07730608
243,0.62595296,0.8468076,2.09749,0.06574892
244,0.49534765,0.81375176,1.7229476,0.081405066
245,0.5886576,0.8311846,2.0199833,0.060414165
246,0.70479536,0.8012263,2.0684934,0.06778144
247,0.59992176,0.9208589,2.168577,0.05789824
248,0.66509765,0.9772848,2.206179,0.07332813
249,0.7020391,0.9058087,2.2945366,0.049411092
250,0.6324456,0.80280566,2.1136484,0.07326306
251,0.67483836,0.76288694,1.9273348,0.07626432
252,0.5775254,0.81958044,2.0849316,0.06932858
253,0.71628296,0.8069564,1.9347941,0.0792881
254,0.6094094,0.79020864,1.8192302,0.053894218
255,0.703002,0.86905867,2.1794412,0.072036184
256,0.6063765,0.8804332,2.1926966,0.050419066
257,0.82969433,0.8475651,2.0002418,0.07061322
258,0.6749149,0.8359523,2.2164001,0.06460311
259,0.71925545,0.84999305,1.9459703,0.06309426
260,0.62113106,0.84753424,1.5906922,0.057398815
261,0.77447087,0.8453206,2.2736354,0.06839502
262,0.7014636,0.85873157,2.0843313,0.065598726
263,0.6497681,0.74724203,2.130718,0.06777759
264,0.6627436,0.8560926,2.2960865,0.061323225
265,0.81594706,0.78137875,2.4069843,0.06763887
266,0.6739169,0.898853,2.2058496,0.058258638
267,0.5607627,0.924194,2.1384366,0.05719907
268,0.77801263,0.7731227,2.0623102,0.059033543
269,0.6267662,0.90541446,2.3124871,0.06327577
270,0.7400634,0.8290646,2.2701485,0.07005408
271,0.67855465,0.8934428,1.9978582,0.07225418
272,0.54016197,0.89918685,2.1239572,0.06524159
273,0.6335049,0.80980164,1.9197227,0.07050101
274,0.67609185,0.877737,1.997245,0.069380805
275,0.6195833,0.8763025,1.9722288,0.06565214
276,0.75448114,0.91042984,2.3786597,0.05948561
277,0.703337,0.9274732,1.9520252,0.059329618
278,0.62120825,0.88344884,2.0604436,0.07739232
279,0.5741271,0.8270234,2.2286563,0.058964573
280,0.60646045,0.81246006,2.1491215,0.06817192
281,0.57687795,0.9148429,2.1380074,0.07546968
282,0.4955152,0.9504505,2.0597672,0.055252112
283,0.61703867,0.9165725,1.9940257,0.058467038
284,0.71757513,0.87964725,2.2919934,0.06975857
285,0.60302997,0.8567665,1.9322734,0.06288084
286,0.73565316,0.80468166,2.1877606,0.0720188
287,0.66943794,0.7916947,2.5708385,0.05011203
288,0.7498559,0.80150574,2.3694005,0.065387286
289,0.64512473,0.8625889,1.8903757,0.08779741
290,0.6335228,0.85445166,2.1696923,0.06759102
291,0.7047672,0.876039,2.279037,0.063514896
292,0.71293765,0.83233404,1.8545184,0.0668646
293,0.64420104,0.9032177,2.3219192,0.05647363
294,0.5280837,0.7849136,2.0702739,0.063228
295,0.6505794,0.88678735,2.1093612,0.06352687
296,0.50719416,0.795328,1.9482231,0.06487615
297,0.7754581,0.8068579,2.0162034,0.06974928
298,0.6672123,0.8610357,2.339097,0.061679345
299,0.5177529,0.82863057,2.1296456,0.051357914
300,0.74127156,0.85290647,2.4052343,0.08465514
301,0.66848767,0.8448563,2.0232236,0.077104144
302,0.74010944,0.9202689,2.1282375,0.04159866
