,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
83,2.358943,-0.14876586,-0.13305642,0.35130513,0.8430737,0.40271536,4.146931,0.28970394
84,1.8667611,-0.1714322,-0.18421777,0.36111328,0.21615718,0.63679487,6.1039658,0.1877305
85,1.8081365,0.008145174,-0.16908218,0.29337758,0.38258085,0.609949,5.6608152,0.23176248
86,2.1172962,-0.107429855,-0.21684465,0.30132923,0.75525874,0.3480016,4.9270196,0.24900512
87,2.5321138,-0.113869585,-0.16781169,0.330029,0.8350985,0.45392677,3.6457453,0.34157443
88,1.8581878,-0.01590266,-0.23915055,0.4089632,0.35043958,0.5150849,6.481332,0.17574699
89,2.021185,-0.055586133,-0.15017548,0.23354153,0.5959228,0.48390076,5.0517907,0.2388616
90,2.126731,-0.13229708,-0.154624,0.364789,0.8488829,0.27648562,3.938753,0.32009602
91,2.0238042,-0.032622483,-0.18609542,0.22762965,0.5283291,0.5213339,4.643277,0.25243074
92,1.7735839,-0.07018692,-0.114745595,0.30094066,0.058848444,0.7302395,7.023356,0.1657448
93,1.873374,-0.054753136,-0.19863588,0.3951054,0.44116166,0.53548914,6.140498,0.19725464
94,2.135002,-0.11128051,-0.11945737,0.23609103,0.68504983,0.44706762,4.075976,0.27749854
95,2.3300514,-0.023290712,-0.17688167,0.15652737,0.82545257,0.34509674,3.2127056,0.40120253
96,2.021666,-0.14106083,-0.18881881,0.29342553,0.63672245,0.42205578,4.207395,0.28030854
97,2.0528483,-0.13002159,-0.2107217,0.25380924,0.7176167,0.3142853,4.9736853,0.26104838
98,2.125812,-0.09673748,-0.18962446,0.33898574,0.79866993,0.3868897,4.9574213,0.23264077
99,1.8543909,0.026673108,-0.1309518,0.22915351,0.21579686,0.5460002,5.5292234,0.20288584
100,1.6677063,-0.051566195,-0.070214935,0.20308647,0.17470817,0.68718296,7.27941,0.16991095
101,2.1116157,-0.12104668,-0.18954289,0.31611252,0.8172617,0.33083096,3.9059606,0.3435147
102,2.3059714,-0.10738449,-0.087409385,0.20371817,0.83646387,0.3785304,3.7595835,0.34283864
103,1.9901416,-0.023161381,-0.09646991,0.14913806,0.65781045,0.39450046,4.929773,0.22854353
104,2.508542,-0.10131977,-0.14879474,0.28073883,0.8468329,0.3993149,3.7565641,0.33561996
105,2.2110415,-0.05086609,-0.211515,0.3298887,0.8266081,0.424101,3.7249541,0.31541568
106,2.033496,-0.05610069,-0.21147402,0.3134662,0.69806105,0.48224184,4.195311,0.33332235
107,2.060167,-0.026977878,-0.21310149,0.3591769,0.8232222,0.3355058,3.7811902,0.37235588
108,2.325583,-0.11075991,-0.19600596,0.33769754,0.82909787,0.41124186,3.8374095,0.32925168
109,1.9846159,-0.065922156,-0.1387714,0.26699826,0.7670837,0.3343038,4.6576686,0.27274254
110,2.4988737,-0.09036287,-0.18847233,0.30465028,0.8487123,0.432235,2.8648496,0.50578576
111,1.9344242,-0.12968402,-0.25087082,0.3987957,0.3535228,0.6452096,5.4611025,0.22328582
112,2.0741467,-0.013286506,-0.22936487,0.26324168,0.7932012,0.280037,4.0493903,0.31558847
113,2.2409518,-0.05695199,-0.13820647,0.2710725,0.82627475,0.4352974,4.049575,0.309349
114,1.7878414,-0.10175932,-0.06643316,0.27031738,0.20390958,0.64015085,6.0553107,0.18965128
115,2.4942083,-0.12877467,-0.14595993,0.34933499,0.8480498,0.4799235,3.826073,0.3248151
116,2.12079,-0.12505364,-0.1297682,0.28252715,0.7261891,0.4777759,4.4457703,0.26930985
117,2.3233614,-0.037518643,-0.1670623,0.3434672,0.8449495,0.44306245,3.379198,0.40620536
118,2.1052744,-0.016866082,-0.10347558,0.27102527,0.8310346,0.39088625,4.2234035,0.28195775
119,2.0533094,-0.017941166,-0.18256344,0.31030178,0.7525594,0.4390359,4.822507,0.25480518
120,2.089135,-0.05621743,-0.17314169,0.31307366,0.8487665,0.23202768,3.8672285,0.3587095
121,2.0829134,-0.07066236,-0.1473428,0.3936172,0.82457316,0.3257075,4.4469137,0.30368578
122,2.0478501,-0.073473014,-0.16685455,0.25159982,0.58904874,0.47757006,4.332849,0.30377182
123,2.2864242,-0.12895684,-0.14620817,0.291605,0.827252,0.34519064,3.4394808,0.37245354
124,2.054776,-0.07955841,-0.309557,0.40532294,0.79577494,0.29428738,4.5490384,0.26728165
125,2.6527681,-0.059668783,-0.18173163,0.4201035,0.8464729,0.46525902,4.2385216,0.30407077
126,2.1856112,-0.01937555,-0.15887402,0.27810425,0.7968864,0.48134124,4.043419,0.32267222
127,1.978781,-0.06307692,-0.095623374,0.2500211,0.654105,0.3592734,4.608372,0.3055256
128,1.9688959,0.0036237,-0.15508375,0.30238977,0.6653245,0.5266142,4.9757843,0.26492438
129,2.0701435,-0.0061291023,-0.09566154,0.29760018,0.81912917,0.3638347,4.1873097,0.30599308
130,2.3078918,-0.14383934,-0.15714513,0.3275159,0.85309595,0.36553943,4.4965315,0.26048633
131,1.8917742,0.0059539364,-0.15780333,0.2137333,0.27963918,0.49876577,5.678253,0.20686302
132,2.2657282,-0.06249795,-0.15257336,0.35800242,0.84850264,0.43133292,3.7843966,0.35208234
133,2.0811975,-0.09138204,-0.19617972,0.30694735,0.7443855,0.44816473,4.0377874,0.31315053
134,1.9966795,-0.085587956,-0.1351489,0.27053466,0.6765558,0.53713745,5.01142,0.2236333
135,2.187103,-0.04060816,-0.117464125,0.28674057,0.84729064,0.35654753,4.192122,0.28412268
136,2.352978,-0.07792619,-0.2535544,0.2462777,0.79483616,0.3821048,3.4664102,0.3712478
137,2.3420901,-0.124337904,-0.2275351,0.29529372,0.7935251,0.54596204,3.8677716,0.292775
138,2.2088532,-0.03865104,-0.20018816,0.3200415,0.83813536,0.3855473,3.6667967,0.33353588
139,2.1871223,-0.10261211,-0.11170266,0.26096663,0.8031942,0.3771824,3.858028,0.33002722
