,posterior_g1,posterior_g2,posterior_g3,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
1940,2.0720775,0.012499658,-0.014105774,0.7129315,0.09159940481185913,3.410016,0.4969278
1941,2.0916674,0.0044819694,-0.02889179,0.7139341,0.029366232454776764,3.7703338,0.420148
1942,1.8012673,0.025541719,0.044695754,0.24863811,0.05,6.046743,0.32776088
1943,1.9454335,-0.02600058,0.0058101076,0.44033763,0.03194640576839447,4.4200354,0.42020807
1944,2.187639,0.00238087,-0.053488597,1.0251848,0.05840170383453369,4.0061264,0.31227592
1945,2.1503465,0.04803442,-0.025456188,0.99876404,0.05,4.098304,0.32721198
1946,2.153097,0.06303868,-0.0991631,0.8470175,0.04982621595263481,3.5622814,0.40797895
1947,2.133053,0.014515309,0.026179781,0.9611107,0.05983833968639374,4.352813,0.33693865
1948,2.1143775,-0.01425732,0.016064083,0.8647353,0.09174040704965591,4.12442,0.45012972
1949,1.9055717,0.009443166,0.058702797,0.5455039,0.036018770188093185,4.3463173,0.4070362
1950,2.2269223,0.004976579,0.006519596,1.0285933,0.050622593611478806,3.4506676,0.35720384
1951,2.069427,0.031362683,0.03719198,0.82690036,0.05,3.5416763,0.4507902
1952,2.117045,0.055398207,0.039005544,0.9169135,0.08071254193782806,3.8005462,0.458075
1953,1.971694,0.06359468,0.06512669,0.6862651,0.07826337218284607,3.5931342,0.46643585
1954,1.9873155,0.025464801,-0.02592403,0.6700592,0.09872101992368698,4.0377693,0.4369939
1955,2.0975504,0.09343197,0.06218241,0.8388418,0.06632978469133377,3.636973,0.46557632
1956,2.2527711,0.05817407,-0.09940676,1.0691165,0.05674319714307785,4.158902,0.32625353
1957,2.1069703,-0.030502412,-0.0010091562,0.8697428,0.026673689484596252,3.466373,0.45099586
1958,2.3437958,0.04727334,-0.0014399566,1.2259103,0.07074104249477386,2.9674702,0.48915833
1959,2.1993296,0.06425651,0.004167555,1.1525477,0.04357966035604477,4.510914,0.30554512
1960,2.0655901,0.036174335,0.036805123,0.8691827,0.0637403279542923,3.9768763,0.39823294
1961,2.1051068,0.10338422,0.021424357,1.0024732,0.013041709549725056,4.0304527,0.36902556
1962,2.136947,0.015906097,-0.040992882,0.91100043,0.05,4.208151,0.28839678
1963,1.870293,0.041137602,0.039724126,0.45160592,0.05134693533182144,4.569962,0.41928896
1964,2.292146,0.006507054,-0.040303066,1.1128451,0.05,3.800892,0.3659024
1965,2.1131659,0.04093436,0.011025356,0.997594,0.06270433217287064,4.528481,0.33792907
1966,2.044622,-0.008661099,-0.034352574,0.7185306,0.07580430805683136,3.6872551,0.51425046
1967,2.0847619,0.04717594,0.013727333,0.87372696,0.07244452834129333,4.0135803,0.393666
1968,1.9514282,0.051117852,0.08338107,0.73189276,0.04051683470606804,3.9054554,0.37835675
1969,2.0916464,0.009697655,0.0436947,0.9772434,0.05049733817577362,4.8402214,0.2858962
1970,2.0780723,0.046375178,0.088216424,1.0958731,0.05,4.563488,0.26434895
1971,2.0960171,0.03175213,0.022747302,1.0119227,0.011113547720015049,4.1853967,0.33540612
1972,1.9115283,0.018437386,0.0640045,0.5068495,0.04293931648135185,4.066849,0.45068517
1973,2.2682328,0.023479123,-0.044324167,1.1808978,0.03315165266394615,4.625639,0.2905865
1974,2.0591388,-0.005629365,0.0005821241,0.78304344,0.10423330217599869,3.7972717,0.47712916
1975,1.9638932,0.058989566,0.05306987,0.6576213,0.06663858145475388,3.7562826,0.46801636
1976,2.1492214,0.13235334,-0.047929898,1.0671357,0.05,4.027916,0.32903093
1977,1.9566271,0.0890981,0.047334623,0.53052175,0.04748713597655296,3.2036927,0.53233594
1978,1.897671,0.10845324,-0.015681323,0.50049675,0.05364065244793892,4.2400064,0.49084514
1979,2.127539,-0.017677292,0.03766419,0.8799856,0.06039195880293846,3.7247047,0.44004947
1980,2.1935916,-0.02492624,-0.02584715,1.0247108,0.05,3.9190042,0.30561876
1981,2.171222,0.03743243,-0.028717626,0.97434074,0.0008356980979442596,3.7696588,0.3830013
1982,1.8475939,0.03157891,0.01600787,0.34106556,0.0460331067442894,4.8996606,0.38856772
1983,2.3769233,-0.0038464894,0.01812285,1.1844629,0.05,3.817527,0.3447053
1984,1.991167,0.08665882,0.08092937,0.7684299,0.052641965448856354,3.7909598,0.4471719
1985,1.9602832,0.08792632,-0.013467524,0.36717927,0.09952867776155472,2.8991768,0.8972295
1986,2.0140984,0.04448023,0.06480978,0.8469609,0.052166424691677094,4.5999403,0.31660613
1987,1.9805537,0.09873271,0.031524878,0.7856285,0.057239238172769547,4.168497,0.3833236
1988,2.180008,0.08267117,-0.049367536,1.0538781,0.025892343372106552,3.8087661,0.36214808
1989,2.2127159,-0.028487036,-0.017984033,0.98345035,0.021912820637226105,3.9505217,0.31113932
1990,2.270278,0.0038416944,-0.07385367,1.0482435,0.05,3.1056736,0.4262036
1991,2.2053845,0.1032453,-7.993476e-05,1.1137108,0.08878745883703232,3.9336348,0.42320183
1992,1.9877276,0.09683622,0.04582537,0.70384693,0.05115771293640137,3.182631,0.44994575
1993,2.1392999,0.12649924,-0.011066634,0.92607796,0.05628984048962593,3.2175436,0.5406557
1994,1.9942503,-0.0051705716,0.0022855839,0.63373446,0.05160721391439438,3.779129,0.4189855
1995,1.9821633,0.033164773,0.1112043,0.75701493,0.07205964624881744,3.9219556,0.46713284
1996,2.1835246,-0.0727624,-0.07233158,0.6436894,0.051686156541109085,3.6312594,0.46040043
1997,2.0520222,-0.027002802,8.543292e-05,0.69375575,0.05348890274763107,3.43748,0.47556117
1998,2.0152757,-0.0011132511,0.09329207,0.7203925,0.05300315469503403,3.7376344,0.44769213
1999,2.238425,-0.05315066,-0.024777241,0.94081354,0.05,4.06981,0.3710442
2000,2.0537727,0.11617448,-0.0018525235,0.8039491,0.04043694585561752,3.763626,0.42460594
2001,1.9188087,0.05179774,-0.013373182,0.45199773,0.05283011496067047,3.828347,0.5782294
2002,2.0424416,0.056782372,0.10207413,0.7999764,0.06102108955383301,3.311217,0.48036024
2003,2.045955,0.037664462,0.032142557,0.8024439,0.04874718561768532,4.3460355,0.3424627
2004,2.0762243,0.014756267,0.050434038,0.9156882,0.06056389957666397,3.5157464,0.45235348
2005,2.0227869,0.06607663,0.031005083,0.8767215,0.07071086019277573,3.8686404,0.4131499
2006,2.1702008,0.03443159,-0.019107878,1.0239729,0.05,4.4873395,0.25420764
2007,2.2483766,-0.024604028,0.03902541,0.99360853,0.05,4.1853633,0.30507824
2008,2.091606,0.058844496,0.020905066,0.8297755,0.05599766969680786,3.8209932,0.43360305
2009,1.9979798,0.0110720685,0.000931701,0.6700384,0.05319514125585556,3.7327511,0.46101978
2010,2.0885248,-0.02243117,-0.016350236,0.8009378,0.05171914026141167,3.5999968,0.47326827
2011,1.9804996,-0.033710394,0.07614589,0.514468,0.07165474444627762,3.6690853,0.47909763
2012,2.2759848,0.023025265,0.024785211,1.1534636,0.05,3.7053368,0.31423947
2013,1.9644527,0.05175289,-0.00024451103,0.67230445,0.04137750342488289,4.191793,0.33521664
