,posterior_phi,posterior_sigma,posterior_g1
537,-0.68916,0.46191055,1.7834326
538,-0.65887344,0.4665837,1.7002044
539,-0.725822,0.40063128,1.721598
540,-0.57982004,0.4869482,1.805044
541,-0.74912685,0.42739028,1.6984633
542,-0.7805599,0.39861828,1.8429948
543,-0.7849339,0.4092575,1.8269837
544,-0.83240414,0.39951673,1.7036875
545,-0.7124435,0.44107857,1.8321276
546,-0.7072105,0.4539247,1.8319024
547,-0.73768276,0.4019864,1.8342113
548,-0.78239495,0.4032304,1.7099158
549,-0.8257532,0.36662441,1.8621546
550,-0.8190459,0.39653265,1.80635
551,-0.78450674,0.40979016,1.9068118
552,-0.70351374,0.4072768,1.761526
553,-0.6379882,0.47828358,1.6765661
554,-0.83341545,0.41416764,1.9385861
555,-0.73824173,0.4428475,1.872424
556,-0.86092836,0.38480932,1.68426
557,-0.80598587,0.41139296,1.9306424
558,-0.77682394,0.3915186,1.7840943
559,-0.72462153,0.4405769,1.8809979
560,-0.797115,0.37773448,1.8045521
561,-0.6738615,0.48529634,1.8850765
562,-0.6113325,0.50671023,1.716581
563,-0.7805383,0.39616463,1.7790506
564,-0.69546556,0.45712352,1.8242961
565,-0.71963805,0.4053197,1.8522458
566,-0.80771446,0.3980393,1.80524
567,-0.72753644,0.43261346,1.8915948
568,-0.64974535,0.45709127,1.765319
569,-0.6751602,0.45190904,1.9931446
570,-0.6813159,0.46313837,1.9563065
571,-0.80279005,0.38554215,1.8786621
572,-0.78245044,0.40957937,1.7216533
573,-0.7733233,0.40706614,1.9064217
574,-0.78610337,0.39418468,1.6680727
575,-0.7693867,0.4289054,1.7203963
576,-0.7871331,0.4061163,1.7774732
577,-0.78866094,0.3981511,1.9095701
578,-0.78153884,0.3989285,1.8236567
579,-0.80204976,0.39698213,1.7548739
580,-0.79698974,0.40293902,1.6754647
581,-0.7581488,0.39301193,1.9282088
582,-0.72852486,0.4119901,1.7079256
583,-0.7066609,0.4361148,1.7442667
584,-0.7855515,0.3921409,1.8544393
585,-0.7155792,0.42850086,1.9264627
586,-0.8145455,0.40744656,1.7503608
587,-0.7536254,0.4341554,1.8892804
588,-0.8316075,0.40055984,1.7147231
589,-0.73740065,0.4390607,1.988105
590,-0.8094852,0.3860736,1.8074439
591,-0.7087216,0.40400162,1.9370643
592,-0.7611135,0.4401749,1.9436264
593,-0.731745,0.41812798,1.8770269
594,-0.6934687,0.46668565,1.7841877
595,-0.706539,0.45334122,1.7180293
596,-0.7085395,0.46215814,1.7450728
597,-0.7712271,0.4303414,1.8045267
598,-0.7094911,0.44285408,1.6024201
599,-0.8259987,0.34848246,1.943261
600,-0.8400589,0.4229147,1.7597264
601,-0.7120011,0.42795548,1.7490923
602,-0.66596085,0.41621804,1.9447725
603,-0.79250956,0.42386037,1.9352404
604,-0.77410436,0.40351614,1.9273202
605,-0.7351496,0.43819353,1.7406
606,-0.79088354,0.4009941,1.7347007
607,-0.63636965,0.45590654,1.8185347
608,-0.85648197,0.35304183,1.9387915
609,-0.67722034,0.44999713,1.7093371
610,-0.83605015,0.39700142,1.7264289
611,-0.71088785,0.4237038,1.8490078
612,-0.7583203,0.4013336,1.7501577
613,-0.72060966,0.44156623,1.9418252
614,-0.7265276,0.41252822,1.7794565
615,-0.63445514,0.45536748,1.9376395
616,-0.77590436,0.38999465,1.8504512
617,-0.7065328,0.44841415,1.8066924
618,-0.7598769,0.39332545,1.8683473
619,-0.74921936,0.42130575,2.0116336
620,-0.7053266,0.45064563,1.731808
621,-0.67775166,0.47191462,1.7722138
622,-0.6778315,0.42758712,1.9684362
623,-0.7834551,0.35851365,1.8136688
624,-0.72366357,0.3864654,1.7740839
625,-0.7925599,0.39866358,1.5751134
626,-0.7626366,0.39901033,1.9309144
627,-0.7915912,0.39429668,1.8369693
628,-0.7660183,0.40009338,1.8229065
629,-0.7880332,0.41250893,2.0101326
630,-0.72518337,0.40970692,2.0265074
631,-0.62634873,0.4697143,1.8398116
632,-0.7838826,0.40247914,1.7967542
633,-0.74674106,0.4221362,1.8305964
634,-0.7702134,0.39919716,1.8175523
635,-0.7377629,0.44345674,1.8152413
636,-0.78258795,0.42550084,1.7408528
637,-0.802373,0.37899897,1.835362
638,-0.7865058,0.39888108,1.6192143
639,-0.8170321,0.39180058,1.7939396
640,-0.8002718,0.37076446,1.9052752
641,-0.79278535,0.4151273,1.8896931
642,-0.8565853,0.36377573,1.9438611
643,-0.7592282,0.39957842,1.8515488
644,-0.6884397,0.4525281,1.7821515
645,-0.78202844,0.4091579,1.9264625
646,-0.81763166,0.41373292,2.0113094
647,-0.73254544,0.4264282,1.8649175
648,-0.76460016,0.39407584,1.8192898
649,-0.71362484,0.4026031,1.8467281
650,-0.6720665,0.4817427,1.7652165
651,-0.81439096,0.38062114,1.9850196
652,-0.785937,0.42998654,1.9560518
653,-0.7868807,0.40160206,1.7943971
654,-0.7367022,0.38465145,1.8451102
655,-0.7376244,0.40235707,1.8759547
656,-0.7942514,0.3816609,1.9205581
657,-0.76390415,0.41692853,1.8802791
658,-0.8336237,0.38599044,1.9443679
659,-0.68501836,0.4463687,1.9052466
