,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
162,1.447625,0.77751774,-0.20089605,0.46264657,0.7513409,1.1149421,0.04930529743432999,3.9118507,0.38543132
163,0.13688025,1.9835831,-0.19140157,0.32454565,2.2043855,1.0496737,0.05,3.6856756,0.43116945
164,1.8249328,0.42568722,-0.1755463,0.3348327,0.5582771,1.1470616,0.07803748548030853,3.0380683,0.64024544
165,1.8354641,0.42395395,-0.15741773,0.1239734,0.4050805,1.2858976,0.061577584594488144,4.7100635,0.27125785
166,2.1608183,-0.08570762,-0.24184854,0.4174792,0.0413402,1.1147137,0.05,4.4652457,0.29104275
167,1.7448695,0.473648,-0.0725537,0.28857702,0.5434799,1.1858929,0.06509126722812653,3.5790877,0.45855817
168,0.56355256,1.6213328,-0.06606859,0.17066187,1.6031334,1.1227411,0.09052489697933197,4.1270523,0.41640607
169,-0.9789835,3.2078288,-0.20468207,0.3154558,3.3615105,1.2495342,0.05,3.8649385,0.3201949
170,2.924717,-0.6351645,-0.15810104,0.30258805,-0.7280304,1.2324562,0.055228348821401596,4.091817,0.35157916
171,1.5977265,0.69390625,-0.10212606,0.20862792,0.6401111,1.2837647,0.06975679844617844,3.993978,0.42944136
172,0.60445523,1.6652514,-0.20278084,0.46021187,1.7792454,1.1519489,0.036847278475761414,3.6982024,0.4388064
173,0.7414651,1.5563695,-0.08982446,0.31162432,1.4260973,1.0500941,0.034534476697444916,3.6184063,0.36621028
174,1.9321591,0.2928457,-0.23309022,0.2937996,0.41848886,1.1820866,0.05,4.0372224,0.30466896
175,-0.5637802,2.8681917,-0.09933628,0.17301877,2.7426443,1.2185503,0.05,4.4217186,0.33031514
176,2.5886319,-0.49564397,-0.17465621,0.26396737,-0.31031805,0.9771682,0.035748567432165146,3.7439792,0.47107676
177,2.6372123,-0.50336605,-0.14317642,0.19403534,-0.27479982,0.98229444,0.02767663262784481,3.3620253,0.52771336
178,0.30799416,1.9764167,-0.12487031,0.18120115,1.9434725,1.1932546,0.05,4.636619,0.27977577
179,0.77804047,1.2419925,-0.15836641,0.32149148,1.405064,0.81737846,0.0715389996767044,3.08425,0.6581666
180,2.3954055,-0.077748284,-0.22862099,0.37472835,-0.29440197,0.76338124,0.028914283961057663,2.9006588,0.6879239
181,1.2078304,1.0007708,-0.1966588,0.3497036,1.132257,1.1119161,0.04635128006339073,4.758221,0.35276678
182,3.6034892,-1.5555472,-0.16499776,0.3082088,-1.3435589,1.1114527,0.05,4.0317473,0.36708462
183,2.9323392,-0.835782,-0.23369908,0.43523514,-0.8178853,1.0172039,0.055635567754507065,4.243861,0.40242577
184,1.1955984,1.0024803,-0.08560157,0.24457383,0.991409,1.1363586,0.040511179715394974,4.9400444,0.32629943
185,3.9407666,-1.7738688,-0.06144351,0.3933133,-1.6418816,1.2236214,0.05152083560824394,4.2891417,0.34824258
186,1.8917394,0.25568324,-0.22548185,0.4209865,0.2587124,1.1411573,0.05920780822634697,4.3200827,0.37773904
187,0.7225119,1.4635339,-0.032065697,0.17930052,1.2655314,0.6078859,0.039112638682127,3.1937654,0.6618322
188,0.7457969,1.2081751,-0.10671559,0.3489073,1.3434315,0.94239926,0.07082180678844452,4.0444155,0.4473867
189,0.86378175,1.3518268,-0.05699887,0.24175155,1.1961834,1.0492213,0.020153570920228958,4.1842194,0.37006205
190,2.5335064,-0.4370397,-0.22055492,0.2665175,-0.50722104,0.9348475,0.0475454181432724,4.1069827,0.43294448
191,0.6078208,1.7030046,-0.12257493,0.15776725,1.5027719,0.98145115,0.07463036477565765,3.302198,0.5507544
192,1.7613422,0.6017262,-0.2503386,0.4340833,0.7259149,1.2158885,0.05,4.0057673,0.27933726
193,0.19105344,1.9719826,-0.117231615,0.27714777,2.0131001,1.0348114,0.08272690325975418,4.252133,0.4215969
194,0.79240555,1.2971119,-0.16459177,0.3058398,1.420042,1.144006,0.05206648260354996,4.5743012,0.33128715
195,-0.46592107,2.6478117,-0.029781982,0.05582361,2.5233967,0.86122406,0.05,4.3705645,0.34555715
196,2.0368795,0.12849617,-0.07645689,0.23710151,0.24607837,1.1593761,0.046216242015361786,4.0544696,0.3380912
197,1.9944712,0.14627375,-0.13082974,0.42995405,0.11563201,1.1030489,0.05396844446659088,4.042597,0.41208923
198,0.7715846,1.6046978,-0.05916616,0.2632489,1.3200324,0.8801524,0.03702029585838318,2.7520015,0.6569941
199,2.221308,0.21337876,-0.3153132,0.48696524,0.2979791,0.9833481,0.11038795858621597,2.0162666,1.1343609
200,2.2508752,0.044559196,-0.12597775,0.31878057,-0.071802914,1.0589993,0.023711444810032845,4.1951094,0.36661494
201,1.1055801,0.9295002,-0.2493593,0.42410827,1.2366166,0.8336096,0.05,3.0430868,0.5445209
202,1.9286523,0.44287026,-0.2479737,0.35895708,0.5088414,1.1543064,0.08307893574237823,2.94698,0.5749085
203,0.7582995,1.3391147,-0.098241836,0.25941005,1.3619461,1.0229378,0.04767584800720215,4.7852154,0.38329792
204,1.0118456,1.2311641,-0.13842957,0.39243597,1.1514397,1.1305087,0.05,3.567704,0.4187171
205,1.8652335,0.24507543,-0.2126275,0.3011474,0.45949996,0.9032578,0.05,3.7171197,0.45763162
206,2.786095,-0.3265938,-0.1646483,0.2720403,-0.6642228,0.5920032,0.05,2.474992,0.77032024
207,2.0655057,0.1106836,-0.17470439,0.26127285,0.17634585,1.1433908,0.05,4.7083693,0.252375
208,2.492015,-0.25601095,-0.1938329,0.25986624,-0.17611669,1.2393062,0.03784864395856857,4.2790046,0.27840343
209,-0.70490485,2.896189,-0.13433385,0.2658788,3.132773,1.1310136,0.05,3.773734,0.43011883
210,1.5195069,0.67185646,-0.15597032,0.14496195,0.58083636,0.92146075,0.05,4.20863,0.3369959
211,0.7962764,1.4621942,-0.17747998,0.332606,1.5515864,1.3368831,0.015226822346448898,4.637702,0.29102933
212,0.47963843,1.7160128,-0.12405705,0.35383627,1.9255271,1.1230048,0.04569466784596443,3.2988904,0.5293728
213,1.6906824,0.29699215,-0.30869555,0.51254755,0.61539245,0.67270184,0.05,2.907929,0.54900414
214,2.2591896,-0.18822008,-0.17583503,0.3322335,-0.057156492,1.023361,0.04581129178404808,4.517352,0.32231694
215,3.3649652,-1.0931312,-0.243478,0.40788975,-1.1245133,1.1448305,0.07144653052091599,4.33839,0.39134976
216,1.3712832,0.81130505,-0.2285012,0.4682317,0.95268714,1.019265,0.05,4.4821987,0.34145138
