,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
153,0.21224,0.5053672,1.6695173,0.48913974,1.5795307,0.20775813,0.51225597,-1.7085471,0.13083449
154,0.99,0.28628975,1.0379407,1.203462,1.8863459,-0.5582736,0.97948456,-1.88274,0.73090434
155,0.980475,0.2759441,2.9850812,-0.8408695,0.8787096,0.44128817,-0.81030303,-1.0009915,-0.1473882
156,-0.3740526,0.45990533,1.4056157,0.85444236,-0.8391412,-0.0872595,0.7276942,0.6041882,0.32062623
157,0.037821602,0.4963058,2.4164903,-0.16194464,-2.9897118,-0.56562644,-0.18272659,3.0025346,0.7039595
158,-0.53102213,0.40137932,0.56139123,1.579452,2.1652238,-0.061606754,1.3803952,-2.1480508,0.2677338
159,-0.43266162,0.38036054,1.3195467,0.91045696,-0.48750374,-0.25676042,0.8307578,0.38197026,0.5398496
160,0.45402962,0.43575227,0.4605824,1.7469404,-1.1848416,-0.07303412,1.5166199,1.2055379,0.2567576
161,-0.55825996,0.38606945,3.006824,-0.8620231,0.17210148,0.16520043,-0.86809695,-0.38632286,0.19183268
162,-0.20430973,0.47538605,0.45510307,1.7138964,0.04689412,-0.2756965,1.7949283,-0.26295567,0.5314809
163,0.30470178,0.42339253,0.40514237,1.7093778,0.60515714,0.038288202,1.7316563,-0.8239465,0.4032244
164,-0.22462071,0.454218,1.5519907,0.6468531,-2.761862,-0.46764198,0.57030827,2.7235076,0.6861376
165,-0.4667935,0.406147,-0.57572377,2.7987773,-0.7387582,0.38800445,2.8368108,0.45628607,-0.099601194
166,0.46489957,0.41321114,-1.0229883,3.0958848,0.091246165,0.03896104,2.9749126,-0.20444189,0.29292223
167,0.17096955,0.43989944,1.7591715,0.4168973,-0.98198193,-0.07815894,0.48463038,0.9175385,0.39991146
168,0.041029703,0.47158614,0.19011593,2.079986,-0.45657972,-0.073430106,1.9543387,0.35233498,0.33311468
169,0.50329334,0.41326937,1.4164231,0.83798575,2.459852,-0.31184775,0.8660922,-2.5615487,0.4863953
170,-0.56970453,0.3586417,3.2753696,-1.0606754,-0.5968437,0.2570976,-1.0717169,0.33860853,0.03765612
171,0.06556829,0.5162733,-0.3457794,2.5070739,-0.36753717,0.08226658,2.5144355,0.30567187,0.253567
172,0.71523565,0.35277453,3.2217765,-0.9481874,1.1169263,-0.081295684,-0.9331485,-1.1531837,0.094786055
173,0.59635717,0.40238634,-1.0358773,3.2355735,1.08912,-0.073380165,3.4962215,-1.1995388,0.4060937
174,-0.45467496,0.3798845,0.09114958,2.1157215,-0.41503534,0.080281794,2.047679,0.17481013,0.25743464
175,0.5884966,0.40726846,-1.0199736,3.0928643,-1.0031829,0.2946425,3.2289274,0.80918527,0.057731275
176,-0.62135077,0.37427622,1.5266731,0.65367776,-0.14220668,-0.56153345,0.54372793,0.10320138,0.82342535
177,-0.16086358,0.46931365,0.2129755,1.9563134,1.5178927,-0.45365605,1.8397413,-1.4397204,0.6183104
178,-0.72040766,0.30000147,1.4958061,0.752532,1.826704,-0.2615507,0.8428327,-1.9384449,0.5485765
179,-0.6026445,0.35693154,1.506195,0.70204395,2.039789,-0.06775529,0.7495468,-2.2630076,0.3649016
180,-0.3014401,0.47775757,2.5114467,-0.3562573,-0.5436659,0.08268574,-0.33482072,0.43880004,0.16769938
181,0.39136276,0.4079669,1.9847345,0.1687492,0.5962779,0.03576172,0.17828606,-0.7247608,0.27922186
182,-0.4233436,0.3948109,2.7811494,-0.56635475,-1.7851562,-0.21961874,-0.6187103,1.6702279,0.47829366
183,0.9878438,0.2608044,1.4280775,0.66697824,-0.504084,0.13050433,0.73782474,0.3931829,0.07823075
184,-0.39422512,0.41708174,2.0662181,0.11847599,1.73452,-0.6032957,0.22824146,-1.7651314,0.75147784
185,0.3860452,0.40454054,0.747918,1.401098,-0.36672065,0.22213136,1.4108657,0.20291488,0.08054997
186,0.21939462,0.4760475,1.9513724,0.25312135,-0.6735198,-0.30908227,0.14332373,0.63536954,0.47195753
187,-0.31827855,0.45472392,1.6857407,0.51700306,-1.9401757,0.044545844,0.45677584,1.7797203,0.2662725
188,0.704825,0.363327,1.8326308,0.35587612,0.6390714,0.21314134,0.3631856,-0.8331567,0.24517873
189,0.3413601,0.4573533,0.7067278,1.4023993,3.035643,-0.20573762,1.4732252,-3.0196285,0.45676884
190,0.780489,0.34549323,1.6189601,0.65491486,-1.7399318,0.31521672,0.57084024,1.4686139,0.015871475
191,0.50485754,0.42793876,1.0502261,1.1052767,0.34284836,0.32144138,1.1199561,-0.54450107,-0.0044071996
192,-0.3020671,0.41752186,2.2971811,-0.104765,-1.6270001,0.28246713,-0.22182599,1.4289513,0.020935288
193,0.36746418,0.4353464,1.5567452,0.593128,-1.7795479,0.45940694,0.5631661,1.7891723,-0.20238902
194,-0.38722485,0.42926124,0.42041248,1.7100039,3.3476663,0.14235292,1.5257264,-3.5119302,0.08598031
195,0.058807805,0.48473683,1.0903425,1.0294513,-0.4509209,0.0009761152,1.1149473,0.41927263,0.1730571
196,-0.23392485,0.4421748,1.3578558,0.74311316,-1.2367731,0.025202291,0.8897448,1.0478905,0.32321766
197,0.74972403,0.34215376,0.32442617,1.8635381,-0.4975706,-0.11002496,1.8340583,0.33079365,0.3548554
198,0.7570629,0.3496468,3.1171434,-0.9501824,2.2651281,0.08746272,-0.9155078,-2.3521993,0.12409864
199,-0.73192775,0.3343179,0.06690058,2.0966365,-1.9563674,0.19313645,1.878396,1.9502002,0.0406233
200,0.30058664,0.3787424,1.8263928,0.3798927,-1.5601946,-0.10024178,0.42500982,1.3780556,0.44111377
201,0.044370648,0.4643604,2.0963209,0.13671382,1.7346473,-0.5963243,0.1332299,-1.8250693,0.8825547
202,0.3456849,0.40036651,2.2466285,0.016170714,1.022167,-0.18406121,-0.18402727,-1.0998763,0.41658545
203,0.9264539,0.28527126,-1.2194784,3.3281977,-0.5259038,0.3138347,3.345565,0.26220453,0.026034415
204,-0.3315698,0.4212454,2.5499823,-0.3694645,-2.181823,-0.013404363,-0.38787955,2.1242423,0.33457604
205,-0.43708414,0.42369798,2.1718163,0.052867673,1.5278468,-0.4055785,-0.008077561,-1.4908154,0.6222618
206,-0.31337127,0.41774356,2.2202384,-0.015977971,-1.5029879,-0.17219517,-0.034912203,1.3566324,0.52211493
207,-0.5478559,0.4115196,1.0180213,1.1806899,-1.9805197,-0.19961463,1.1333555,1.9353938,0.3729056
208,-0.8810547,0.3008948,2.7166188,-0.58976704,-3.0605829,-0.0945848,-0.6176902,2.919185,0.36854517
209,-0.15515369,0.4302116,3.1324296,-1.0130297,1.4719714,0.10234204,-0.9872124,-1.5873141,0.2727291
210,-0.67466295,0.31311288,1.5346954,0.68727595,1.2472522,-0.08962436,0.65608054,-1.403333,0.42347574
211,-0.4662656,0.42389008,2.5951102,-0.33895954,-0.25756803,-0.34414205,-0.43032378,0.18836273,0.57550776
212,0.2657561,0.47415337,3.0855346,-0.9229994,-0.052486174,-0.13140564,-0.8528447,0.11810593,0.24663202
213,0.2557178,0.43061274,1.427225,0.7679425,-0.52109754,-0.24108164,0.6987343,0.45513833,0.55146056
214,0.7608156,0.2822595,4.2975626,-2.1227577,1.056722,-0.66577536,-1.9327477,-1.0732439,0.8833835
215,-0.99,0.24503148,2.235251,-0.05213677,-1.3299024,0.027094936,-0.027691359,1.1748565,0.31088153
216,0.040400922,0.4235511,1.3897713,0.8640557,1.5850052,-0.20734185,0.76489174,-1.6940402,0.52509296
217,0.10460376,0.4326376,-0.18230355,2.3853166,-1.1862744,0.25230238,2.2865946,1.0449961,-0.0048700124
218,0.6621537,0.3955608,2.2756257,-0.12008173,2.7620707,0.037224803,-0.11382339,-2.8693275,0.26348734
219,0.07404773,0.4434236,-0.8939676,3.0988667,2.5099282,-0.81225556,2.9931796,-2.4240553,0.9216347
220,0.8218017,0.277774,1.4531631,0.7496882,2.9875355,0.07239078,0.47476506,-2.90754,0.090616025
221,0.44428396,0.41238126,2.083625,0.15052429,-0.23136035,0.25984988,0.1489024,0.045860805,0.12720974
222,0.5398721,0.43613642,0.32081217,1.9173352,0.09401935,-0.049463864,2.0463595,-0.24518472,0.39889887
223,0.8257821,0.30221692,2.1774442,0.0054306113,0.90736836,-0.10111817,0.19816597,-1.0939248,0.47466055
224,-0.043700974,0.50526005,0.51046187,1.639026,-1.9429431,0.83716124,1.7573531,1.5593199,-0.37883145
225,-0.06541187,0.50096446,2.4273467,-0.226293,0.17273337,-0.023220228,-0.10494374,-0.30298337,0.25181937
226,0.8688952,0.2922163,1.7688407,0.37714705,1.5406362,0.06014111,0.3511544,-1.5462008,0.06607996
227,-0.23010239,0.45134073,0.545664,1.5683508,-0.003610275,0.2918698,1.6611403,-0.061900847,-0.040789288
228,-0.118745714,0.4550421,1.7105627,0.40891042,0.59678715,0.2058623,0.51706386,-0.75597227,0.11901233
229,-0.46349013,0.4005439,3.8942585,-1.5358473,-1.666591,-0.556809,-1.4219229,1.6436459,0.7536846
230,-0.25984564,0.4108303,3.7419364,-1.6798986,-0.37074295,0.054236587,-1.4266509,0.25646564,0.24993506
231,0.6971677,0.35203126,1.7245535,0.5027887,0.8131396,-0.4690147,0.4042979,-0.81029934,0.7122804
232,0.058069024,0.5546088,3.797806,-1.533349,-0.16514553,0.28872764,-1.3928797,-0.021973038,0.035843592
233,-0.6798887,0.35328013,0.9947172,1.1642355,-3.0913467,-0.55488896,1.2054125,3.1072443,0.717175
